English,Turkish
"\nBy default it makes all Town decisions decided via election, but can be changed however you like.",
"Once the Constitution passes election, press the 'Found Town' button to unveil your new town to the world.",
You will need to define your Town Constitution and start an election to have it ratified in order to found the town.\n,
"Congratulations! Now you have a Town Foundation, which means you can start a brand new Town Settlement by placing it inside a room.",
How to Start a New Town,
A new Town will start as a draft. In the Status Tab you can see what requirements should be met by a Town before it can be founded.,
"You can distribute these however you like, but keep in mind that if Citizens leave the town the claims can be cancelled.",
"As more citizens join a Town, it will generate additional claim stakes and claim papers.\r",
Folders,
Enable gaze tracking,
Start Facetracking,
Select camera tracking quality:,
Select camera:,
Select camera settings:,
Select camera frame rate:,
Limit locally saved photos. (remove oldest),
Give us Feedback,
Make suggestions and vote on improvements you want to see in the game.,
Foundation Status,
Game,Oyun
Max Number of photos stored in PC,
Admin Assign,
Cancel Application,
Structure\n,
This monument marks the beginning of a Town.\nIt is not yet founded.,
Found Town,
Show webcam image,
Citizens of a Town,
Facetracking status:,
Found,
Current Facetracking status:,
Culture Wars,
Show advanced settings,
Hide advanced settings,
Face advanced settings:,
Enable wink support,
Honk,
Fishnet Down/Up,
You need film to take photos,
You need to repair the camera to take photos,
Press to open the folder where\nphotos are stored,
Camera Film,
Test Object Culture,
removeallbut,
fixobjects,
"Destroys all physical objects with illegal positions outside the world. (worldobjects, vehicles, trees, rubbles etc)",
fixtrunks,
Destroys all trunks outside the world,
clearfallentrees,
Removes fallen trees,
Allow Option To Prevent Settlements From Seceding,
Enabling this will add a new check inside immigrations policies that will give the players the option to prevent any child settlement from seceding.,
Allow Foreign Property Ownership,
Property Heir When Citizens Leave,
Allow Child Settlements To Secede,
"Disallowing this would prevent citizens, titles and demographics that aren't part of this settlement from owning any property that's under it's influence sphere.",
The heir that will receive all the properties that were abandoned by the leaving citizen.,
"If this is unchecked, child settlements will not be allowed to secede or join another settlement that's not a child of this settlement.",
SpeciesLayeredCatchPlugin,
Catchers,
teleportVehicles,
Found: {0} objects with illegal position,
Destroyed {0}:ID:{1}:POS:{2},
Destroyed: {0} objects with illegal position,
Wasn't able to destroy: {0}.,
MJPEG (Slow),
Preparing facetracking,
Success!,
Failed...,
QA Test Object adding Culture value.,
A film used inside a camera.,
Downloading Mods (Wait a bit),
Plot already owned by {0}.,
Enables unrestricted avatar customization in game,
Annexations List,
Can't use this claim stake because {0} doesn't allow foreign ownership and you are not a citizen..,
Dressers only accept apparel items.,
Your deed {0} was transferred to {1} because the settlement that you're part of changed parents and {2} doesn't allow foreign ownership.,
You received {0} from {1} because you're the property heir of {2}.,
Would you like to grant ownership of these properties to {0} and leave this settlement?,
{0} isn't part of {1}.,
Cannot create child settlement inside {0} due to {1} : {2}.,
Cannot join settlement as citizen due to {0} : {1}.,
"{0} doesn't allow foreign property ownership, and you own {1} properties under its influence: {2}",
Species Catcher,
"Calibrating {0}.\r\nPlease move your face left/right, open/close mouth, open/close eyes, smile and make a sad face to calibrate",
You can map your expressions onto the avatar face using your webcam.\r\nTurn the feature on/off by clicking on the webcam icon.,
Calibration complete!\r\nYou can try it out and proceed with customizing your avatar,
Calibration failed.,
"Cannot start facetracking service, aborting...",
{0} isn't eligible anymore to be part of your settlement.,
"{0} doesn't allow child settlements to secede thus upon leaving {1}, {2} became a direct child of {3}.",
{0} doesn't allow foreign ownership thus you cannot claim land under its influence unless you're a citizen (and currently {1} accepting new citizens).,
{0} parent {1} is preventing it from joining other settlements that are out of its jurisdiction.,
{0} doesn't allow settlements to secede from it.,
You need to manually leave your current settlement {0} because you have some properties that are under its influence.,
"When your homestead is placed, you can only leave citizenship of a settlement when you're applying for another parent/child settlement.",
{0} only allow citizens to directly own properties inside its sphere of influence and {1} is not a citizen.,
{0} isn't part of {1} which doesn't allow foreigners to own land inside its sphere of influence.,
DoF,
Calibration in progress...,
Calibration finished,
Groups:,
Groups,
Create a sorting for this marker by naming its group. Add slashes in between names to create subgroups.,
Background Color,
Climb,
Flax Species,
Creosote Flower,
Flaxseed Oil,
Trillium Flower,
Art Supplies,
Colored Powder,
Nylon Trawler Net,
Oil Paint,
Gathering Basic Upgrade,
Industrial Generator,
Allow Deep Ocean Building,
Allows or prevents building in deep ocean biome.,
For Sale,
Sellers Account,
"The properties that their owners will be changed, which needs to be inside the current settlement.",
The citizens that will be receiving the money transfer.,
The deed that will be checked.,
Is Owner,
True if a given citizen is currently an owner on a given deed.,
Has Access,
True if a given citizen has access to a given deed.,
Deed At Location,
Get the deed that's at this location.,
Get a deed at a given location.,
Specific Property,
The deed that we want to interact with.,
A specific deed in the world.,
The citizen or group to invite to assign the property.,
The citizen will be invited to become a resident on the property at this location which must be within the influence of the current settlement.,
Action On Each Citizen In Settlement,
"The actions to run on each citizen inside this settlement, meeting the 'Citizen Conditions' set above.",
Seeds Layer,
Bad format.,
The parameter type {0} is not valid,
A large modern generator consuming liquid fuel to generate high volumes of electricity.,
An interactive stand allowing paintings to be created using art supplies.,
Weave Linen Fabric,
Weave Linen Canvas,
Weave Cotton Canvas,
Rice Mortar,
Cottonseed Oil,
Cotton Canvas,
Compost Spoiled Food,
Basic Upgrade that greatly increases efficiency when crafting Milling recipes.,
Basic Upgrade that greatly increases efficiency when crafting Gathering recipes.,
A collection of paint variations used for art supplies.,
A bag of crushed flower petals.,
"A canvas used for painting on, made by either cotton or linen.",
A set of art supplies that,
Placeholder Description.,
Petals,
An oil primarily used for woodworking and paint supplies but can surprisingly also be drizzled on a salad.,
Direct Influencing Settlement:,
Other Influencing settlements:,
{0} can't be taxed because they aren't citizens of {1}.,
{0} isn't a government account of {1} or held by any of its citizens.,
Ignored: {0} because they weren't influenced by {1}.,
"These deeds were ignored: {0}, they were already owned by {1}.",
"{0}, {1} changed to owner {2}",
"{0}, {1} changed to unowned.",
{0} is an owner of {1}.,
{0} has access to {1}.,
Location: {0}.,
Enable hands tracking,
The {0} {1} determines the cultural value of the artwork.,
Reputation from Citizens of foreign settlements counts more than from Citizens of {0},
"Note: No settlement applied at the moment, keep in mind that this culture will be reduced when placed in a settlement, with reputation from Citizens of that settlement counting {0} less.",
An artwork's {0} value is determined by its reputation and the artist's reputation.,
"Reputation from the settlement that the artwork is currently placed in is reduced by {0}.  Thus, foriegn opinion matters more for culture value, and trading artwork can yield net positive culture to two settlements.",
Artist ({0}):,
Picture:,
Artwork Value in {0},
Artwork Value Before Settlement Placement,
{0} by {1} (current value: {2}),
{0}.{1} is wrong signature for interaction.,
"For each additional object on the property with the same {0}, its value is diminished by {1}.",
"No other object with this {0} is on the property, so no penalty was applied.",
Penalty for {0} objects with the same {1}: {2},
Select bank account to pay from.,
Choose bank account to pay from.,
{0} must be a citizen of {1} which does not allow foreign ownership.,
{0} must be part of {1} which does not allow foreign ownership.,
{0} must be within the influence of {1}.,
{0} generating culture:,
"NOTE: The max number of cultural properties in a {0} is {1}, and the following properties were ignored:",
"With {0} surrounded, {1} of {2}'s total Culture ({3}) counts toward annexation.",
Attempt interact on missing component type {0}.,
Attempt interact on missing method {0}.{1}.,
This object is not for sale.,
This object is currently for sale.,
Currency must be set before object can be purchased.,
Seller's account must be set before object can be purchased.,
You're already an owner on this object can can just take it. Are you sure you want to purchase it?,
Buy this for {0}?,
TODO: add title,
TODO: add description,
Artwork has different culture values in different settlements.,
Show culture yield when placed in Settlement:,
Delicious decomposed organic matter that can be used to fertilze crops. Compost is created overtime when organic material is left outdoors to decompose. This is accomplished in Eco by dropping an organic item on the ground and overtime it will become Compost.,
DOES CHEATER THINGS THROUGH CHEATING POWERS!,
Increases the crafting speed of identical tables when they share a room by 20 percent.,
Increases the damage of related tools by 1.,
A combustible mineral which needs to be crushed into usable fuel.,
Coal that have been crushed into a usable size.,
A fluffy round boll harvested from a cotton plant.,
A simple wet brick ready to be processed into a construction block.,
Wet Brick,
Wooden Mold,
Allows the modification of the constitution.,
Where papers are signed and foreign affairs are settled.(Allows the settlement to enable hostile takeovers),
"Allows the creation of Law, which can perform many types of regulations, restrictions, taxations, incentives, and more.",
Calories To Plant,
Seeding Time,
Seeds Count,
Seeding Area,
Plant Age To Seed,
How many calories must be expended to plant this seed..,
The time elapsed in hours between each attempt at spreading seeds to new tiles.,
The total count of new plants allowed to spread per attempt once the seeding timer has been reached.,
The distance check for how far a new plant is allowed to generate calculated from the existing parent plant.,
The age of a plant necessary to spread to new tiles in percent of total age calculated against its MaturityAgeDays.,
Percentage of habitability that gets spawned in the beginning.  Should be between 0 (no plants) and 1 (use all available capacity).,
Minimap Name,
Steer,
Paddle,
A 'Cultural' deed is a type of property that can contribute to the overall Culture value of the containing settlement.,
Allow Face Tracking On Server,
Max Allowed Texture Size In KB,
Max Allowed Texture Size In Bytes,
"Max allowed size for user uploaded textures in Kilobytes, default is 400 KB",
The influence gained from the settlement foundation will be multiplied by this value.,
"The influence gained from the different deeds that are created inside the settlement, will be multiplied by this value.",
If a homestead is abandoned (owned by abandoned citizens) then both the percentage and the abosulte value needed to annex it will be reduced by this specified value (value between 0 - 1).,
updatesettlements,
updatesets,
Force an update of all settlement properties.,
describeannex,
Update annex settings and describe them.,
Allows various culture controls for a settlement.,
enableadmininterface,
admininterface,
Enable or disable admin interfaces across the game.,
Press to toggle digging/driving mode.,
HolidayPlugin,
Previous Position,
Move World Object,
The position of the object before it was moved.,
An object was moved.,
Enable Admin UI,
Setting this to true will allow admins to have more control over some civics (I.E in settlement roster a new admin button will show up).,
Has Diplomatic Privileges,
Allows title holders to use Embassy Desk objects to determine cultural influence and annex other settlements.,
Allow Become Citizen Upon Homestead Placement,
This will make it possible for players to instantly join the settlement upon placing their homesteads inside its influence.,
Optional set of wages paid for citizens in this demographic.,
A long description of the server to display when selected in the server browser.  Use \n for line endings.  Max 500 characters.,Sunucu tarayıcısı seçildiğinde gösterilecek olan uzun bir sunucu açıklaması. Satır sonları için \n kullanın. En fazla 500 karakter.
Missing Settlement,
Consumes: {0}w of {1} power.,
Produces: {0}w of {1} power.,
Consumes: {0}w of {1} power from fuel.,
Fast Pickupable,
Crushed Coal Lv3,
Crushed Coal Lv2,
Stone Ramp D,
Stone Ramp C,
Stone Ramp B,
Stone Ramp A,
Brick Ramp D,
Brick Ramp C,
Brick Ramp B,
Brick Ramp A,
Current review state:,
Influence for {0}:,
Artwork,
Value in {0}:,
Artwork contained:,
Capitol:,
Advertisement:,
Achieved on {0}.,
"Achieved on world {0}, run by {1}",
"Can't move there, this category already has an item matching that.",
"Invalid item, Settlement not assigned by store owner.",
"Selected file should not exceed {0}, current size: {1}.",
B,
KB,
MB,
GB,
TB,
For Settlement: {0},
Limit:,
Amount to keep in storage (and not sell).,
'0' means no limit.,
You've reached the core and can drill no further.,
Downloading world,
{0} meters,
Current distance: {0},
The movement must happen within the allowed max distance of {0}.,
This action requires {0}/{1} calories.,
Calories required: {0},
Choose new location for {0}.,
Must be within {0} of the original position.,
This item is too heavy to move this far.,
You need more calories to move this object this far.,
Cast,
Take Picture,
"Upon placing your homestead here, you will become a citizen of {1}.",
Try to track hands.,
Can't drop there: blocked.,
This block has already been picked up.,
This WorldObject has already been picked up.,
No carried item found.,
{0} added to carry slot.,
Nothing found to copy.,
"Note: No settlement applied at the moment, keep in mind that this culture will be reduced when placed in a settlement, with reputation from Citizens of that settlement counting {0} less. Until then, the cultural value is {1}",
Culture reduced to zero because not placed in a Settlement yet.,
{0}'s Picture,
Influence blocked!,
"A {0} may only have {1} properties generating influence, and this property is not selected.",
"The top producing cultural properties are chosen, unless an order is specified on an Embaassy desk by the settlement leader.",
{0}{1}Adjusted Reputation,
{0} from {1}.,
{0} by {1}:,
Culture Value of {0},
Cultural Works From {0},
Global Culture Creation Ranks,
Ranked {0} globally.,
{0} from {1} {2} of art from {3} {4}.,
Picture spawned.,
Settlements updated.,
Give a randomly generated picture item for testing.,
{0} exceeded {1} in value.,
Created your first culture.,
Created over {0}.,
"Became the creator of the most culture worldwide, with {0} culture creators in competition.  You reached this position with {1}.",
Sparkling Canvas,
Create 50 total culture as a world.,
Incipient Renaissance,
Create 500 total culture as a world.,
Cultural Cornucopia,
Create 5000 total culture as a world.,
Cultural Nexus,
Create 20000 total culture as a world.,
Ascendent Civilization,
Create 100000 total culture as a world.,
Cultural Phenomenon,
Become the top ranked cultural creator when at least 10 citizens have created any culture.,
Dilettante,
Create your first culture.,
Cultivated,
Create 10 culture.,
Artisan,
Create 50 culture.,
Virtuoso,
Create 200 culture.,
Visionary,
Create 1000 culture.,
Remarkable Work,
Create a piece of artwork that generates 5 culture.,
Masterpiece,
Create a piece of artwork that generates 50 culture.,
Magnum Opus,
Create a piece of artwork that generates 1000 culture.,
Picking this up will disable the settlement after {0} minutes.,
Your homestead was removed from the world by {0}.,
You can craft a new homestead claimstake at {0},
"Too many deeds selected, you may only select {0} influence-producing deeds for a {1}.",
Invalid - not a part of this settlement.,
Invalid - not a cultural property.,
Cultural Properties Generating Influence in {0},
"{0} can have a max of {1} properties that generate culture, and those can be manually assigned here (otherwise the top ones are used).",
Select Cultural Deeds to Genereate Influence (max of {0}),
Properties,
A list of all the nearby settlements that {0} has progress towards annexing.,
Inventory only accepts {0},
Inventory does not accept construction materials.,
Not enough items ({0}) in source inventory.,
Bank Account {0} {1} because it was no longer associated with a placed bank.,
Bank Account {0} managed by you {1} because it was no longer associated with a placed bank.,
Amount per hour must be > 0.,
Added as occupant of {0}.,
Removed all occupants of {0}.,
You must hold an elected title in {0} with Diplomatic Privileges to do that.,
There are no active elections that {0} can join. {1},
Destroyed the meteor on {0},
{0} for {1} was established!,
{0}/second,
You can use /unstuck if you have no other options.,
Need {0},
more block,
*Missing Settlement*,
Learn about Swimming restrictions,
Press {0} to toggle third-person.,
Use {0} to change camera distance in third-person.,
Press {0} to move the camera target in third-person.,
Swimming Advisory,
Remember your room must be on land you own.,
{0} has entered a {1}!,
Not enough citizens to sustain the claimed land. Associated stakes and plots will be removed if not resolved on or before {0}.,
"To resolve the crisis, either:",
{0} has entered a {1}! Stakes and papers needed.,
Picking this up will unclaim {0} {1}.,
plots,
{0} is {1} easier to annex because of {2} abandoned deed.,
This deed is {0} easier to annex because it's owned by abandoned citizens.,
"This {0} at {1} should have a deed, corrupted object.",
{0} didn't had a Host Object!,
Not in settlement influence,
Already claimed,
"Property type can't be changed, Education feature is not yet implemented.",
"Property type can't be changed, Settlement feature is not enabled.",
"Property type can't be changed, Culture feature is not enabled.",
Plots on deed must all be connected.,
Image is too big,
There are no seed selected!,
"Can't place here, not under the influence of {0}.","Buraya yerleştiremem, kapsıdığı alanda değilim {0}."
"Can't place here, this plot is not in {0}.",Bu arsa içine yerleştiremem {0}.
The WorldObject you're attempting to move is not placed anywhere.,Taşımaya çalıştığınız WorldObject hiçbir yere yerleştirilmemiş.
You can't move an object that has occupants.,
Admin mode was {0}.,Yönetici modu {0}.
Invalid target.,Geçersiz hedef.
Left Mouse Button (LMB) - Hold to Dig,Sol fare tuşu (LMB) - Kazmak için basılı tut
Right Mouse Button (RMB) - CaptureException Contents,
Forward/Back - Boom Up/Down,
LMB + Mouse Up/Down - Arm Up/Down,
Digging Controls:,
Currently Holiday: {0},
No currently running holiday,
Holiday Manager,
This will disable {0} after a timer expires.,
You are not authorized to do that on {0}.,
You are not authorized to use {0}.,
You gained progress towards the {0} achievement.,
This world has gained progress towards the {0} achievement.,
Current Progress: {0} / {1},
Allow Discord Join/Invite requests from anyone. (Friends only when disabled),
Download picture,
Limit In-Game camera photos stored on PC,
on - Allows anyone to send you a personal server invite or a channel based invite.\noff - Disables the ability for users other then your Discord friends to send you invites.,
Allow Discord Join/Invite Requests,
Border Color,
Swimming burns a lot of calories.,
Be careful when swimming long distances!,
"If you run out of calories while swimming, you will become exhausted and wake up on the shore.",
Settlement:,
Top Cultural Works,
Top Culture Contributing Citizens,
Citizen Achievements,
World Achievements,
Total Culture Worldwide:,
"Flood tool! Left click on the water to remove the top layer, or Right click on a block to add a water layer.",
Curtains woven using the finest cotton. \n\n (Only cosmetic does not impact room value.),
Curtains made out of plastic? \n\n (Only cosmetic does not impact room value.),
Curtains woven using the finest wool. \n\n (Only cosmetic does not impact room value.),
A basic backpack to carry supplies.\n\n(Increases max carry weight by 5 kg),
"Can you carry as much as a bear! Not really, but it helps you carry more.\n\n(Increases max carry weight by 15 kg)",
A survival backpack that offers more support than the basic backpack.\n\n(Increases max carry weight by 10 kg),
Snug work boots with side zippers.\n\n(Decreases calories consumed when using tools by 30%),
"Also called chapeau � bec, or Billed Hat in france due to it's bird-beak like appearance.",
Bycocket,
Hide from the animals!\n\n(Reduces the detection range of animals),
A steel hardhat with a light source for the darkest places.\n\n(Flashlight),
Simple low indoors working shoes helps avoiding slipping on wet surfaces in a large kitchen.\n\n(Decreases calories consumed when using tools by 30%),
Boots with rubber soles and thermal insulation for comfort yet still be durabable.\n\n(Decreases calories consumed when using tools by 30%),
Waterproof rubber sole boots with synthetic lining that provides protection against the elements when working in the fields.\n\n(Decreases calories consumed when using tools by 30%),
"A sturdy pair of rubber footwear designed to provide protection against water, rain, and mud.\n\n(Decreases calories consumed when using tools by 10%)",
"Smaller than your standard three-day backpack. You can't fit that much inside, but that makes you more agile.\n\n(Increases movement speed and increases max carry weight by 5 kg)",
"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.\n\n(Decreases calories consumed when using tools by 10%)",
I have no idea why it's called that but it's not edible.,
Muffin Hat,
An iron hardhat with a light source for the darkest places.\n\n(Flashlight),
A pair of crude canvas boots for your everyday use.,
Primitive Canvas Boots,
Roughly stitched canvas pants.,
Primitive Canvas Pants,
"They're like the Primitive Canvas Pants, but shorter.",
Primitive Canvas Shorts,
You should probably still wear pants.,
Primitive Fur Belt,
A pair of crude leather boots for your everyday use.,
Primitive Leather Boots,
You ever tried cutting leather with a rock?,
Primitive Leather Pants,
"A Shirt made from roughly cut pieces of leather, should keep your shoulders warm.",
Primitive Leather Shirt,
You may have enough leather left over to make a nice hat.,
Primitive Leather Shorts,
Light weight shoes designed to make you run faster.\n\n(Increases movement speed),
Basic footwear that helps reduce the strain of walking longer distances.\n\n(Decreases calories consumed when using tools by 10%),
"A simple sailor's cap, don?t lose it or you might be walking on a plank.",
Denim overall for extra sturdy wearability.,
Shipwright Overalls,
Comfortable sandals with extra traction to avoid slipping.\n\n(Decreases calories consumed when using tools by 30%),
A striped shirt symbolizing your affinity for traveling across the seas.,
Heavy duty steel-toed boots.\n\n(Decreases calories consumed when using tools by 30%),
A simple cotton shirt helps reduce the strain of heat exposure.,
Two-toned suede shoes.\n\n(Decreases calories consumed when using tools by 30%),
It sure is warm.,
Trapper Fur Hat,
Helps keep the sun off your face... and neck... and also ears.,
Trapper Leather Hat,
A simply made canvas shirt. Does not have a pocket to put your pen in.,
Tunic,
"A rough linen cowl lowered, showing your face.",
Villagers Cowl Lowered,
"A rough linen cowl raised, hiding your face partially.",
Villagers Cowl Raised,
"A quality linen cowl lowered, showing your face.",
Wanderers Hood Lowered,
"A quality linen cowl raised, hiding your face partially.",
Wanderers Hood Raised,
Lighter pack that causes lower calorie consumption.\n\n(Decreases calories consumed when using tools by 10% and increases max carry weight by 5 kg),
Boots designed to be rugged and reduce muscle strain while working.\n\n(Decreases calories consumed when using tools by 10%)\n\n(Increases movement speed),
Leaving it outdoors somehow made it more digestible.,
Dried Fish,
Dried Meat,
"Marinated in a mix of oil, herbs and some sweetener really increased the potential.",
Sweet Deer Jerky,
Basic Upgrade that greatly increases efficiency when crafting Hunting recipes.,
Hunting Upgrade,
QA Test Object adding Bathroom value.,
QA Test Object adding Bedroom value.,
QA Test Object adding Industrial room overriding any value.,
QA Test Object adding Kitchen value.,
Kitchenroom,
For more advanced research and manufacturing. Science rules!,
QA Test Object adding Livingroom value.,
Livingroom,
A basic workspace for crafting all manner of settlement related objects.,
Settlement Crafting Table,
status,
Prints out the current weather status for the entire planet,
Create a light rain storm at your location,
Create a heravy rain storm at your location,
The minimum size of a weather system in blocks.,
The maximum size of a weather system in blocks.,
The minimum time a weather system can last in minutes.,
The maximum time a weather system can last in minutes.,
scanall,
Trigger a validity scan of all objects.,
Calorie Multiplier On Move,
Sets the calorie multiplier rate of the move object function. This is multiplied towards the total weight in kilos which equals to the total calorie cost per tile moved.,
Utility,
Use Settlement System,
"Should the settlement system be used, or should the old style be set? Forced to false for servers migrated from before V0.10. Note: changing this will automatically change the config enabling/disabling spawning of claim stakes and papers in the Balance Config.",
Should the achievements be enabled or not?,
Should the Camera mode be enabled?,
"When set, new users will treated to a delightful smorgasbord of initial spawn positions to choose from.  Will also show settlements accepting new citizens. When false, will spawn at the default position without user prompting.",
Max Dimension Of User Texture,
Auto Approve Printer Picutres,
Auto Approve Avatar Pictures,
Auto Approve In Game Photo,
"Max dimension allowed for user texture, default is 512 pixels (allowing textures up to 512x512 pixels)",
"Should newly submitted textures from the users's storage wait be automatically approved displaying them? This is a layer of protection against displaying inappropriate images to the players, and should stay disabled on public servers.",
Should newly avatar portrait textures be automatically approved? This is a layer of protection against displaying inappropriate images to the players.,
Should newly in game photos wait be automatically approved? This is a layer of protection against displaying inappropriate images to the players.,
dumpvehicle,
Dumps all items from your vehicle inventory.,
Kills all plants in an area. Pass false to not delete them.,
Kills all trees in an area. Pass false to only cut them.,
clearallrubble,
Destroys all rubble in the world,
Advertisement To New People Entering World,
Last Annexed Time,
"Destroy the settlement and remove all citizens, influence, laws, etc.",
Dissolve Settlement,
An explanation why they're being removed.,
Remove all the applications and invitations that this settlement has sent.,
Cancel Settlement Actions,
renouncecitizenship,
renounce,
Leave citizenship of whatever settlement you are a citizen of.,
recountclaims,
"Forces a recount and update of the number of spawned claims and stakes for each settlement, in case they are out of synch.",
populate,
Land Claims Per Citizen Past First,
Land Claims Per Abandoned Citizen,
Claim Stakes Per Citizen Past First,
Claim Stakes Per Abandoned Citizen,
Base Plots On Claim Stake,
Base Plots On Foundation,
Base Plots On Homestead Claim Stake,
Hours To Resolve Property Crisis,
Settlement Foundation Base Influence,
Settlement Influence Multiplier,
Settlement Types,
Min Required Plot Coverage Percentage,
Min Sub Settlements To Found Settlement,
Min Sub Settlements To Maintain Settlement,
Min Citizens To Found Settlement,
Min Citizens To Maintain Settlement,
Min Culture To Found Settlement,
Min Culture To Maintain Settlement,
Culture To Influence Mapping Per Settlement Type,
Max Givable Reputation Through Laws,
Max Givable To Single Party Per Day,
Max Givable To Single Party Total,
Min Givable To Single Party Total,
Min Culture Of Foundation Settlements,
Max Number Of Cultural Properties,
Culture Advantage Percent Required To Annex Child Settlement,
Culture Advantage Absolute Required To Annex Child Settlement,
Culture Advantage Percent Required To Annex Sibling Settlement,
Culture Advantage Absolute Required To Annex Sibling Settlement,
Reduction Percentage When Homestead Is Abandoned,
Weight Culture By Percent Of Neighboring Plots Child Settlement,
Weight Culture By Percent Of Neighboring Plots Sibling Settlement,
Active Citizens Requiredto Annex Relative,
Percent Of Annexation Resources Wasted,
Annexation Resource Requirement,
Post Annexation Secession Lock Days,
Annex Target Boost When Has Unfounded Settlement Parent,
Annex Target Boost Per Additional Citizen In Unfounded Settlement Parent,
Annex Target Boost Per Additional Child Settlement In Unfounded Settlement Parent,
"A founded settlement foundation will provide this much influence, without any culture.",
The influence gained from the different deeds that are created inside the settlement will be multiplied by this value.,
"Maps culture (which can climb to infinity) to influence, which can have a different max for each type of settlement.",
Max reputation a settlement can give/remove in total per day.,
Max reputation a settlement can give/remove to a single target per day.,
Max reputation a settlement can give/remove to a single target in aggregate.,
Min reputation a settlement can give/remove to a single target in aggregate.,
"The min value of the range is 'at this many neighboring plots or lower, the culture is weighted to 0', and max value of the range is 'at this many neighboring plots or lower, the culture is weighted to 100'. Values between are interpolated from 0 - 100.",
"Defines what percent of citizens a source settlement must have more than, relative to a target settlement in order to annex (1 means 'same number', .5 means 'half')",
"When an annexation happens, the resources used in the anneaxtion will have this percent destroyed, with the rest given to the non-abandoned citizens of the target of the annex.  These are wasted resources due to forcing an action rather than coming to an agreement. 1 means destroy everything, .5 means destroy half, 0 means destroy none.",
The resources that must be collected to annext with the given source,
"After a settlement of the given type is annexed, it cannot secede until this many days have passed.",
Boost in culture for target of annexation that has an unfounded parent settlement (like a homestead trying to start a town).,
"Boost in culture for target of annexation that has an unfounded parent settlement, per citizen past the first one.",
"Boost in culture for target of annexation that has an unfounded parent settlement, per child settlement past the first one.",
"Set a culture-boost to lowest tier settlement at position, or specified position.  If null is passed, will take the lowest-tier settlement the user is a citizen of, or an arbitrary settlement if they are not a citizen of any.",
Citizens Of These Settlements May Expand Claims Within Our Influence,
Specific Citizens That May Expand Claims Within Our Influence,
Settlements listed here may claim plots that are currently influenced by the assigned jurisidction.,
Citizens listed here may claim plots that are currently influenced by the assigned jurisidction.,
Determines who can claim within our influence.,
Border Control,
Block Children Settlements From Influencing Property,
"If set, then children settlements of this settlement will not influence the given property. This can be used to make 'federal land' where town laws do not apply, even if the town would otherwise influence the area.",
Allows child settlement influence to be blocked on a property.,
Admin Mode: Settlement Must Have Children,
"When set, the settlement will be unplaced when it lacks children settlements (or when it lacks citizens, if it cannot have children settlements).",
"Citizens entering the world will be able to view this on map as they select their initial spawn point. Write a brief description of your town, how you want to run it, and why it would be a good place to join (can only be edited by Citizens with Diplomatic Privilege in this settlement).",
First Time Joining,
Direct Citizen,
Become Citizen,
Is this the first time they're becoming a citizn of this settlement (direct or indirect)?,
"Is the citizen becoming a direct citizen, or are they becoming a citizen of a child settlement?",
The person becoming a citizen.,
The settlement they became a direct citizen of.,
Triggered when citizenship is gained.,
First Time Leaving,
Leave Citizenship,
Is this the first time they're leaving as a citizn of this settlement (direct or indirect)?,
The settlement they left direct citizenship of.,
Triggered when citizenship is lost.,
The type of settlment to query.,
Provides the settlement influencing the given location.,
Settlement Influences Position,
The settlement to check.,
The location to check.,
Determines if a given settlement influences the given position.,
Settlement Type Influences Position,
The settlement type to check.,
Determines if a settlement of a given type influences a position.,
Settlement Influencing Position,
The type of settlement to query.,
Determines the settlement of the given type influencing the given location.,
Citizenship Time In Hours,
The settlement to test.,
Measure of how long a Citizen has been a member of a settlement.,
House Points Multiplier Per Residents Count,
Multiplier of room per resident count. Could be used to incentive the shared residencies at certain number of residents.,
turnon,
Turn on (default) or objects in a radiue.,
removedeed,
Remove given deed or here currently standing if none specified.,
Allow Property Changes,
"If checked, the owner of this deed may claim/unclaim plots on the deed while you're a resident.",
fe,
A versatile and eye grabbing pair of shorts that are quick to dry in all situations.,
Boat Captain Shorts,
A comfy yet stylish shirt to commemorate the launch of the boat update.,
Boat Captain Shirt,
A captains hat to commemorate the launch of the boat update.,
Boat Captain Hat,
Appropriate for all occasions.,
Boat Captain Flip Flops,
A stylish pair of sunglasses to protect your eyes from the glare of the sea.,
Boat Captain Glasses,
A mounted jaw from a mighty catch!,
Shark Jaws,
The customer bank account.,
Settlement issuing the tax.,
A citizen logged in for the first time. This action triggers laws for all settlements on the server.,
The deed taking the rent payment.,
Max Givable Rep Per Day,
Max Givable Rep Per Day Per Target,
Amount Of Positive Reputation To Give In Order To Earn Reputation Reward,
Speaking Well Of Others Reward,
Max reputation that can be given to another player or artwork by one person.,
"Max amount of reputation, either positive or negative, that can be given to a single target in a 24 hour period.",
"If a citizen gives this much or more positive reputation within a single day, they will get bonus positive reputation themselves.",
"If a citizen gives the certain amount of positive reputation in a day, they will be rewarded with this much positive reputation added to them.",
payall,
Pay all current outstanding rents and wages.,
"Allows setting this object for sale, so other citizens can buy it.",
Distributes items to new citizens of a settlement.,
Who Can Start Elections,
Who can start elections of this type?,
Has Property Privileges,
"If this is true, elections can start before the end of the office holder's term, allowing only on the last hours of their term (when that amount is less than the hours an election takes, + 4 for a margin).",
"Allows title holders to use Embassy Desk objects to determine cultural influence and annex other settlements, as well as set the new-citizen message.",
