English,Japanese
Scientist,
A mechanical paint tool with more advanced functionality over its crude wooden predecessor.,
Iron Paint Sprayer,
A modern painting tool using sophisticated electronic throttling for a continues experience.,
Modern Paint Sprayer,
A crude painting tool using a primitive pumping method allowing someone to paint single blocks.,
Wooden Paint Sprayer,
Small Canoe for hauling minimal loads.,
Egyptian Canoe,
A larger canoe for personal transport and medium sized loads.,
Norse Canoe,
A door made from crude wood pieces.,
Adobe Door,
A small beautiful ashlar stone fountain with flowing water that makes a great centerpiece.,
A helpful sign for advertisements along the road.,
Baker Sign,
Carpenter Sign,
A poster for the wall.,
Cart Blueprint Poster,
A plaque used for rating a property.,
Cast Iron Plaque,
Chandelier,
A copper frame useful for simple picture and art displays.,
Election Poster,
Engineer Sign,
Fancy Hewn Door,
Farmer Sign,
A fixed flying kite for your garden.,
FishKite,
Food Sign,
"Keeps animals away, but not in a scary way. (WIP)",
Friendly Scarecrow,
A simple pond filled with water for your decorative outdoor needs.,
Garden Pond,
A gold frame useful for simple picture and art displays.,
A large fountain with a spiral motif.,
Granite Spiral Fountain,
A large fountain with a multi-layered terracing display.,
Granite Terrace Fountain,
Hanging Electric Wall Lamp,
Refines food resources by crushing them in a more advanced machine than a stone mill.,
Industrial Mill,
A machine with the life long purpose of turning raw plastic into usable furniture and devices.,
An iron frame useful for simple picture and art displays.,
Kite,
Koi Pond,
Mason Sign,
Ornate Cast Iron Plaque,
An ornate gold frame useful for simple picture and art displays.,
An ornate iron frame useful for simple picture and art displays.,
Ornate Stone Plaque,
An ornate wooden frame useful for simple picture and art displays.,
Ornate Wood Plaque,
A mixing station for all manners of colors used in paint.,
Paint Mixing Workbench,
Periodic Table Poster,
A simple molded plastic furniture for outdoor use.,
Plastic Outdoor Bench,
Plastic Outdoor Chair,
Plastic Outdoor Table,
A simple planter box mounted on a wall or by a window.,
Plastic Window Planter,
Redwoods Poster,
Rustic Window Planter,
Keeps animals away. (WIP),
Scarecrow,
Shipwright Sign,
Stone Plaque,
Store Sign,
Tailor Sign,
A simple neutral tapestry.,
Tapestry,
A tapestry with a beautiful fish display.,
Tapestry Fish,
A tapestry with a beautiful sunset display.,
Tapestry Sunset,
Great for outdoor l,
Tiki Torch,
A chest but for the wall.,
Wall Mounted Chest,
Wall Mounted Trunk,
A simple window shutter helps to keep things in or out.,
Window Shutters Center,
Window Shutters Left,
Window Shutters Right,
A wooden frame useful for simple picture and art displays.,
A wall mounted stand for a torch.,
Wooden Wall Torch Stand,
Wood Plaque,
Wood Window Planter,
A large table for eating meals or getting some work done.,
Zataku Table,
Colorant,
Those who are registered under a specific settlement but are also considered citizens of another due to the hierarchical relationship between them.,
Those who are directly registered under a settlement without any intermediary lower level settlement affiliations,
"A 'Residence' deed will apply housing points towards the Character XP multiplier, split among the residents.",
Reputation Given To User,
Reputation Given To Picture,
Reputation Given To Deed,
Start the mapping at this value.,
"After the amount increases this much, it will increase the output half the remaining distance to the limit.",
The output yielded when input is at or below 'InputMin'.,
"When the input value goes 'InputHalfLife' past 'InputSoftCap', the output will reach 50% towards this value.  This is the value it will approach but never reach..",
Clear all weather,
checkobjectspositions,
checkobjects,
"Check every object in scene making sure they have the correct position, inform and disable them otherwise.",
qamode,
"Toggle qamode on/off. This is a debug build, so this command is available for all users.",
demote,
"Demotes user from adnim to a regular user until server is restarted or this command is invoked again. This is a debug build, so this command is available for all users.",
Exhaustion Date Hours Offset,
Defines hours offset for local and UTC time exhaustion debugging. Simple way to move exhaustion time back and forth.,
Placement On Surfaces,
"IN PREVIEW MODE FOR 10.3: Allows placing some objects on rugs and tabletops, and rotating them to any angle.",
Auto Approve Printer Pictures,
Utc Time,
"Allow bonus retroactive playtime for player when joining after first game day. So, player can receive as much time as if playing from start. Only enabled when AllowPlaytimeSaving is active.",
Accept Items Bought In Any World,
Accept Items Bought In These Worlds,
Accept Achievements From Any World,
Accept Achievements From These Worlds,
Allow Paid Items In Player Stores,
"If set, we don't care where citizens bought any items, we allow all of them to be used here.",
"If the above option is not enabled and this world doesn't accept all items, this list can contain the IDs of worlds and the IDs of owners of worlds from which this server will allow items. This allows specifying servers together in a network of shared item usage.",
"If set, we don't care where citizens got an achievement, we allow all of them to be used displayed and used here.",
"If true, paid variants of items will not be allowed in stores.",
homesteadreport,
Shows a report of how neighboring settlements may impact a homestead that is placed at the citizen's current location.,
settlementreport,
"Shows a report of how neighboring settlements may impact a settlement that is placed at the citizen's current location.  Pass a number to specify settlement type that would be placed (0 = town, 1 = country, etc)",
enabledisable,
seten,
Enables or disables a settlement. This will stop it from casting influence or applying laws when disabled.,
Settlement Min Required Plot Coverage Percentage,
Homestead Min Required Plot Coverage Percentage,
A country/federation's influence must overlap a child town/country by this percentage in order to be a child.,
Minimum required ratio of homestead plots covered by settlement's influence to be a child.,
Maps player reputation to culture points.,
Maps reputation of the artwork to culture points.,
"Maps the reputation of a property to a multiplier for the value of that property, for Residential property type.",
clearall,
cleartowns,
Destroy all things related with the passed settlement and unclaim all property.,
boostsettlement,
boostsettlementculture,
boostproperty,
boostpropertyculture,
"Sets a boost to the culture value of the given deed, or the property where the user is standing if not specified",
Gives reputation from the given user (defaulting to self if not set) to the given target (picture or user) ignoring limits by default.,
reprep,
masterpieces,
vincent,
"Gives reputation to all pictures ignoring limits, can set settlement to only apply reputation to pictures under its influence.",
"When this is toggled, only unaffiliated homesteads (not a member of any settlement) will be allowed to expand into our settlement influence.",
The founding of a Settlement will create an influence area that can be observed on the map. The chosen color will signify the extent of influence generated by this Settlement.,
"Check the current surroundings to see if it's a room, and if not explain why not. Recalculate outdoor area.",
resolveoverburdened,
overb,
"Any deed that is overburdened (too many plots claimed, not enough claim papers) will have plots unclaimed immediately (instead of waiting for timer)",
"When you're not using tools for a job, you put these to work.",
Move Elevator Action,
Move/Stop elevator,
"Only triggers laws from settlements that the Citizen is a part of, or settlements (and their parents) holding the bank account.",
Only triggers laws from settlements that the Citizen is a part of.,
A citizen transferred property influenced by the settlement.,
Only triggers laws on settlements influencing the deed.,
The citizen who transfered the money. Note: Can only be taxed if they are a citizen of the settlement of the law executing.,
"Triggers laws on settlements that the Citizen is a part of, as well as settlements (and their parent settlements) owning either bank account.",
This triggers instead of the 'Transfer Money' action when the source account is a government account.,
"Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election.",
Target Type,
What kind of thing was recieving the reputation?,
Triggers laws on settlements that either Citizen is a part of.,
Triggers laws on settlements that the Citizen is a part of.,
Triggers laws on settlements influencing the location performed.,
A citizen felled a tree and created debris.,
Triggers laws on settlements influencing the start and end locations where it was performed.,
Triggers laws on settlements influencing the deed.,
Triggers laws on settlements influencing the payment source.,
An effect that is run on each specified citizen of the given settlement at intervals.,
Triggers laws on all founded settlements.,
Cultural Plaque,
setpartdecaymult,
partdecay,
"On objects within a given radius, make part durability consumption optionally trigger constantly instead of accumulating, and set a multiplier for how fast it goes.",
Hours After Deed Overburdened Before Removing Plots,
Triggers To Block In Lesser Laws,
Legal Actions To Block In Lesser Laws,
Laws To Block,
Tax From All Accounts,
"If set, will attempt to target all bank accounts in the law's jurisdiction.  Otherwise it only targets the personal accounts of the given targets.",
listall,
chieves,
List all achievements available.,
mine,
mychieves,
"List all achievements and progress for the given user, or self if none passed.",
Steam Server Port,
Max Users Loading At Same Time,
Port for game traffic. UDP only. Requires a restart to take effect.,
Bind port for web traffic. TCP only. Requires a restart to take effect.,
Bind port for RCON traffic. TCP only. Requires a restart to take effect. More info available here: https://wiki.play.eco/en/RCON,
Port for Steam game server traffic. Used only in offline mode on Windows and Linux. Requires a restart to take effect.,
How many users can be in loading at same time? Set to -1 for infinite.,
dyeColor,
r,
g,
b,
targetID,
reputation,
multiplier,
consumeWithoutDelay,
Hide UIKey,
Actionbar Skills,
Hide all game interface (Alt + Key),
"Couldn't connect to Steam servers. You can still play, but you won't be able to access user data.",
"Couldn't connect to Strange Loop servers. You can still play through Steam, but you won't be able to access user data.",
You are a SLG developer. Your authorization level on this server is that of {0}.,
You are {0}.,
a user,
a moderator,
an admin,
a dev tier admin,
an unknown type of user,
DevTier,
Allowing 'give' for strange blueprint item {0} because this is a non-production build.,
{0} requires a Strange Blueprint and cannot be given.,
{0} attempted to tax but had no jurisdiction to do so.,
- Time until exhaustion: {0},- 消耗するまでの時間: {0}
(Maximum: {0}),（最大: {0}）
(Unused time expires at next refresh),（未使用の時間は次の更新時に期限切れになります）
You can halt exhaustion progress by resting on furniture or sleeping.,
You are currently resting! Exhaustion progress is halted.,
Select a file from your computer to upload.,
Files can't be larger than specified in server config.,
Uploading images is not allowed on this server.,
This plot is unowned.,
Place on Surface,
"If you place this on unowned land, anyone can take it, and you will have to manually link any storages.  Proceed?",
Don't warn about unowned land.,
Can Be On Table Top,
Can Be On Rug,
Placeable On Unowned Land,
Outdoor,
Plaque,
max durability repair penalty,
Scientist Specialty,
Primitive Backpack,
Powdered Creosote,
Plastic Utensils,
Incinerate Garbage,
Grease,
Pigment,
Hoer,
Wall Framed Vertical Edge With Panel,
Wall Framed End With Panel,
Wall Framed Top With Panel,
Wall Framed T Horizontal,
Wall Framed T Vertical,
Wall Framed Corner Bottom,
Wall Framed Corner Top,
Wall Framed X,
Wall Decorative Block,
Wall Framed Vertical Pattern,
Wall Framed Horizontal Mid,
Wall Framed Horizontal Double With Mid,
Wall Framed Vertical Mid,
Wall Framed Vertical Edge Double,
Wall Framed Vertical Edge,
Plain Wall With Panel,
Wall Framed Top And Bottom,
Wall Framed With Panel,
Plain Wall,
Wall X Plain With Panel,
Wall X Framed Top And Bottom,
Wall X Framed Top With Panel,
Wall X Plain,
Wall X Intersection,
Wall T Plain With Panel,
Wall T Framed Top And Bottom,
Wall T Framed Top With Panel,
Wall T Plain,
Wall T Intersection,
Wall Single Block,
Wall Mid Section,
Wall End Piece,
Wall Corner Plain With Panel,
Wall Corner Framed Top And Bottom,
Wall Corner Framed Top With Panel,
Wall Corner Plain,
Wall Corner Piece,
Stairs Solo,
Stairs Mid Block,
Stairs End Right,
Stairs End Left,
Roof X Intersection,
Roof Underslope Turn,
Roof Underslope Side,
Roof Underslope Corner,
Roof T Intersection,
Roof Single Block,
Roof Peak X,
Roof Peak T,
Roof Peak Corner,
Roof Mid Section,
Roof Fill Block,
Roof End Piece,
Roof Turn Curved Edge Block,
Roof Side Curved Edge Block,
Roof Corner Edge,
Fence X Intersection,
Fence T Intersection,
Fence Solo Block,
Fence Mid Block,
Fence End Block,
Fence Corner Block,
Decoration D,
Decoration C,
Decoration B,
Decoration A,
Column C Block,
Column Top Block Alt,
Column Top Block,
Column Mid Block,
Column Base Block,
Ceiling Block,
Walls,
{0} for {1},
This settlement is disabled because the foundation ({0}) has been disabled for too long!,
"Until the foundation is repaired, Influence and Laws will not function, and it will be much easier for other settlements to annex this one.",
"Can be used as currency, up to {0} per item.",
"Note: this item requires a Strange Blueprint to build, and you cannot list it in stores on this world due to current config.",
"These claims are {0} and can be used in any claim stake, regardless of settlements or lack thereof.",
coin,
Click to give reputation.,
Durability: {0}/{1},
Repair cost: {0},
Repair requires missing skills: {0},
Max durability has been reduced in past repairs by {0}.,
{0} Broken,
Architecture Reputation:,
Architecture Culture:,
This law is DISABLED because the containing settlement {0} is disabled.,
Couldn't add all trades:,
Paid items cannot be bought or sold in stores in this world (due to admin config setting).,
{0}{1} now owns {2}.,
Election will not yield a result unless {0} of eligible voters ({1} out of {2}) cast a vote. {3} ({4}) have voted so far.,
Max bucket amount reached.,
Each pigment added requires +{0} of source paint * multiplier,
Crafted,
Blueprint required,
Crafting {0} requires a blueprint for it,
You can purchase blueprints for {0} in the {1}.,
You can craft one item for each blueprint you own.,
"You currently have {0} total blueprints, {1} of which you have used.",
{0} of your blueprints are not allowed on this server due to being bought on a non-approved server,
"You don't have {0}, so someone else will need to perform the labor on work orders crafting this. Do you still want to start it?",
"You don't own {0}, would you like to view it in the Marketplace?",
Start Project,
View in Marketplace,
Eco Marketplace,
Click to see blueprints for this item in marketplace,
Affected By:\n,
"Fetching servers from Strange Cloud failed, cached data will be used instead. Exception:\n{0}",
R-click to remove from palette,
Are you sure you want to clear the palette? {0} colors will be deleted.,
Cant save empty recipe.,
Palette is full.,
Are you sure you want to delete this color from palette?,
You are not connected to Strange Cloud and cannot use the store.,
Waiting on last purchase to compelte.,
Purchase complete!,
{0} spent.,
{0} ({1}) sent to {2},{0}（{1}）が{2} に送信されました
Not enough credits to buy this.,
Buy {0} for {1}?,
Failed to buy:,
"{0}: Because your Steam account is new, you will not be able to spend these Eco Credits until 72 hours have passed after purchasing (fraud protection). Proceed?",
Failed to buy,
Complete purchase failed: {0},
"To purchase Eco Credits, you will need to link your account to Steam at {0}",
Purchase failed,
Hosting world,
Each blueprint will allow you to craft 1 item of that type in each world.,
NOTE,
"Because your Steam account is new, you may buy Eco Credits but you cannot spend them until 72 hours have passed after purchasing (fraud protection).",
Your steam account is locked and you cannot use the store.,
Owned: {0},
Crafted at: {0},
"Cannot purchase these in Unity Editor, because Steam overlay doesn't work here. Would you like to auto-complete the purchase if youre logged in as an admin?",
Current host not eligible,
Must be public and have several active players who have played for a while.,
You can still spend credits obtained through other means however.,
Placment Blocked by {0},
Placement Blocked,
another object,
Mixing,
You have no buckets of such color to select,
"Sprayer is empty, add some paint into it.",
Already painted with this color,
Pick color,
Can't shoot bow while inside of water.,
You own this plot.,
Deed display on placement,
You do not own this plot.,
Unowned plot.,
"When turned off, eyes considered as closed only when both eyes are closed. When turned on, each eye blink is detected independently.",
Allow winking,
Sprayer cant consume this item.,
This object has already been picked up.,
"Note: when there are multiple residents, the penalty for multiple rooms of the same type is reduced.  IE, more bedrooms is more beneficial when you have roommates.",
"The {0} {1} determines the cultural value of the {2}. Only {3} reputation counts, {4} reputation is ignored.",
A work's {0} value is capped at {1}x the artist's reputation. Negative reputation is ignored.,
"Reputation from the settlement that the work is currently placed in is reduced by {0}.  Thus, foriegn opinion matters more for culture value (some works, like paintings, can be traded and yield net positive culture to two settlements).",
Final value (capped at {0}x of artist's value):,
Note: Culture reduced to zero because not placed in a Settlement yet.,
Note: Culture reduced to zero because the artist has no positive reputation.,
Cultural Value in {0},
Cultural Value Without Settlement,
Right click to select for sprayer tool,
Can select color only from your inventory!,
Cannot give reputation to a picture that is not placed in a picture frame.,
Cannot give reputation to a picture that is too far away.,
picture,
The application of {0} to become a member was rejected by {1}.,
Housing Multiplier,
{0} from {1} {2} from {3} {4}.,
No deed specified or at current location.,
{0} given to all pictures.,
{0} given to all pictures in {1}.,
Cultural Trailblazers,
Create 100 total culture as a world.,
Cultural Awakening,
Create 250 total culture as a world.,
Cultural Vanguard,
Create 1000 total culture as a world.,
Fresh Canvas,
Create an artwork that generates 5 culture.,
Create an artwork that generates 20 culture.,
Famed Work,
Create an artwork that generates 50 culture.,
Renowned Work,
Create an artwork that generates 200 culture.,
Visionary Work,
Create an artwork that generates 500 culture.,
Create an artwork that generates 1000 culture.,
Create an artwork that generates 5000 culture.,
Impossible Beauty,
Create an artwork that generates 10000 culture.,
Noteworthy Construction,
Create architecture that generates 5 culture.,
Foundational Excellence,
Create architecture that generates 20 culture.,
Structural Magnificence,
Create architecture that generates 50 culture.,
Famed Landmark,
Create architecture that generates 200 culture.,
Excellent Edificie,
Create architecture that generates 500 culture.,
Grand Monument,
Create architecture that generates 1000 culture.,
Legendary Masterwork,
Create architecture that generates 5000 culture.,
Eternal Perfection,
Create architecture that generates 10000 culture.,
No remaining children settlements.,
Click the button to unveil the {0} foundation and found the {1}.,
"After founding {0} you will not be able to move the foundation more than {1}m from its founding position anymore and moving it will not change the source position of influence, which will stay at the original position.",
"You placed a {0} claim stake in the influence of {1}, this allows you to claim outside the influence of the {2}, extending its influence into the parent {3}.",
Note: this can be overriden if 'Block Children Settlements From Influencing Property' is checked on the claim stake.,
Claim papers returned because the homestead is now part of {0}.,
"If you place your homestead here you will lose direct citizenship of {0} and gain direct citizenship of {1}, do you want to proceed?",
claim paper,
{0}'s Backpack,
{0}'s Toolbar,
"Paint mixing workbench only accepts pigments, base paint and mixed paint buckets",
Inventory lock wasn't disposed after {0} of creation. It could mean that lock will never be released. {1}.,
"- In {0} rooms, up to {1}.",- {0} の部屋では、最大{1} まで。
Admin Applied Property Value Boost: +{0}.,
Architecture Multiplier:,
{0} yields {1},
Admin Boost: +{0}.,
Housing Value Mulitplier,
Architecture Cultural Value,
Architectural Culture Value:,
Admin Boost: +{0},
architecture cultural value,
The bank account {0} was closed and all contained funds were sent to you.,
The bank account {0} was closed and all contained funds were divided among: {1}.,
Closing {0} Account,
This plaque is not placed on claimed property and thus cannot be used to rate architecture.,
Remove Articles:,
Add Articles:,
Amended Articles,
Removed by {0},
Election process must be in the same settlement (or a parent) as the article.,
You setup a shop! First item for sale was {0}.,
"Paid 50 backing-units of currency in taxes (IE, 50 gold ingots worth of currency, when backed by gold ingots, which may be different from the currency value).",
Custom Search {0},
Remove {0} from {1}?,
Name your custom search option,
"No custom list found, Create a custom list to add recipes to it",
Select custom list to add this recipe to,
No custom lists to delete,
You must have logged into a world to report it.,
Must describe why you are reporting the server.,
Error reporting server: {0},
Server reported successfully.,
day {0},
{0} users online,
Match Target,
"Fixed {0} invalid objects, check player log to see the details.",
No invalid objects found.,
self,
Surface Tags.Can Be On Rug,
Surface Tags.Can Be On Table Top,
Failed to process view update,
Text is too long. Text length: {0} Max length: {1},
Text is too short. Text length: {0} Min length: {1},
Eco Credits,
Argument '{0}' should be passed without a value. Passed value will be ignored.,
"Argument '{0}' has to be passed with a value using the following format: -{1}=""value",
Red,
Green,
Blue,
Cyan,
Magenta,
Yellow,
Black,
White,
"If the issue continues, our services might be under maintenance. Check the status of our servers at {0}. If our services are interrupted the server needs to be restarted in offline mode.",
"For further assistance please reach out to {0}, to receive the latest news about Eco you can join our Discord at {1}.",
The server is disconnected from Strange Loop servers and needs to be restarted in online mode.,
The server is connected to Strange Loop Servers but you are not. Must be connected to Strange Loop Servers to login here.,
Unaffiliated,
"Eco Server {0},",
Logged in as {0},
Running in offline mode,
Failed to set user token. Exception: {0},
Logged in to Strange Cloud using {0}.,
Unexpected Strange Cloud authentication attempt result: {0}.,
Failed to load session info: {0},
"Username was provided, but password is missing.",
"Password was provided, but username is missing.",
All authentication methods failed.,
No authentication methods were available.,
Strange Cloud authentication with {0} failed with error: {1}.,
Login failed:\n{0},
Unknown error.,
user token,
Steam ticket,
username and password,
hardcoded debug username and password,
username and password dialog,
Server startup was canceled by user.,
User does not own Eco.,
offline mode arguments (-offline or -nonetwork),
You were demoted.,
Your demotion was revoked.,
Demotes user from adnim to a regular user until server is restarted or this command is invoked again.,
Sending {0} minimap objects to {1},
Craft more adobe blocks and fully enclose a room with walls and a ceiling.,
Claim some land by right-clicking nearby plots.,
You'll need to combine wood and dirt at your {0} to build with them.,
Open the workbench and find the {0} Recipe. Click 'Start Project'.,作業台を開き、{0} のレシピを見つけてください。「プロジェクトを開始」をクリックします。
Collect at least 4 {0} blocks in hand.  Make more if needed.,
Find the Workbench Recipe and click 'Start Project'.,作業台のレシピを見つけて、「プロジェクトを開始」をクリックしてください。
Prepare Adobe for Building,
"When complete, pick up the Adobe from the storage tab.",
Use a hammer to start building a house from the materials you've processed.,
Place down the {0} blocks somewhere on land you own to form the beginning frame of your room.,
Strange Cloud,
You do not own the blueprint needed for that recipe.,
You cannot create anymore of this item unless you buy more blueprints.,
You only have enough blueprints to make {0} more.,
"You are trying to learn {0}, this will consume {1}, leaving you with {2} remaining. Continue?",
{0} per Citizen and ({1} spawned),
Potential Parent {0},
"Note: This report considers only initial placement. As you expand your claim with more plots, these values will change.",
Report on placing a {0} at {1},
Potenential Member {0},
A {0}'s influence must cover {1} of a {2} to claim it as a member.,
"If the {0} foundation is placed here, its base influence range of {1}m gives these results:",
In influence range and may become a parent.,
Not in influence range to become a parent ({0}m too far),
Use this to see the range of nearby settlements and homesteads and decide if you want to place here.,
{0}m away,
No relevant settlements found.,
{0} removals:,
{0} was destroyed,
{0} has ended its property crisis.,
Property crisis at {0},
{0} was removed from {1}: {2},
"{0} {1} {2} of {3}, but requires {4}.",
"{0} {1} {2} of {3}, meeting the requirement of {4}.",
{0}'s influence,
A new {0}'s base influence ({1}m radius),
only covers,
will cover (when founded),
will reach,
would then cover only,
Created and assigned {0},
Warning: {0} was missing some core government objects and they were created.{1},
Tier out of range.,
enabled.,
disabled.,
Failed to remove from citizenship.,
Dissolved {0},
You were removed from {0}: {1},
Can't take citizenship:,
"After you take Citizenship, {0} from other settlements and all {1} will no longer work on your Homestead, and you will be short {2} claims needed to cover the claimed land.",
"To compensate for this, {0} claim papers from {1} can be added before taking citizenship, and the transition will seamlessly happen without lost plots.",
"Alternatively, you can unclaim some land on your homestead.",
{0} cannot join {1}:,
paper,
{0} has been re-enabled and is functioning normally again.,
{0} was liquidated. Moved following bank accounts to {1}:,
"{0} has been disabled for too long, and now {1} is disabled!",
It will not cast influence outside of its property nor enforce laws until the foundation is fixed.,
Dissolution of {0},
{0} is {1}!,
*** Deed is Overburdened! ***,
Plot Sources:,
overburdened,
"If this is not fixed before {0}, the farthest plots will be unclaimed.",
{0} was {1} and lost {2}.,
{0} from {1},
General {0},
Returned Claim Papers,
{0}'s inventory,
Settlement foundation's inventory,
Not enough claim papers are in its inventory to support all the claimed plots.,
{2} will be disabled in {3}.,
Either add more claim papers to the claim stake or manually remove plots.,
"Can't claim plot, must be under the influence of {0} or a settlement that has given special border control permission on its foundation.",
"Can't claim plot, it's under the influence of a settlement that you're not part of and didn't give you any special permission.",
"{0} will not generate any housing points, because it vertically overlaps {1}.",
You will lose access to all items owned by {0} on the {1}.,
Right-click and move to draw. Click at already-taken plot to erase.  Press left-control to temporarily switch layers.,
architecture,
architecture's,
Can't change plots: deed no longer exists,
{0}'s id is {1}.,
Plugins not initialized.,
Cannot attach {0} as it's owning settlement {1} doesn't influence this position.,
"Can't move here, this plot is not in {0}. Must re-place to change deeds.",
"Can't move here, the original position is unclaimed but this position is on the deed {0}. Must re-place to change deeds.",
Warning: {0} will be removed in {1} if {2} is not repaired.,
This object is DISABLED along with its contained objects: {0}.,
WARNING: This {0} is INVALID and each contained {1} will be disabled on {2} if not corrected.,
The following {0} will be disabled: {1},
WARNING: This {0} is INVALID and {1} will be disabled on {2} if not corrected.,
{0} inventories return.,
{0} Removed Claim Stake,
Can't interact with vehicle while steering.,
Orphaned crafting component.,
Couldn't start work order:,
Tool will be much less efficient until repaired.,
additional -{0} penalty to max durability,
no additional penalty to max durability,
Containing object will be disabled until repaired or replaced.,
Parts,
{0} must influence this location in order to use it's claim papers inside it.,
{0:verb},
Reduces durability by {0} per hour of use.,
This will also pickup {0},
{0} is at full durability.,
Can be repaired with:,
Requires skills:,
Repairing at this table will reduce max durability by -{0},
{0} is beyond repair.,
{0} is already at its max durability (max durability has been reduced to {1} due to prior repairs).,
No repair material on table to repair {0}.,
Cannot repair {0} with {1}.,
"Not enough {0} to repair {1}, {2} needed.",
{0} repaired to durability of {1}.,
The repair has reduced max durability {0} from {1} to {2}.,
"Unable to repair, table is disabled. Check status tab.",
{0} Missing part {1} x{2}.,
"{0} Not enough of part {1}, {2} needed.",
{0} Broken part {1}.,
{0} Has working {1} ({2} durability).,
Can't clear contained parts.,
"The {0} has broken inside your {1}, disabling it.",
All parts working:,
Parts not working.,
All parts at {0} durability.,
This object does not accept that part.,
This object does not need more of this part.,
Color recipe is empty!,
Not enough base paint buckets provided!,
Cant find matching color powder for {0} color!,
Mixed {0} buckets of {1}!,
{0} can only produce a maximum of {1} coins per item.,
Note: items contained will also be sold.,
Reducing durability by {0} per hour of use.,
Will reduce durability by {0} per hour of use (some recipes may have different rates).,
{0} Achievements,
Duplicate IDs detected: {0},
{0}: {1} duplicates,
Starting in offline mode. Updated user data and registration in server browser will be unavailable.,
"Eco Server {0}, Logged in as {1}",
"Eco Server {0}, Running in offline mode",
Steamworks support on macOS is not implemented. User authentication will be disabled in offline mode.,
Failed to open server GUI. You can run with -nogui to hide this warning. The exception encountered was:\n{0},
Reset Server ID,
Update All Config Templates,
Steam Game Server initialized.,
Connection attempt timed out after: {0} ms.,
Successfully connected to Steam servers.,
Unexpected response: {0},
Unexpected result: {0},
Failed to connect to Steam servers. User authentication will be disabled.,
Another client is already trying to authenticate using this Steam ID.,
Operation timed out.,
"Steam has verified the user is online, the ticket is valid and ticket has not been reused.",
The user in question is not connected to Steam.,
The user doesn't have a license for this App ID or the ticket has expired.,
The user is VAC banned for this game.,
The user account has logged in elsewhere and the session containing the game instance has been disconnected.,
VAC has been unable to perform anti-cheat checks on this user.,
The ticket has been canceled by the issuer.,
"This ticket has already been used, it is not valid.",
This ticket is not from a user instance currently connected to Steam.,
The user is banned for this game. The ban came via the web api and not VAC.,
Ticket is valid for this game and this Steam ID.,
The ticket is invalid.,
A ticket has already been submitted for this Steam ID.,
Ticket is from an incompatible interface version.,
Ticket is not for this game.,
Ticket has expired.,
Required Skills,
Required Achievements,
Advanced building,
Allows diagonal building by targeting block edges.,
Allow Placing on Unowned Land,
"When checked, will skip warnings about placing on unowned land.",
Skip building animation,
"When checked, will skip the hammer swing animation to place blocks.",
When enabled displays deed overlay when placing objects within,
World Host,
Crafted at:,
<u>'The Ocean Cleanup'</u> Charity,
Skip building animations,
"When checked, will skip the hammer swing animation to place/pickup blocks.",
Eco Credits will be converted to dollar value based on sale price and donations made quarterly,
"With Eco Credits, purchaseable on Steam, you will be able to buy recipes unlocking cosmetic variants of various objects in the game",
"Show Your Support For Eco, the Eco-Ecosystem and the actual Ecosystem",
"For every Eco Credit spent, we share with all the value providers in the ecosystem",
Drag paint here,
Marketplace,
Settlements where Citizen is a member (coming soon),
Buy Credits,
Return to Shop,
Supporting Streamers \n(coming soon),
Modders with mods used in world (coming soon),
Advanced search,
Enables sorting and custom lists,
Resets Colorans selection to start over,
Mix,
Mix currently selected colorants into a bucket of paint,
Skip warning when placing on unowned land,
Display deeds on placement,
Advanced building enabled,
Show 'owned' only,
Add Credits,
Already own:,
Select Category,カテゴリを選択します。
Purchase Blueprint,
Wallet,
Use this form to report servers breaking the Strange Loop terms of service.,
Report Server,
Create a new custom list,
Creates a new custom list that you can add different recipes to for more convenient filtering.,
Delete a custom list,
Save to palette,
"Saves current mix recipe to pallete, so it can be easily loaded later. \nTo remove item from palette - press it with right click.",
Sale,
Server is circumventing premium item purchases (bannable offense).,
ServerID:,
View Terms of Service,
Submit Report\n,
Search Here...,
Repair Materials:,
Item to Repair,
"Owned: 5, Built: 5",
Add to a custom list,
Adds this recipe to a chosen custom list for more convenient filtering.,
Consolidate content from the  inventory to take up the least possible inventory space and sort it,
Variants\n,
Source paint buckets will be automatically consumed on mix and added to your inventory,
Mix paint with white paint buckets and pigments\n\nNumbers under pigments show used/available amounts\n\nPigments and paint buckets consumed from storage tab and user inventory\n,
Consolidate content from all inventories to take up the least possible inventory space and sort it,
Amount\n,
You can add or remove pigments with \n,
Consolidate content from the inventory to take up the least possible inventory space and sort it,
"Percent chance of a new weather system forming, tested every minute.",
"The max number of weather systems to exist at the same time, weighted by the size of the world.",
Maintenance Decay Percentage,
Maintenance Decay Multiplier,
Specialty Experience Per Level Squared,
"Maintenance decay rate, this sets the default value for hourly consumption of durability.",
"Maintenance decay rate multiplier, this can be adjusted to increase or decrease the Part durability consumed in crafting tables.",
The skill level will be multiplied by this number and squared to determine how much experience is needed to gain a level.,
"IN PREVIEW MODE, NOT FINISHED: Allows placing some objects on rugs and tabletops, and rotating them to any angle.",
Allow Using Paid Items Without Blueprint,
Block Using Any Paid Item,
"If true, paid variants of items will be allowed in stores.",
"If true, only players owning a blueprint can place items using it.",
"If true, paid variants are now allowed in this world.",
Game Settings,
Block Paint,
A citizen painted a block,
Block Paint Cleanup,
