Context,English,French
,"After each round, the lowest candidate(s) are removed, and any citizens who voted for them have their votes set to their next highest preference.","Après chaque tour, le(s) candidat(s) ayant le moins de voix est/sont éliminé(s), et les votes des citoyens qui ont voté pour eux sont réaffectés à leur prochaine préférence la plus élevée."
,Twitch Votes,Votes sur Twitch
,Election for {0}. Currently {1}.,Élection pour {0}. Actuellement {1}.
,{0} have been removed from this position.,{0} ont été retirés de cette position.
,Votes in {0},Votes dans {0}
,A new constitution {0} has been ratified in {1}!  The {2} can now be founded at any time.,Une nouvelle constitution {0} a été ratifiée dans {1} !  La colonie - {2} peut désormais être fondée à tout moment.
,You cannot create or make changes here until a constitution exists or is proposed for ratification.,Il n'est pas possible de créer ou d'apporter des modifications ici tant qu'une constitution n'existe pas ou n'est pas proposée à la ratification.
,Civic Powers not updated.,Pouvoirs civiques non mis à jour.
,"By article {0}, you may {1} (or start an election of type {2}).","Avec l'article {0}, vous pouvez {1} (ou lancer une élection de type {2})."
,"By article {0}, you may {1}.","Avec l'article {0}, vous pouvez {1}."
,"By article {0}, you may start an election of type {1} to {2}.","Avec l'article {0}, vous pouvez lancer une élection du type {1} à {2}."
,Twitch Linking Poll Error: {0},Erreur de sondage de liaison Twitch : {0}
,Used to simulate underwater effect.,Utilisé pour simuler l'effet sous-marin.
,Enables sun rays effect.,Active l'effet des rayons du soleil.
,Used to simulate fog or mist in outdoor environments.,Utilisé pour simuler le brouillard ou la brume dans les environnements extérieurs.
,Ambient occlusion ensures more realistic ambient lighting by calculating just how bright certain parts of the screen should be based on geometry.,L'occlusion ambiante garantit un éclairage ambiant plus réaliste en calculant la luminosité de certaines parties de l'écran en fonction de la géométrie.
,"Graphics effect used to make visuals look more realistic by adding a level of reflection to the surface, like in real life.","Effet graphique utilisé pour rendre les images plus réalistes en ajoutant un niveau de réflexion à la surface, comme dans la vie réelle."
,Used to refract light when looking through glass.,Utilisé pour réfracter la lumière lorsque l'on regarde à travers une vitre.
,Water quality.,Qualité de l'eau.
,Show FPS,Afficher les FPS
,Display FPS count in a corner of the screen at all times.,Afficher en permanence le nombre de FPS dans un coin de l'écran.
,Performance Impact: Low,Impact sur les performances : Faible
,Performance Impact: Average,Impact sur les performances : Moyenne
,Performance Impact: High,Impact sur les performances : Élevé
,Failed to perform platform action ({0}) on platform: {1},Échec de l'exécution de l'action de la plateforme ({0}) sur la plateforme : {1}
,Boat,Bateau
,Build {0} blocks,Construire {0} blocs
,Can't build here,Impossible de construire ici
,Not attached to the ground,Non attaché au sol
,Blocked by {0},Bloqué par {0}
,"Text is too long, max length excluding tags cannot exceed {0} characters.","Le texte est trop long, la longueur maximale sans les tags ne peut pas dépasser {0} caractères."
,Text is too long! Your new title {0} ({1}) exceedes max length of {2} characters.,Le texte est trop long ! Votre nouveau titre {0} ({1}) dépasse la longueur maximale de {2} caractères.
,"For every +{0}, the resulting {1} will get {2} closer to {3}.","Pour chaque +{0}, le score obtenue de {1} se rapprochera de {2} et tendra vers {3}."
,"At current values, +{0} will yield +{1}","En l'état actuel des choses, +{0} produira +{1}"
,{0} above,{0} ci-dessus
,"For every {0} increase in {1}, the resulting {2} will get 50% closer to the limit, {3}.","Pour chaque augmentation de {0} de la {1}, le {2} qui en résulte se rapprochera de 50 % de la limite, {3}."
should be unisex translation,An,Un
should be unisex translation,A,un(e)
,Admin action,
,Can't find species with name {0},Impossible de trouver une espèce portant le nom {0}
,This command can be used only after world generation with no restarts of server.,"Cette commande ne peut être utilisée qu'après la génération du monde, sans redémarrage du serveur."
,Twitcher {0},
,You were invited to become a {0} by {1}.{2}You may accept at {3} at {4}.,Vous avez été invité à devenir un {0} par {1}.{2}Vous pouvez accepter à {3} à {4}.
,Your application to become a {0} was rejected.,Votre demande de devenir un {0} a été rejetée.
,Select Citizens,Sélection Citoyens
,Citizens invited: ,Citoyens invités :
,Take the {0} from your tent and select it.,{0} à récupérer dans votre tente et sélectionnez l'item.
,Pick up the stone pieces by pressing {0}.,Ramasser les morceaux de pierre en appuyant sur {0}.
,Control your Camera,Contrôl de ta caméra
,Hold {0} to zoom.,Maintener la touche {0} enfoncée pour zoomer.
,Press {0} and {1} to move.,Appuyer sur {0} et {1} pour vous déplacer.
,Press {0} to jump.,Appuyer sur {0} pour sauter.
,Press {0} to toggle the mouse cursor.,Appuyer sur {0} pour faire basculer le curseur de la souris.
,Open the construction menu by pressing and holding  {0}.,Ouvrez le menu de construction en appuyant {0} et en maintenant la touche enfoncée.
,Open Ecopedia by pressing the {0} key or by clicking the icon that is being pointed to.,Ouvrir Ecopedia en appuyant sur la touche {0} ou en cliquant sur l'icône mise en avant.
,How to Start a Town,Comment créer une ville
,Watch Towns introduction,Regarder la présentation sur les villes
,{0} has learned the specialty {1:skill name}!,{0} a appris la spécialité {1:skill name}!
,{0} per active/abandoned citizen: {1}/{2} ({3} spawned),{0} par citoyen actif/abandonné : {1}/{2} ({3} engendrés)
,{0} Foundation Deed,Propriété de fondation de {0}
,Anyone can approve new settlements since this one has no creator.,Tout le monde peut approuver de nouvelles colonies puisque celle-ci n'a pas de créateur.
,"{0} is not a member, invited or applicant and cannot be removed.","{0} n'est pas un membre, invité, ou un candidat et ne peut pas être supprimé."
,The {0} {1} has been removed as a member/invited/applicant of the {2} {3}.,Le {0} {1} a été radié en tant que membre/invité/candidat de {2} {3}.
,Select Member Settlements,Sélectionner les colonies membres
,Contains member settlements:,Colonies membres présentes :
,Member of the {0}.,Membre de la colonie - {0}
,Not a member of any other Settlement.,Pas membre d'une autre colonie.
,Global Settlement,Colonie globale
,Must have {0} of plots under the influence of {1} in order to become a citizen (or no claimed plots at all).,Il faut avoir {0} parcelles sous l'influence de {1} pour devenir citoyen (ou aucune parcelle revendiquée du tout).
,"You're already a citizen or the leader of {0}, to create a new settlement of the same type you need to leave that one first.","Vous êtes déjà un citoyen ou le dirigeant de {0}, pour créer une nouvelle colonie du même type, vous devez d'abord quitter celle-ci."
,Culture to Influence within {0}:,Culture pour influencer au sein des {0} :
,Settings on Immigration Policies:,Paramètres des Politiques d'Immigration:
,"Spawned {0}, {1}, {2}.","{0}, {1}, {2} générés."
,Spawned homestead for {0}.,Génère une propriété privée pour {0}.
,"This command is only made for testing which means it can lead to some weird results, are you sure you want that on your conscience ?","Cette commande est uniquement destinée aux tests, ce qui signifie qu'elle peut entraîner des résultats étranges. Êtes-vous sûr de vouloir en assumer la responsabilité ?"
,This settlement doesn't have a foundation to spawn claim stakes in.,Cette colonie n'a pas de fondation pour faire apparaître des piquets de revendication.
,This settlement doesn't have a foundation to spawn claim papers in.,Cette colonie n'a pas de fondation pour faire apparaître des titres de propriété.
,Your homestead wasn't placed yet.,Votre propriété privée n'a pas encore été placée.
,"Create a nested homestead, town, country, and federation with simple force-enabled objects.","Créez une propriété privée, une ville, un pays et une fédération imbriqués avec de simples objets activés par la force."
,Create a homestead for the passed user or a test user if null.,Créer une propriété privée pour l'utilisateur donné ou un utilisateur test si nul.
,GetHomesteadBack,
,"The selected settlement is a {0}, but it must be a lower tier than {1}.","La colonie sélectionnée est de type {0}, mais elle doit être d'un niveau inférieur à {1}."
,"The selected settlement is a {0}, but it must be a {1}.","La colonie sélectionnée est de type {0}, mais elle doit être de type {1}."
,"To join a {0} before it's founded, your Homestead ({1}) must be either not placed, or placed within {2}m of the foundation ({3}), but is {4}m away.","Pour rejoindre une {0} avant sa fondation, votre propriété privée ({1}) doit soit ne pas être placée, soit être placée dans un rayon de {2} m de la fondation ({3}), mais elle est à {4} m de distance."
,"You have {0} of your Homestead plots in the influence range of {1}, but you have {2}.","Vous avez {0} de votre propriété privée dans la zone d'influence de {1}, mais vous avez {2}."
,Either move your Homestead plots closer or remove the homestead entirely to become a Citizen.,"Pour devenir citoyen, il faut soit rapprocher votre propriété privée, soit supprimer complètement la propriété privée."
,{0} removed from {1} applicants because they joined the {2}.,{0} retiré des candidats de {1} car ils ont rejoint le {2}.
,{0} removed from {1} invitation list because they joined the {2}.,{0} retiré de la liste d'invitation de {1} car ils ont rejoint {2}.
,"Cannot join as citizen, Homestead too far.","Impossible de joindre en tant que citoyen, votre propriété privée est trop éloigné."
,Note: Citizens of member settlements will automatically be Citizens as well but not listed here. This list is direct Citizens only.,"Remarque : Les citoyens des colonies membres seront automatiquement considérés comme des citoyens également, mais ne sont pas répertoriés ici. Cette liste concerne uniquement les citoyens directs."
,"If you can't access your homestead, you can pick it up remotely via /GetHomesteadBack.","Si vous ne pouvez pas accéder à votre propriété privée, vous pouvez la récupérer à distance via /GetHomesteadBack."
,This list shows the sources that allow you to claim plots on this claim stake.,Cette liste montre les sources qui vous permettent de revendiquer des parcelles sur ce piquet de revendication.
,Claim Papers: {0},Papiers de revendication : {0}
,More plots can be claimed by selecting a {0}.,D'autres parcelles peuvent être revendiquées en utilisant un {0}.
,Only claim papers may be placed here. Adding claim papers will increase the number of plots that can be claimed on this object,Seuls les titres de propriété peuvent être placés ici. L'ajout de titres de propriété augmentera le nombre de parcelles pouvant être revendiquées sur cet objet.
,Claim papers should be of {0} origin or any of its parent settlements.,Les documents de revendication doivent être d'origine {0} ou de l'une de ses colonies parentes.
,Claim papers can't be used with {0} because it isn't part of any settlement.,Les titres de propriété ne peuvent pas être utilisés pour {0} car ils ne font pas partie d'une colonie.
,Can't change assigned deed. You are not an owner on any deeds.,Impossible de changer le titre de propriété attribué. Vous n'êtes propriétaire d'aucun titre de propriété.
,Can't change assigned deed. You only have access to one deed and it's already assigned ({0}).,Impossible de changer le titre de propriété attribué. Vous n'avez accès qu'à un seul titre de propriété et il est déjà attribué ({0}).
,Claim Tool assigned to {0}.,Outil de revendication agissant pour {0}.
,Claiming here would reduce the percent of plots within influence range of {0} to {1}.,Réclamer ici réduirait le pourcentage de parcelles dans la plage d'influence de {0} à {1}.
,Claim mode disabled because you don't own any deed.,"Le mode ""revendication"" est désactivé car vous ne possédez pas de propriété."
,Allows adding or removing plots from any deeds you own.,Permet d'ajouter ou de retirer des parcelles de toute propriété que vous possédez.
,Choose Deed for Claim Tool,Choisir une propriété pour l'outil de revendication
,This list shows deeds you own and can claim/unclaim plots for.,Cette liste indique vos propriétés et dont vous pouvez revendiquer ou non des parcelles.
,Unclaim,Enlever la réclamation
,Source settlement must be founded.,La colonie source doit être fondée.
,Annexations can be performed at an {0}.,Les annexions peuvent être effectuées à un {0}.
,{0} was forced to become a citizen of {1}.,{0} a été contraint de devenir citoyen de {1}.
,Annexation Details.,Détails d'annexion.
,Must be in a room that has all its plots claimed.,Doit être dans une pièce dont toutes les parcelles sont revendiquées.
,All plots under the room are claimed on a single deed,Toutes les parcelles contenant la pièce sont revendiquées par une seul et même propriété
,Room invalid: Contains {0} objects that prevent housing objects from providing any house value.,Pièce invalide : Contient {0} objets qui empêchent les objets de fournir une valeur de résidence.
,Room invalid: All plots under the room must be on a single deed.,Pièce non valable : Toutes les parcelles contenant la pièce doivent faire l'objet d'une seule propriété.
,Vol: {0} Tier: {1},Vol : {0} Niveau : {1}
,Couldn't find claim tool in toolbar.,Impossible de trouver l'outil de revendication dans la barre d'outils.
,Claim Tool unlimited claiming set to {0}.,La limite de l'outil de revendication illimitée est défini sur {0}.
,Property type can't be changed from Cultural because this deed is on a settlement foundation object ({0}).,Le type de propriété ne peut pas être modifié parce que cette propriété de type culturel contient une fondation de colonie ({0}).
,Only an owner may change property type.,Seul un propriétaire peut changer le type de propriété.
,Can't remove plots that are under {0} which is the deed host object.,Impossible de supprimer les parcelles qui sont sous {0} qui est l'hôte du titre de propriété.
,"{0} listed {1} as a citizen, but {2} did not list that as its citizenship. Removing from {3} citizen list.","{0} a désigné {1} comme citoyen, mais {2} n'a pas indiqué cela comme sa citoyenneté. Retrait de la liste des citoyens de {3}."
,"You wake up on the shore, feeling exhausted","Vous vous réveillez sur le rivage, épuisé"
,Can't seed {0} at {1}. It is too high to growth here.,Impossible de semer {0} à {1}. Il est trop élevé pour pousser ici.
,You can now attach the official {0} for the {1} {2} on this {3}.,Vous pouvez maintenant attacher le {0} officiel pour le {1} {2} sur ce {3}.
,There is 1 orphaned {0} {1},Il y a 1 {0} qui est orphelin {1}
,There are {0} orphaned {1} {2},Il y a {0} orphelins {1} {2}
,Cannot attach objects of different settlement origins to the same {0}.,Il n'est pas possible d'attacher des objets d'origines de colonies différentes au même {0}.
,with no host.,avec aucun hôte.
,associated with settlements at this position {0}.,associée aux établissements à cette position {0}.
,{0} is placed {1}.,{0} est placé {1}.
,"Can't be placed, no solid block found at max depth of {0}.","Impossible de le placer, aucun bloc solide trouvé à la profondeur maximale de {0}."
,Must be placed on water.,Doit être placé sur l'eau.
,"Component {0} has to explicitly define [HasIcon] or [NoIcon], because it's parent has [DerivedMustDefineIcon].","Le composant {0} doit définir explicitement [HasIcon] ou [NoIcon], car son parent a [DerivedMustDefineIcon]."
,{0} had 'Ignore Requirements' were set to {1}.,"{0} avait l'option ""Ignorer les exigences"" réglée sur {1}."
,No object with status component was found within 5 meter.,Aucun objet avec un composant d'état n'a été trouvé dans un rayon de 5 mètres.
,"Object is force-enabled via admin, ignoring requirements.","L'objet est activé de force via l'administration, ignorant les conditions requises."
,Can't interact with vehicle while navigating.,Impossible d'interagir avec le véhicule pendant la navigation.
,Automatic restart at {0} (Reason: {1}),Redémarrage automatique à {0} (Raison : {1})
,User Maintenance Scheduled at {0} (Reason: {1}),Maintenance utilisateur prévue à {0} (Raison : {1})
,You've earned {0}.,Vous avez gagné {0}.
,Contained {0}:,Contenu : {0} :
,this.Nitrogen,
,this.Phosphorus,
,this.Potassium,
,Add to a Claim Stake to increase the number of plots you can claim on it.,Ajouter un piquet de revendication pour augmenter le nombre de parcelles que vous pouvez revendiquer.
,Too far to do that.,Trop loin pour cela.
,{0} attempting interaction from too far.,{0} tente d'interagir sur une longue distance.
,Add more claim papers to increase max.,Ajouter d'autres titre de propriété pour augmenter la valeur maximale.
,Can't build above the ocean.,Impossible de construire au-dessus de l'océan.
,Can't build in the deep ocean.,Impossible de construire dans le biome abyssal.
,Taxes:,Taxes :
,Direct Transfer Tax:,Taxe direct sur les transferts :
,Direct Transfer Tax (self):,Taxe direct sur les (auto-) transferts :
,Property Tax:,Taxe foncière :
,Remove meteor impact hours,Retire des heures d'impact du météore
,There are no items to take.,Il n'y a aucun objet à prendre.
,On Off,Activé Désactivé
,Minted currency: {0} created {1}.,Monnaie émise : {0} a créé {1}.
,Elevator,Ascenseur
,Can't change associated settlement while there are active or proposed {0}.,Il n'est pas possible de modifier la colonie associée tant qu'il existe {0} active ou proposée.
,{0} does not have Settlement of Jurisdiction and can not be removed.,{0} n'a pas de colonie de juridiction et ne peut pas être supprimé.
,Jurisdiction,Juridiction
,The assigned settlement {0} does not influence this position.,La colonie assignée {0} n'influence pas cette position.
,The assigned settlement {0} influences this position.,La colonie assignée {0} influence cette position.
,No settlement is assigned for jurisdiction.,Aucune colonie n'est attribuée à la juridiction.
,Export Icon List,Exporter la liste des icônes
,Failed to send message to Twitch EBS,Échec de l'envoi du message à Twitch EBS
,Copied to Clipboard.,Copié dans le presse-papiers.
,Hold F for more informtion,Maintenez la touche F enfoncée pour plus d'informations
,"When using the Handheld camera a copy of the photos will be stored in your PC (folder my documents). You can change this value to limit the amount of photos stored, if you take more photos than the max number old photos will be replaced","Lorsque vous utilisez l'appareil photo portatif, une copie des photos est stockée sur votre PC (dossier Mes documents). Vous pouvez modifier cette valeur pour limiter la quantité de photos stockées. Si vous prenez plus de photos que le nombre maximum, les anciennes photos seront remplacées"
,of name,du nom
,Subtitle,Sous-titre
,Must have an Elected Title in a settlement to select or change this.,Il faut avoir un titre d'élu dans une colonie pour le sélectionner ou le modifier.
,Window Named sdsdsd,Fenêtre nommée sdsdsd
,Associated Settlement,Colonie associée
,Camera settings:,Paramètres de la caméra :
,Recalibrate,Réétalonnage
,"Eventually, you can build towards combining multiple towns into a Country, the next higher level Settlement. \n\nRead more about Settlements System in the Ecopedia.","Finalement, vous pouvez combiner plusieurs villes pour former un pays, le niveau supérieur des colonies. \nPour en savoir plus, aller lire le système des colonies dans l'Ecopedia."
,"It will begin casting influence based on its culture levels, and anything under its influence will be affected by its laws.","Votre ville commencera à exercer son influence en fonction de son niveau de culture, et tout ce qui est sous son influence sera affecté par ses lois."
,"\nBy default it makes all Town decisions decided via election, but can be changed however you like.","\nPar défaut, toutes les décisions de la ville sont prises par le biais d'une élection, mais cette option peut être modifiée à votre guise."
,"Once the Constitution passes election, press the 'Found Town' button to unveil your new town to the world.","Une fois que la Constitution a été adoptée, appuyer sur le bouton ""Fonder une ville"" pour dévoiler votre nouvelle ville au reste du monde."
,You will need to define your Town Constitution and start an election to have it ratified in order to found the town.\n,Vous devrez définir la Constitution de votre ville et lancer une élection pour la faire ratifier afin de fonder la ville.\n
,"Congratulations! Now you have a Town Foundation, which means you can start a brand new Town Settlement by placing it inside a room.","Félicitations ! Vous avez maintenant une fondation de ville, ce qui signifie que vous pouvez commencer à créer une ville, en la plaçant dans une pièce."
,How to Start a New Town,Comment fonder une nouvelle ville
,A new Town will start as a draft. In the Status Tab you can see what requirements should be met by a Town before it can be founded.,"Une nouvelle ville commencera comme un avant-projet. Dans l'onglet ""Statut"", vous pouvez voir quelles sont les conditions à remplir par une ville avant qu'elle ne puisse être fondée."
,"You can distribute these however you like, but keep in mind that if Citizens leave the town the claims can be cancelled.","Vous pouvez les distribuer comme bon vous semble, mais gardez à l'esprit que si les citoyens quittent la ville, les titres de propriétés peuvent être annulées."
,"As more citizens join a Town, it will generate additional claim stakes and claim papers.\r","Au fur et à mesure que des citoyens rejoignent une ville, celle-ci génère des piquets de revendications et des titres de propriétés supplémentaires.\r"
,Folders,Dossiers
,Enable gaze tracking,Activer le suivi du regard
,Start Facetracking,Lancer le suivi du visage
,Select camera tracking quality:,Sélectionner la qualité du suivi de la caméra :
,Select camera:,Sélectionner la caméra :
,Select camera settings:,Sélectionner les paramètres de la caméra :
,Select camera frame rate:,Sélectionner la fréquence d'images de la caméra :
,Limit locally saved photos. (remove oldest),Limiter les photos enregistrées localement. (supprimer les plus anciennes)
,Give us Feedback,Donnez nous votre avis
,Make suggestions and vote on improvements you want to see in the game.,Faire des suggestions et voter sur les améliorations que vous souhaitez voir dans le jeu.
,Foundation Status,Statut de la fondation
,Game,Jeu
,Max Number of photos stored in PC,Nombre maximum de photos stockées dans l'ordinateur
,Admin Assign,Affectation admin
,Cancel Application,Annuler la demande
,Structure\n,
,This monument marks the beginning of a Town.\nIt is not yet founded.,Ce monument marque les fondations d'une ville.\n Celle-ci n'est pas encore fondée.
,Found Town,Fonder une ville
,Show webcam image,Afficher l'image de la webcam
,Citizens of a Town,Citoyens d'une ville
,Facetracking status:,Statut du suivi du visage :
,Found,Trouvé
,Current Facetracking status:,Statut actuel du suivi du visage :
,Culture Wars,Guerres de culture
,Show advanced settings,Afficher les paramètres avancés
,Hide advanced settings,Masquer les paramètres avancés
,Face advanced settings:,Paramètres avancés pour le visage :
,Enable wink support,Activer la prise en charge du clin d'œil
,Honk,Klaxon
,Fishnet Down/Up,Descendre/Remonter le filet
,You need film to take photos,Vous avez besoin de pellicules pour prendre des photos
,You need to repair the camera to take photos,Vous devez réparer l'appareil photo pour prendre des photos
,Press to open the folder where\nphotos are stored,Appuyez sur pour ouvrir le dossier où\nles photos sont stockées
,Camera Film,Pellicule
,Test Object Culture,Test d'objet Culture
Chat command,removeallbut,
Chat command,fixobjects,
Help text for chat command /fixobjects,"Destroys all physical objects with illegal positions outside the world. (worldobjects, vehicles, trees, rubbles etc)","Détruit tous les objets physiques avec des positions illégales à l'extérieur du monde (objets du monde, véhicules, arbres, décombres, etc.)"
Chat command,fixtrunks,
Help text for chat command /fixtrunks,Destroys all trunks outside the world,Détruit tous les troncs à l'extérieur du monde
Chat command,clearfallentrees,
Help text for chat command /clearfallentrees,Removes fallen trees,Supprime les arbres tombés
,Allow Option To Prevent Settlements From Seceding,Permettre l'option d'empêcher les colonies de se séparer
,Enabling this will add a new check inside immigrations policies that will give the players the option to prevent any child settlement from seceding.,L'activation de ceci ajoutera une nouvelle vérification dans les politiques d'immigration qui donnera aux joueurs la possibilité d'empêcher toute colonie fille de se séparer.
,Allow Foreign Property Ownership,Autoriser les étrangers d'être propriétaires
,Property Heir When Citizens Leave,Héritier des propriétés lorsque les citoyens partent
,Allow Child Settlements To Secede,Autoriser les colonies filles à se séparer
,"Disallowing this would prevent citizens, titles and demographics that aren't part of this settlement from owning any property that's under it's influence sphere.","Interdire cela empêcherait les citoyens, les titres et les données démographiques qui ne font pas partie de cette colonie de posséder toute propriété sous son influence."
,The heir that will receive all the properties that were abandoned by the leaving citizen.,L'héritier qui recevra toutes les propriétés abandonnées par le citoyen parti.
,"If this is unchecked, child settlements will not be allowed to secede or join another settlement that's not a child of this settlement.","Si cette option n'est pas cochée, les colonies filles ne seront pas autorisées à se séparer ou à rejoindre une autre colonie qui n'est pas une colonie fille de cette colonie."
,SpeciesLayeredCatchPlugin,
,Catchers,Attrapeurs
Parameter for chat command /fixobjects,teleportVehicles,
,Found: {0} objects with illegal position,Trouvé : {0} objets avec une position illégale
,Destroyed {0}:ID:{1}:POS:{2},Détruit {0} : ID : {1} : POS : {2}
,Destroyed: {0} objects with illegal position,Détruit : {0} objets avec une position illégale
,Wasn't able to destroy: {0}.,N'a pas pu être détruit : {0}.
,MJPEG (Slow),MJPEG (Lent)
,Preparing facetracking,Préparation du suivi du visage
,Success!,Victoire !
,Failed...,Échoué...
,QA Test Object adding Culture value.,Objet de test Assurance Qualité ajoutant une valeur culturelle.
,A film used inside a camera.,Une pellicule utilisée à l'intérieur d'un appareil photo.
,Downloading Mods (Wait a bit),Téléchargement de mods (attendez un peu)
,Plot already owned by {0}.,La parcelle est déjà possédée par {0}.
,Enables unrestricted avatar customization in game,Permet une personnalisation illimitée de l'avatar dans le jeu
,Annexations List,Liste des annexions
,Can't use this claim stake because {0} doesn't allow foreign ownership and you are not a citizen..,Impossible d'utiliser ce piquet de revendication car {0} n'autorise pas la propriété d'étranger et vous n'êtes pas citoyen...
,Dressers only accept apparel items.,Les commodes n'acceptent que les vêtements.
,Your deed {0} was transferred to {1} because the settlement that you're part of changed parents and {2} doesn't allow foreign ownership.,Votre titre de propriété {0} a été transféré à {1} car la colonie dont vous faites partie a changé de colonie parente et {2} n'autorise pas la propriété d'étranger.
,You received {0} from {1} because you're the property heir of {2}.,Vous avez reçu {0} de {1} car vous êtes l'héritier de {2}.
,Would you like to grant ownership of these properties to {0} and leave this settlement?,Souhaitez-vous accorder la propriété de ce(s) bien(s) à {0} et quitter cette colonie ?
,{0} isn't part of {1}.,{0} ne fait pas partie de {1}.
,Cannot create child settlement inside {0} due to {1} : {2}.,Impossible de créer une colonie fille à l'intérieur de {0} en raison de {1} : {2}.
,Cannot join settlement as citizen due to {0} : {1}.,Impossible de rejoindre la colonie en tant que citoyen en raison de {0} : {1}.
,"{0} doesn't allow foreign property ownership, and you own {1} properties under its influence: {2}","{0} n'autorise pas de propriété d'étranger, et vous possédez {1} propriété(s) sous son influence : {2}"
,Species Catcher,Attrapeur d'espèces
,"Calibrating {0}.\r\nPlease move your face left/right, open/close mouth, open/close eyes, smile and make a sad face to calibrate","Calibrage de {0}.\r\nVeuillez déplacer votre visage vers la gauche/droite, ouvrir/fermer la bouche, ouvrir/fermer les yeux, sourire et faire une expression triste pour calibrer"
,You can map your expressions onto the avatar face using your webcam.\r\nTurn the feature on/off by clicking on the webcam icon.,Vous pouvez projeter vos expressions sur le visage de l'avatar en utilisant votre webcam.\r\nActiver / Désactiver la fonction en cliquant sur l'icône de la webcam.
,Calibration complete!\r\nYou can try it out and proceed with customizing your avatar,Calibrage terminé !\r\n Vous pouvez l'essayer et continuer à personnaliser votre avatar.
,Calibration failed.,Échec du calibrage.
,"Cannot start facetracking service, aborting...","Impossible de démarrer le service suivi du visage, interruption..."
,{0} isn't eligible anymore to be part of your settlement.,{0} n'est plus éligible pour faire partie de votre colonie.
,"{0} doesn't allow child settlements to secede thus upon leaving {1}, {2} became a direct child of {3}.","{0} n'autorise pas les colonies filles à se séparer, ainsi lorsqu'il quitte {1}, {2} devient directement une colonie fille de {3}."
,{0} doesn't allow foreign ownership thus you cannot claim land under its influence unless you're a citizen (and currently {1} accepting new citizens).,"{0} n'autorise pas la propriété d'étranger, vous ne pouvez donc pas revendiquer de propriété sous son influence à moins d'être citoyen (et actuellement {1} nouveau(x) citoyen(s) et/sont accepté(s))."
,{0} parent {1} is preventing it from joining other settlements that are out of its jurisdiction.,Le parent {0} de {1} l'empêche de rejoindre d'autres colonies qui sont en dehors de sa juridiction.
,{0} doesn't allow settlements to secede from it.,{0} n'autorise pas les colonies à se séparer de celle-ci.
,You need to manually leave your current settlement {0} because you have some properties that are under its influence.,Vous devez quitter manuellement votre colonie actuelle {0} car certaines de vos propriétés sont sous son influence.
,"When your homestead is placed, you can only leave citizenship of a settlement when you're applying for another parent/child settlement.","Lorsque votre propriété privée est placée, vous ne pouvez quitter la citoyenneté d'une colonie que lorsque vous postulez pour une autre colonie mère ou fille."
,{0} only allow citizens to directly own properties inside its sphere of influence and {1} is not a citizen.,{0} n'autorise qu'uniquement ses citoyens à posséder directement des propriétés dans sa sphère d'influence et {1} n'est pas un citoyen.
,{0} isn't part of {1} which doesn't allow foreigners to own land inside its sphere of influence.,"{0} ne fait pas partie de {1}, qui n'autorise pas les étrangers à posséder des terres dans sa sphère d'influence."
,DoF,
,Calibration in progress...,Étalonnage en cours...
,Calibration finished,Calibration terminé
,Groups:,Groupes :
,Groups,Groupes
,Create a sorting for this marker by naming its group. Add slashes in between names to create subgroups.,Créez un tri pour ce marqueur en nommant son groupe. Ajoutez des barres obliques entre les noms pour créer des sous-groupes.
,Background Color,Couleur d'arrière-plan
,Climb,Monter
,Flax Species,Lins
,Creosote Flower,Fleur de créosotier
,Flaxseed Oil,Huile de lin
,Trillium Flower,Fleur de trillium
,Art Supplies,Nécessaire d'art
,Colored Powder,Poudre colorée
,Nylon Trawler Net,Filet de chalutier en nylon
,Oil Paint,Peinture à l'huile
,Gathering Basic Upgrade,Amélioration basique : Récolte
,Industrial Generator,Générateur électrique industriel
,Allow Deep Ocean Building,Autoriser la construction en haute mer
,Allows or prevents building in deep ocean biome.,Autorise ou empêche la construction dans le biome abyssal.
,For Sale,À vendre
,Sellers Account,Compte du vendeur
,"The properties that their owners will be changed, which needs to be inside the current settlement.","Les propriétés dont les propriétaires seront changés, doivent restées à l'intérieur de la colonie actuelle."
,The citizens that will be receiving the money transfer.,Les citoyens qui recevront le transfert d'argent.
,The deed that will be checked.,Le titre de propriété qui sera vérifié.
,Is Owner,Son propriétaire
,True if a given citizen is currently an owner on a given deed.,Vrai si un citoyen donné est actuellement propriétaire d'un titre de propriété donné.
,Has Access,A accès
,True if a given citizen has access to a given deed.,Vrai si un citoyen donné a accès à un titre de propriété donné.
,Deed At Location,Titre de propriété à cet emplacement
,Get the deed that's at this location.,Obtenez le titre de propriété qui se trouve à cet emplacement.
,Get a deed at a given location.,Obtenez un titre de propriété à un emplacement donné.
,Specific Property,Propriété spécifique
,The deed that we want to interact with.,Le titre de propriété avec lequel nous voulons interagir.
,A specific deed in the world.,Un acte spécifique dans le monde.
,The citizen or group to invite to assign the property.,Le citoyen ou le groupe à inviter pour attribuer la propriété.
,The citizen will be invited to become a resident on the property at this location which must be within the influence of the current settlement.,"Le citoyen sera invité à devenir résident sur la propriété à cet emplacement, qui doit se trouver dans la zone d'influence de la colonie actuelle."
,Action On Each Citizen In Settlement,Action sur chaque citoyen dans la colonie
,"The actions to run on each citizen inside this settlement, meeting the 'Citizen Conditions' set above.","Les actions à exécuter sur chaque citoyen à l'intérieur de cette colonie, remplissant les ""Conditions pour les citoyens"" définies ci-dessus."
