English,Polish
[WIP - No functionality yet] Allows to pick up debris by hand that costs no calories.,
Dev,
Couldn't Make Aggregated Message,
{0} at {1}.,
"Can't calculate wealth of citizen in their own personal currency, because it will always be infinite.",
has at least level {0} of,
doesn't have at least level {0} of,
is member of,
is not member of,
demographic,
demographics,
Following conditions,
are met:,
are not met:,
condition,
conditions,
Invalid user.,
{0} playtime boost set to {1} hours. Civics tick triggered.,
"Set a 'boost' that will add to all 'recent playtime' requests for the given player (yourself if null, 2 hours if unset).  Will make players instantly active if set high enough.",
{0} is not a member of {1},
{0} is a member of {1},
Old,
All Other Privileges,
SPECIAL RATIFICATION PRIVILEGE,
Commands to aid in physics debugging.,
Spawn cars for physics testing,
"Force the vehicle you are looking at to be underground, you need to be the physics controller of the car.",
There shouldn't be a null object as part of the setting list: \n PlayerName: {0} \n Container.Type: {1} \n Container.ToString(): {2} \n new list items: {3},
Initial Setup,
NOT FOUND,
Failed to create derived type of {0} '{1}'. Class does not have a parameterless constructor.,
"{0} chunk block data corrupted, reset to empty blocks. Errors: {1}",
Your store cannot buy items. You must first link an inventory to receive them in the storage component tab of the store.,
Minimum durability: {0},
Loading local server,
Add Labor (500),
Add Labor (3000),
Copied to Clipboard: {0},
Change Opacity of Chat Log when in Transparent Mode.,
Extent of the observable game world that is seen on the display at any given moment in the first person view.\n\nWarning: High FOV can cause graphical glitches.\n\nPerformance impact: Average,
on - Enables rich presence support in Discord.\noff - Disables rich presence support in Discord.,
Change Chat text size.,
"on - Enables support for Discord chat invites and the ""Request to Join"" button. This feature requires ""Enable Discord Rich Presence"" be enabled.\noff - Disables support for Discord chat invites and the ""Request to Join"" button.",
You are 1/1 in queue,
Time in Queue 00:00:00,
's Blast Furnace,
Minimum durability:,
CLOSED,
AchievementIcon,
Max \nDurability:,
Buy\nPrice,
Immigration Desk,
Town Foundation,
Country Foundation,
Federation Foundation,
Town Claim Stake,
Country Claim Stake,
Copper Plate,
Cotton Lint,Włókno bawełniane
Flax Trawler Net,Lniana sieć rybacka
Glass Lens,
Court Chair,
Court Table,
Embassy Desk,Biurko ambasady
Galaxy Vase,
Glassworks,
Orange Vase,
Outpost Netting,
Outpost Table,
Plant Vase,
Purple Vase,
Red Vase,
Steel Moorage Post,
Stenographers Table,
Swirl Vase,
Wooden Moorage Post,
Property Value,
Center In District,
Is the average position in the district? Note that this point may not be on a plot of the deed.,
Granted Access,
Lost Access,
Positive Reputation,
Negative Reputation,
Transferred Manually,
Transferred Using Work Party,
Cultural,
"A 'Residence' deed will apply housing points towards the Character XP mulitplier, split among the residents.",
Default Slots,
Max number of slots allowed on at one time (negative is infinite).,Maksymalna liczba slotów dozwolona jednocześnie (ujemna jest nieskończona).
Number of additional slots allowed beyond Max Connections for users who have been assigned queue priority permissions. Set to -1 for infinite.,"Liczba dodatkowych slotów dozwolonych poza maksymalną liczbą połączeń dla użytkowników, którym przypisano uprawnienia priorytetu kolejki. Ustaw na -1 dla nieskończoności."
Audible Distance,
Conversational Distance,
Audio Fade Model,
Audio Fade Intensity By Distance,
The maximum distance from which a listener can hear a speaking player. Requires restart.,
"Controls the range within which a speaker’s audio remains at its original volume, and beyond which the loudness of the voice chat starts to fade out when heard. Requires restart.",
Specifies the formula or curve that controls the shape of how the audio fades between the ConversationalDistance and the AudibleDistance. Requires restart.,
"Controls the amplitude of the AudioFadeModel curve, which allows the attenuation of the voice chat loudness to become more or less extreme. Requires restart.",
Shelf Life Multiplier,
"Adjusts the default shelf life of all foods, with higher values causing food to last longer. For example, setting to 2 doubles the shelf life while setting to 0.5 halves the shelf life.",
Culture Enabled,
"Should the culture system be used, which allows settlements to take over neighboring settlements when their level is high enough?",
kill,
Spawns a plant or plants in a row or grid,Tworzy roślinę lub rośliny w rzędzie lub siatce
spawnalltrees,
alltrees,
Spawns trees of particular ages in a row,
"List all objects of the given type, or 'all types' if left blank.",
editbyid,
Edit the object with the specified ID,
removebyid,
Remove the object with the specified ID,
Minutes Between Updates,
We calculate updated procedural starting positions ever X minutes set here. The settlement starting points are updated instantly.,
Citizen Demographic,
"Invite a member of a lower-level settlement to become a member of this settlement (or accept their application to do so, if it exists).  The target settlement will also need to perform a civic action to accept the invitation and become a child of this settlement.",
"Apply for this settlement to become a member of a higher-level settlement (or accept an invitation to do so, if it exists).  The targeted settlement will also need to perform a civic action to accept this settlement as a child.",
Settlement we want to remove from our children settlements.,
"Remove a target settlement from being a child, or rescind its invitation.",
Cede Child Settlement,
Settlement we want to leave or remove our application from.,
"Secede from the parent settlement, or cease an application to become a child.",
Secede From Parent Settlement,
The citizen or group of citizens we wish to remove.,
Remove the citizenship of a given citizen from the settlement.,
annex,
"Force a given settlement to annex another, if the types support it.",
ignorerequirements,
nosetreqs,
"Disable Settlement requirements for the session (Ie, dont require child settlements or citizens for a country to spawn.",
Settlement Type,
Citizenship Of Citizen,
The type of citizenship to query.,
Provides the settlement a citizen is a member of.,
The settlement being queried.,
Settlment Population,Populacja osady
Returns the population of the given settlement.,Zwraca populację danej osady.
Settlment Age In Days,Wiek osady w dniach
Returns the age of the given settlement.,Zwraca wiek danej osady.
Settlement Influenced Plot Count,Liczba działek pod wpływem osady
The number of plots influenced by the settlement.,"Liczba działek, na które wpływa osada."
Settlement Claimed Plot Count,Liczba działek zajętych przez osadę
The number of plots claimed on deeds by the settlement.,Liczba działek zajętych przez osadę na podstawie aktów własności.
Settlement Culture,Kultura osady
The culture value of the given settlement.,Wartość kulturowa danej osady.
culture,
Shows commands for controlling culture.,Pokazuje komendy do kontrolowania kultury.
boost,
boostculture,
"Set a culture-boost to any settlement.  If null is passed, will take the lowest-tier settlement the user is a citizen of, or an arbitrary settlement if they are not a citizen of any.",
Manages the relationship between this settlement and other settlements.,Zarządza relacjami pomiędzy tą osadą a innymi osadami.
Defines the type of property and what effects the rooms and furniture have. See Ecopedia.,"Określa rodzaj nieruchomości i wpływ, jaki mają pomieszczenia i meble. Zobacz Ecopedię."
boostdeed,
"Boost the value of the given deed, or the deed at the current position if not specified. Persists across server restart.",
unlimitedclaim,
"Claims plots in a given rect. If you're already standing on a claim you have auth on, it will use the existing deed. Otherwise, a new deed is created.",
MemoryManager,
Auto Shutdown Message,
Reason For Auto Shutdown,
Specifies the message to be sent when the automatic shutdown occurs.,
Specifies the reason for the automatic shutdown. Controls what exit code the application closes with.,
Access Action,
Permissions Changed,
Citizen Changed,
Bank Account Permissions Changed,
The citizen who updated the bank account permissions.,
The bank account that got updated.,
Did the user gain or lose access to the account?,
The specific permissions that got updated.,
The user that gained or lost access to the bank account.,
A citizen changed the managers or the users of a bank account.,
What the type of property is being initially set to.,
Reputation Receiver,
Reputation Sender,
Reputation Transferred Sign,
Reputation Source,
Reputation Amount Transferred,
Reputation Transfer,
The citizen who's receiving the reputation.,
The citizen who's sending the reputation.,
Was the transferred reputation positive or negative?,
Was the reputation transferred manually or from a labor party?,
The amount of reputation that was transferred.,
A citizen transferred reputation to another citizen.,
Destroyed By Block,
Was the plant destroyed by block or not?,
A single item crafted from a completed work order.,
"Allows citizens to perform certain civic actions, which affect the government associated with this object.",
"Provides a tool for claiming property around this object.  By adding claim papers from Settlements, you can increase the number of plots you can claim.",
"As more citizens join a Settlement, more claim papers and stakes will be spawned here.  These can be used to claim more land.",
Spawned Claims,
Basic election process will be changed according to these values. This values will also be used as defaults for newly created election processes.,
setplaytimeboost,
Immigration Context,
Allow Applicants,
Hours Failing Requirements Before Removed As Citizen,
Allow New People To Instantly Join,
Advertisement To New People In World,
initialspawn,
Controls initial spawn.,
update,
Force update the spawn position now.,
Lists the initial spawn positions currently active.,
Access to forests for logging,Dostęp do lasów dla wyrąbu
Wild food for foraging,
Plains for farming,Równiny dla rolnictwa
TwitchPlugin,
When enabled users who have their Twitch account link and twitch support enabled in their settings will be able to show information about this server on their Twitch channel and allow chat interaction if configured.,
List containing the SLG ids of all users who can use the chat interaction features of the Eco Community extension. If this list is empty anyone can use these features.,
message,
countX,
countZ,
space,
id,
source,
overwriteExistingClaims,
hoursBoost,
Could not find object with ID {0},
Cannot remove special entries.,
Must specify ID of object,
Enable debug mode before using this command.,
Invalid maintenance reason: {0}. Valid options are [{1}],
The animal that's currently being debugged will move toward the specified destination (just specifify the x and z coordinates),
The animal that's currently being debugged will change state to lie down (or idle if he doesn't have a lie down state).,
You cannot remove user from the channel because {0} is the creator of this channel.,
Select color of map entry,
Voting in {0},
You {0} vote in this election because you {1} a member of {2}.,
A basic moorage post made from wood to anchor smaller vessels in place.,Podstawowy słupek cumowniczy wykonany z drewna do kotwiczenia mniejszych jednostek pływających.
The founding stone for civilization.,
A  vase made with glass to brighten up your home.,
Statue,
Documenting a court case is of vital importance and a dedicated unique typewriter is required for this purpose and of course its own table to place it on.,"Dokumentowanie sprawy sądowej ma ogromne znaczenie i wymagana jest do tego dedykowana, unikalna maszyna do pisania i oczywiście własny stół, na którym można ją postawić."
An iron moorage post that makes sure that even the largest of vessels stay still.,"Żelazny słupek cumowniczy, który sprawia, że ​​nawet największa jednostka stoi nieruchomo."
Mount,
An explorers best collection of information is stored here.,Tutaj przechowywany jest najlepszy zbiór informacji odkrywców.
A way to store your items when you run out of floor space.,
Immigration requirements and decisions needs to pass an immigration desk before approval.,
A specialized kiln used to transform sand into buildable blocks and decorations.,
A leap into globalization and a united federation.,
Where papers are signed and foreign affairs are settled.,
Artifact,
A vital part of the courtroom.,Istotna część sali sądowej.
A chair for legal sittings.,
When a town simply cannot contain your ambition.,
A thin shaped piece of glass very useful for devices used to interact with light.,"Cienki kawałek szkła, bardzo przydatny w urządzeniach służących do interakcji ze światłem."
A sturdy basic combination of lines making a mesh used for catching fish on a larger scale.,Solidna podstawowa kombinacja linek tworzących siatkę służącą do połowu ryb na większą skalę.
A bundle of cotton used as stuffing or further tailoring processing.,Pęczek bawełny stosowany jako wypełnienie lub wykorzystywany do dalszej obróbki krawieckiej.
A solid copper plate giving higher grades of protection against erosion and improves conductivity.,
A sturdy construction material poured around a latice of rebar.,Solidny materiał konstrukcyjny wylany wokół siatki prętów zbrojeniowych.
{0} Value,
These claims must be used on claim stakes within the influence of {0}.,
Part of the {0},
A {0} Deed which claims no property.,
Owner:,
Property Value:,
Users Not Meeting Citizen Requirements,
Can Be Performed At:,
Claimed Plots:,
Culture:,
{0} on property:,
No rooms on property.,Żadnych pomieszczeń na nieruchomości.
({0} value),
NOTE: {0} can be at most {1} of the value of the primary rooms of the property (currently {2}). Dropping value of {3} from {4} to {5}.,
- {0} point reduction: {1},
Admin applied value boost: {0},
(No penalty for room count because of residents number: {0}),(Brak kary za liczbę pokoi ze względu na liczbę mieszkańców: {0})
Room,Pokój
{0} ({1} support),
- Ignoring {0}: {1} property doesnt receive value from {2} rooms.,
- Ignoring {0}: doesn't support {1}.,
Capping value of {0} support ({1}) to {2} of {3} furnishings ({4}).  Resulting value: {5}.,
{0} prevents this room from providing housing value:{1},
No valid objects found to give this room a type.,"Nie znaleziono żadnych ważnych obiektów, które mogłyby nadać temu pomieszczeniu typ."
- Material quality: {0},
Room Value,Wartość pomieszczenia
Points are applied to the {0} of residents on {1}.,
Your home now provides {0} ({1} change),
Residence: {0},
Character XP Rate,
details,szczegóły
Failed: Property is set to give culture points but it is not a part of any settlement!,
Cultural: {0},
Start a Claim for {0},
"To place, location must be:",
- Within an unclaimed plot.,
- Outside of the influence of all other {0}.,
- Inside the influence a town in which you are a citizen.,
Place on an unclaimed plot outside the influence of any other {0}.,
"Plots must be claimed inside the influence of the owning settlement, {0}.",
Attached vessels: {0}/{1},
Boat Moorage Post,
"World wrap set to {0},{1}",
Plot must be under the influence of {0}.,
This plot has is not influenced and cannot be claimed.,
This plot is influenced by {0} and cannot be claimed.,
You may only start claims within the influence of {0}.,
"This plot is already a member of {0}, you cannot start a new claim here.",
"This plot is unclaimed and influenced by {0}, you may start a new claim here.",
This plot is influenced by {0} but you are not a citizen.,
"This plot is unclaimed and under the influence of {0}, of which you are a citizen.",
You may place your homestead here.,
Lighting,
Initial Spawn,
Settlements:,
{0} {1} Active,{0} {1} Aktywne
{0}{1}Culture,
Culture,
No settlement found.,
{0} had culture boost set to {1}.  Total culture: {2},
Abilities unlocked on {0}:,
You can distribute {0} to claim more plots.,
You can perform {0} concerning {1}.,
"A new {0} has been founded, {1}! {2}",
This monument marks the beginning of the {0}.,
This object marks the foundation of the {0}.,
{0} on {1}.,
It is a member of the {0}.,
It is not a member of any {0}.,
Claim Stakes and Claim Papers,
The {0} was founded here.,
Claiming {0} of land for {1}.,
Settlement Claim Stake,
Homestead Claim Stake,
Can't claim here. Must be within influence of {0}.,
{0}'s Homestead,
{0} category rooms can exist on property types: {1},Pokoje kategorii {0} mogą istnieć w typach obiektów: {1}
- {0} {1} can't be more than {2} a property's total value.,
They can get support from other furnishing types:{0}.,
{0} furniture can only serve as supporting furniture (a room can never be a '{1}' category room).,Meble {0} mogą służyć jedynie jako meble pomocnicze (pokój nigdy nie może być pokojem kategorii „{1}”).
{0} 'Furniture' Properties:,
- {0} furniture can serve as supporting furniture for any room category.,- Meble {0} mogą służyć jako meble pomocnicze dla dowolnej kategorii pomieszczeń.
- {0} furniture can provide support in other room categories: {1}.,- Meble {0} mogą zapewniać wsparcie w innych kategoriach pomieszczeń: {1}.
- {0} furniture cannot provide points in other room categories.,- Meble {0} nie mogą zapewniać punktów w innych kategoriach pokoi.
- {0} furniture can provide value in other rooms up to a max of {1} of the main category of furniture.,- Meble {0} mogą zapewniać wartość w innych pomieszczeniach do maksymalnie {1} głównej kategorii mebli.
- Will negate the value of all other furniture in the room towards the property value.,- Zakwestionowana wartość wszystkich pozostałych mebli w pokoju na poczet wartości nieruchomości.
Support Room Only.,
{0} (up to {1} of {2} furniture's value),
Missing room category for {0}.,Brakująca kategoria pomieszczenia dla {0}.
Furnishing Value: {0},Wartość umeblowania: {0}
Can't perform trade on disabled store,
You have attached the official {0} for {1} {2} to this object.,
This will allow you to propose changes.,
{0} Initial Starting Points Generated:,
"{0} procedural point(s), {1} settlement point(s)",
InitialSpawn,
Cannot have citizenship requirements if you allow new people to instantly join.,
Must set an advertisement for new people if you allow new people to join instantly.,
"No settlement at this position, cannot use.",
disallows,
Craving Satisfied,Pragnienie zaspokojone
Eat food you've got a hankering for.,"Jedz jedzenie, na które masz ochotę."
Forestry 101,
Plant 100 trees.,Zasadź 100 drzew.
Reap What You Sow,
Gather 100 farmable items.,
Discover your favorite food.,Odkryj swoje ulubione jedzenie.
Blech!,
Discover your most disliked food.,Odkryj swoje najbardziej nielubiane jedzenie.
Saved the World,
Destroyed the meteor on a server.,
Best Laid Plans,
Meteor destroyed the world.,
Never to Return,
A species went extinct.,Gatunek wymarł.
Chop Chop x100,
Chopped down 100 trees.,
Make it Rain,
Conversion Fees,
Setup a currency exchange exchanging two minted currencies.,
Hard Day's Work,
Completed first contract.,
Taxpayer,
Paid 1000 currency in taxes in backing-item value.,
"By the People, For the People",
Constitution passed.,
The Preamble,
Propose a ratification of a constitution.,
Born Leader,
Become elected to a government position.,
It's Obviously Rigged,
Lose an election.,
I Am Not A Crook,
Be removed from office via election.,
"Failed to link Twitch account. {0}, press ok to try again.",
Time expired,
An unexpected error occured,
Vehicle is turned over. Dismounting!,
Set {0},
Loading icons...,
Description: Shows a preview of the terrain with the current properties. Note: When this tab is first opened the preview will take some time to generate.,
Animal '{0}' can not do '{1}',
Next Tick,
True,
False,
can,
cannot,
XP/day,
Anonymous app login.,
Back to nature.,
Set the wrap-around-the-world count for the calling player.  This is a client side effect that makes the positions after traveling around the world be shifted by world-size.,
"Delete all blocks above-ground that are constructed, delete all constructed world objects, remove all property, destroy all settlements and related objects.",
Couldn't find any entry matching: {0},
Found multiple matching entries: {0},
Only citizens invited by {0} may join.,
Not currently accepting new {0}.,
New {0} must be approved by {1}.,
You have applied to become a {0}. {1}{2} has been notified and may approve or reject your application.,
Claim some land by right clicking nearby plots.,
Expand Your Property,
Click the 'Crafting' tab.,
{0} Generating Culture:,
No properties providing culture in this settlement.,
Culture boost applied by admin: {0},
Destroy all towns and property stakes and unclaim all property.,
The deed can only claim within {0} influence. This plot is not in its influence.,
the {0} which {1} is a citizen of,
population of {0},
age of {0} in days,
influnenced plots of {0},
claimed plots in {0},
Can only spawn town on unclaimed plot.,
"Settlement disabled, cannot execute.",
Ignore settlement requirements set to {0}.,
{0} cannot perform this action on itself.,
There is no influence overlap between {0} and {1},
{0} is not a child of {1} or invited to become one.,
Invitation for {0} to become a child {1} rescinded.,
"{0} is not a parent of {1}, nor is {2} applying to become a child of it.",
Application to become a child of {0} cancelled.,
{0} is not a citizen of {1}.,
{0} contains no citizens of {1}.,
Removed {0} from citizenship of {1}.,
Remove {0} as a child {1} from {2} (or remove invitation to become one).,
Remove {0} from citizenship of {1}.,
Citizenship test passed: {0},
You will remain a citizen of {0} until your application to {1} is approved.,
NOTE: Ignoring settlement requirments due to admin command.,
Plots claimed on this {0} claim stake: {1},
"Can't claim plot, must be under the influence of {0}.",
Deed for this Deed Map no longer exists.,
Annexataion Possibilities,
Cannot perform an annex unless you are the leader of the settlement.,
You haven't met the requirements to permit this annex.,
A {0} cannot annex a {1}.,
The {0} has annexed the {1}!,
{0} is no longer a member {1}.,
{0} are now also citizens of {1} as its new parent {2}.,
{0} is now removed and {1} are now citizens of {2} instead.,
{0} deactivated from {1}.,
The first requirement to annex a settlement is to surround its influence with {0}.,
"Because {0} is a {1} and {2} is {3} {4},",
surrounding plots must exceed {0}.,
"{0} currently has {1} surrounding {2}'s influence, out of a possible {3}, yielding {4}.",
"{0} has surrounded {1} by {2}, and so plot requirements {3} until it surrounds it by more than {4}.",
"{0} has surrounded {1} by {2}, and so plot requirements {3} to annex it (Culture Requirements will still need to be met as well).",
"Note: Having more than the minimum plots surrounding the neighbor's influence will allow more culture to count towards annexation. When {0} of influence is surrounded, culture will count at {1}.",
"Once a settlement has enough surronding plots of a target it wants to annex, it must then exceed its culture by a given amount.  The amount of culture that is counted towards annexing depends on {0} the target is.",
"For a {0} attempting to annex {1} {2}, the requirements are as follows:",
"- When {0} surrounded or less, source culture counts for {1} against the target.",
"- When {0} surrounded or more, source culture counts for {1} against the target.",
"- When between {0} and {1} surrounded, source culture percent is prorated from {2} to {3}.","- Gdy otoczone między {0} a {1}, procent kultury źródłowej jest proporcjonalny od {2} do {3}."
"In this case, {0} surrounds {1} of {2}'s influence, so {3} of its total culture ({4}) is counted towards annexation ({5}).",
That culture value must exceed the target {0}'s culture ({1}) by {2} and at least {3} absolute (whichever is higher).,
"In this case, that value is {0}.",
"{0}'s weighted value of {1} {2} more than {3}, so {4} {5} be annexed.",
Plot Requirements:,
claimed plots,
are not met,
are met,
Culture Requirements:,
how surrounded,
All citizens of {0},
Annexed Citizens,
{0} has met the requirements to annex {1} at any time!,
{0} no longer meets the requirements to annex {1}.,
{0} now has {1} of the culture it needs to annex {2}.,
{0}'s ability to annex {1},
"{0} {1} annex {2} needed neighbor plots, {3} needed culture.",
all its citizens,
Civics Objects Deactivated In Annexation,
also a,
a lower-tier,
another,
Civics Object,
claimed plot,
You are a resident of this property.,
You are a resident of this property and it provides you with {0}.,
"You are not a resident of this property, therefore it provides no housing XP to you.",
Unclaimed,
Current Deeds,
Deed not specified and no deed at current location.,
{0} value boosted by {1}.,
off,
Can't change property type when there are active residents.  Try again once residents are removed.,
"Your property {0} has a larger home value of {1}, which is better than your current residency. \n {2}","Twoja nieruchomość {0} ma większą wartość domu wynoszącą {1}, czyli wyższą niż Twoja obecna rezydencja. \n {2}"
"{0} was marked as citizen of {1} but is not in roster, removing.",
{0} to present ({1}),
{0} to {1} ({2}),
Admin boost time set: {0},
Online Citizens,
Maintenance message cannot be empty.,
Failed to spoil some items,
This plot is already part of {0}.,
This property is already part of {0}.,
Spawns a store with storages and tools of different durability.,
Vehicle is in water.,
Amount to Tax must be greater than zero.,
NOTE: Ignoring room requirements due to admin command.,UWAGA: Ignorowanie wymagań dotyczących pokoju z powodu polecenia administratora.
{0} is broken,
Cannot use old style Capitol when Settlement System is enabled.,
Boat moorage post is full.,
This vessel can't be attached because it's locked to another boat moorage post.,
This vessel is already attached.,
This vessel can't be detached because it's locked to another boat moorage post.,
This vessel is already detached.,
You can't use this boat because it's attached to a boat moorage post.,
"Cannot spawn government with settlement feature enabled. Disable settlements first, or use the '/settlement spawn' command.",
Beginning government spawn...,
Achievement '{0}' not found on {1}.,
Demographics and/or players authorized to be consumers.\nThose selected will have access to the functionalities of the current object.\nAlso those selected DO NOT have privileges to change the authorization or the owner's parameters.,
Towns,
This value sets how far will the marker start appearing on your screen. It is in meters and 0 value means no limit.,
List of the types or rooms on the deed and the value they're providing.,"Lista typów lub pokoi w akcie własności i wartość, jaką zapewniają."
Disabled: Residents are not allowed when\nProperty Type is not set to 'Residence'.,
Room Values,Wartości pomieszczenia
Surrounding Plots Requirement:,
Culture Requirement:,
Selected Color,
Culture\n,
Annexations,
Judge Sit,
Sequential Branch Rotations,
Max Number Of Download Requests,
The max count of clients that can download mods at the same time.,
cleardebris,
Clears debris in an area.,
levelcentered,
Level the terrain around user,
"One-time or periodic payments from residents, for the use of your property and its objects.",
Required Occupancy Before AFKKick,
Time Required For AFKMinutes,
Percent of Server Occupancy Required Before Enforcing Inactivity Kicking (0 - 100). Use zero if you want that the server disconnects players based only on the inactivity time. (Default Slots have to be set),"Wymagany procent zajęcia serwera przed wymuszeniem wyrzucania bezczynności (0–100). Użyj zera, jeśli chcesz, aby serwer odłączał graczy tylko na podstawie czasu nieaktywności. (Domyślne gniazda muszą być ustawione)"
Minutes of inactivity before kicking player. Use zero if you don't want your server to implement the AFK system.,
Users who have reserved slots at login queue.,"Użytkownicy, którzy zarezerwowali miejsca w kolejce logowania."
Skillbook Craft Cost,
Skillbook crafting cost presets. Does not affect work orders in progress.,
Covers civic action but is limited to selected civic objects.,
memory,
"Runs CPU profiling using dottrace. Optionally pass duration in seconds, defaults to 60 seconds.",
"Runs CPU profiling using nettrace. Optionally pass duration in seconds, defaults to 60 seconds.",
everything,
"Runs CPU profiling and server performance reports, one after the other. Optionally pass duration in seconds, defaults to 60 seconds.",
"Runs server performance reports and dump to files. Optionally pass duration in seconds, defaults to 60 seconds.",
network,
List of different network commands,
setpassword,
Sets the current server password,
Animal Simulation is {0},
Switch spawn animals by Simulation on and off.,
{0}: Arrow damage mitigated by tortoise shell!,
"Cannot find icon with name ""{0}",
"Icon with name ""{0}"" doesn't have Foreground Sprite",
"Icon with name ""{0}"" doesn't have Full Sprite",
No suitable material found for tier '{0}',
Started paying wages to members of {0}.,
Unpaid wages,
{0} wasn't able to pay the wages from {1} bank account to {2}.,
{0:0.00}kb/s,
{0:0.00} count/s,
{0}kb,
You were disconnected because of inactivity!,
Inactivity warning. You will be disconnected in {0} seconds. Make any action to prevent it.,
A communication error occured with the authentication server. (Error Code: {0}),
Error while requesting AuthServer endpoint: {0},
Error when requesting voice join token,
Failed to verify user token,
A performance capture session is being started for the server. Gameplay experience could be degraded for the time being.,
Performance capture started...,
Clear at least {0} plants.,
Clear Vegetation,
{0} is missing on {1} after initialization.,
"Property was notified as changed, but view is cached. This will result in client receive outdated data.",
Packing,
"Global scale for how quick plants mature. The higher the value, the faster the plant will grow. Default: 1","Globalna skala szybkości dojrzewania roślin. Im wyższa wartość, tym szybciej roślina będzie rosła. Wartość domyślna: 1"
A simple wooden shovel made for moving dirt.,
A crude wooden hoe made for tilling soil.,Prymitywna drewniana motyka przeznaczona do uprawy gleby.
A crude pickaxe used to break down stone and ore into usable rubble.,Prymitywny kilof używany do rozbijania kamienia i rudy na nadający się do użytku gruz.
A crude stone hammer useful for shaping blocks and deconstruction.,Prymitywny kamienny młotek przydatny do kształtowania bloków i rozbiórki.
A crude stone axe made for cutting down trees.,Prymitywny kamienny topór przeznaczony do ścinania drzew.
When an iron shovel is not enough and you need something more durable while terraforming.,
A steel pickaxe used to break down stone and ore into usable rubble.,Stalowy kilof używany do rozbijania kamienia i rudy na nadający się do użytku gruz.
A steel hoe with improved range to help tilling larger areas.,"Stalowa motyka o ulepszonym zasięgu, która pomaga w uprawie większych obszarów."
A robust steel hammer useful for shaping blocks and deconstruction.,Solidny stalowy młotek przydatny do kształtowania bloków i rozbiórki.
A Steel axe made for cutting down trees.,Stalowa siekiera przeznaczona do ścinania drzew.
Terraforming is the first step towards a flourishing civilization and now you can do it with style and less repairs.,"Terraforming to pierwszy krok w kierunku rozkwitu cywilizacji, a teraz możesz to zrobić stylowo i przy mniejszej liczbie napraw."
A gasoline-powered alternative for faster geological sampling.,
A modern pickaxe with a non-slip handle made using fiberglass.,
A modern hoe with increased range.,Nowoczesna motyka o zwiększonym zasięgu.
A modern hammer with a non-slip handle made using fiberglass.,
A modern axe with a non-slip handle made using fiberglass.,
A sturdy shovel that breaks less than its wooden counterpart.,"Solidna łopata, która łamie się mniej niż jej drewniany odpowiednik."
A drill used to retreive geological samples and discover what treasures can be found underground.,
A sturdy iron pickaxe used to break down stone and ore into usable rubble.,Solidny żelazny kilof używany do rozbijania kamienia i rudy na nadający się do użytku gruz.
A sturdy iron hoe made for tilling the soil.,Solidna żelazna motyka przeznaczona do uprawy gleby.
An iron hammer allows for more sophisticated building.,
A sturdy iron axe made for cutting down trees.,Solidna żelazna siekiera przeznaczona do ścinania drzew.
A gasoline-powered alternative to cutting trees.,
{0} election started by {1} and conducted using rules defined in {2}.,
{0} stat sum value is too big or too small and can't be evaluated.,
"Can't calculate wealth of citizen in their personal currency, because it would result in an infinite value.",
invalid location ({0} has no residence),
Foliage,
An invalid bank account is selected please select a different bank account for the purchase.,
Internal error during {0} value calculation,
Invalid {0} specified on {1}: {2},
{0} not set on {1}.,
Current,
Cumulative,
Average of calls,
({0} hours to max),
{0} caused error: {1},
You are not authorized to change the state of {0}.,
Cannot toggle state {0} on {1} because it's of type {2}.,
Spoilage is ticking every {0}Ms,
Tried to create too many orders,
No quantity in the order.,
Failed to send packet: client = {0} size = {1},
Spawned Claims Component,
Annexation,Aneksja
Citizenship,
Founding,
Influence,Wpływy
Property Crisis,Kryzys Własnościowy
Settlement Overview,Podsumowanie Osady
Settlement Property,
Medium Shipyard,Średnia Stocznia
"Allows the creation of multiple Laws, which can perform many types of regulations, restrictions, taxations, incentives, and more.",
Large Court,Duży Sąd
Small Court,
Federation Claim Stake,
Focused Workflow: Shipwright,Skupiony przepływ pracy: Szkutnik
Frugal Workspace: Shipwright,Skromny warsztat: Szkutnik
Lavish Workspace: Shipwright,Luksusowy warsztat: Szkutnik
Parallel Processing: Shipwright,Przetwarzanie równoległe: Szkutnik
Carbide Helmet Lamp,Karbidowa lampka nahełmowa
Oil Head Lamp,Olejowa lampka czołowa
Sandals,Sandały
Shipright Overalls,Kombinezon Szkutnika
Shipwright Hat,Kapelusz Szkutnika
Shipwright Sandals,Sandały Szkutnika
Shipwright Shirt,Koszula Szkutnika
Smith Shirt,Koszula Kowala
Claim Tool,
Hemp Mooring Rope,Konopna cuma
Iron Anchor,Żelazna kotwica
Iron Hull Sheet,Żelazna płyta poszycia
Large Metal Ship Frame,Duża metalowa rama statku
Large Wooden Ship Frame,Duża drewniana rama statku
Medium Metal Ship Frame,Średnia metalowa rama statku
Medium Wooden Ship Frame,Średnia drewniana rama statku
Metal Keel,Metalowy kil
Metal Rudder,Metalowy ster
Nylon Mooring Rope,Nylonowa cuma
Small Wooden Ship Frame,Mała drewniana rama statku
Wooden Hull Planks,Drewniane klepki poszycia
Wooden Keel,Drewniany kil
Wooden Oar,Drewniane wiosło
Wooden Rudder,Drewniany ster
Shipwright Advanced Upgrade,Zaawansowane ulepszenie Szkutnictwa
Shipwright Basic Upgrade,Podstawowe ulepszenie Szkutnictwa
Shipwright,Szkutnik
