English,Russian
{0} will lose {1} plots chosen randomly after {2}. Either add more claim papers to the claim stake or manually remove plots.,{0} случайным образом потеряет {1} участков после {2}. Во избежание добавьте квитанций землемера в Колышек Землемера или освободите ненужные участки вручную.
{0} is no longer overburdened.,{0} больше не перегружено.
Some claim papers will not be counted until this homestead joins their owner settlement.,"Часть квитанций землемера не будет учитываться, пока Усадьба не присоединится к поселению, откуда эти квитанции."
{0} was overburdened and losts {1}.,{0} было перегружено и потеряло {1}.
There {0} {1} more than the allowed amount.,
"If this is not fixed before {0}, random plots will be unclaimed.",
"Can't be used, this homestead isn't yet part of {0}",
A plotsComponent doesn't have any deed.,В этом владении нет занятых участков.
"Can't claim plot, {0} only allows unaffiliated homestead deeds to expand into its influence.","Нельзя занять участок, {0} разрешает только неаффилированным личным усадьбам расширяться в зоне его влияния."
"Can't claim plot, it's outside the influence of {0}.","Нельзя занять участок, не в зоне влияния {0}."
"This deed has 'Allow Plots Unclaiming While Renting' enabled, meaning the landlord can remove plots from the deed without evicting residents, do you accept?","Во владении включено 'Изменять участки, пока имеются Жильцы', что позволяет владельцу изменять расположение участков без выселения Жильцов, хотите продолжить?"
{0} only allows citizens to directly own properties inside its sphere of influence and {1} is not a citizen.,"{0} позволяет Гражданам напрямую владеть недвижимостью только в пределах зоны влияния, и {1} не Гражданин."
Exhaustion data from {0} was reset to initial values. As if starting fresh in the server.,Данные об усталости из {0} были сброшены к исходным значениям. Как если бы сервер запускался заново.
Exhaustion is disabled.,Усталость отключена.
Exhaustion bank is disabled.,Сбор данных об усталости отключен.
Configuration is null,Конфигурация нулевая
You feel tired. You've got {0} hours less until exhaustion.,Вы чувствуете усталость. У вас осталось {0} часов до полной усталости.
"You are resting, exhaustion is paused.","Вы отдыхаете, усталость не накапливается."
"Stopped resting, exhaustion is resumed.","Отдых окончен, усталость снова накапливается."
Can't place {0}.,Невозможно разместить {0}.
{0} feature needs to be enabled.,{0} функция должна быть включена.
{0} feature needs to be disabled.,{0} функция должна быть выключена.
{0} is disabled because it's host '{1}' has become invalid.,"{0} отключено, так как его источник '{1}' недействителен."
If not fixed in {0} this {1} will be removed.,"Если не исправить в течение {0}, то {1} будет отключен."
You need {0} {1} to work here,Вам требуется {0} {1} для работы тут
Homestead Support claim papers can only be used on a {0}.,Квитанции усадьбы могут быть использованы только в {0}.
Homestead Support claim papers can't be used with {0} because it is part of a settlement.,"Квитанции усадьбы не могут быть использованы в {0}, так как владение является частью поселения."
Note: {0} claims will not work until you actually join {1}.,"Важно: {0} участков не будут активны, пока не присоединитесь к {1}."
{0} claim papers are not effective yet since you are not a citizen.,"{0} квитанций землемера не учитываются, поскольку вы не Гражданин."
MoveWorldObject.ItemUsed,ПереносОбъектМира.ИспользуемыйПредмет
MoveWorldObject.WorldObjectItem,ПереносОбъектаМира.ОбъектМираИмя
You must have printing supplies in your inventory to print.,Для печати в вашем инвентаре должна быть бумага.
Art Sale:,Творчество продано:
{0} was sold to {1} for {2}.,{0} продано {1} за {2}.
{0} was sold to {1} for {2} by {3}.,{3} продал {0} покупателю {1} за {2}.
"You can add additional provisions to it before starting voting, for example you can place a Government Office and customize the leadership role, or an Immigration Desk and customize citizenship rules.","Вы можете добавить больше законопроектов перед началом голосования, например, вы можете разместить Правительственный офис и отредактировать должность лидера, или отредактировать правила иммиграции в столе Иммиграционной службы (и т.п.)."
Injunctions,Постановления
Injunction,Постановление
{0} {1} {2} of {3}.,{0} {1} {2} за {3}.
added to,добавлено
removed from,снят с должности
blacklist,черный список
ID already existed in universal id table for type: {0}. Existing object with ID {1}: {2},
No settlements,Нет поселений
Government of name,Название правительства
s,с
{0}m,{0}м
{0}s,{0}с
Weather Volume,Громкость погодных явления
Give feedback to the devs and vote on feedback from other citizens here:,Оставляйте отзывы разработчикам и голосуйте за отзывы других граждан здесь:
Exhaustion Enabled,Усталость включена
(Keep swimming to complete the tutorial),(Продолжайте плыть для завершения обучения)
Allow plots unclaiming while renting,"Изменять земельные участки, пока есть жильцы"
"If checked, the owner of this deed may unclaim plots on the deed while you're a resident.\nNote: Can only be changed when there are no residents.","Если отмечено, владелец собственности может занимтаь/освобождать участки владения, пока вы являетесь жильцом.\nПодсказка: можно поставить галочку пока нет жильцов."
Clear Preview,Очистить предпросмотр
"To clear the picture preview frame. If a Picture Item was used for the preview, then it will be returned to your Inventory.","Очищает предпросмотр изображения. Если предмет с изображением был использован для предпросмотра, то он будет возвращено в ваш инвентарь."
To print your chosen image or copy a picture you need to have Printing Supplies available in your inventory.,"Для печати или копирования выбранного вами изображения, в вашем инвентаре должны быть необходимые ресурсы."
Drop Picture Item here for the preview,Поместите сюда изображение для предпросмотра
Claims Requirement:,Требования участков:
Claims Requirements,Требования участков
"Annexing a target requires paying them Claim Papers from the source settlement.  Unlike resources, these 100% go to the foundation of the target without waste.  The cost is determined per-non-abandoned citizen in the target.\n\nIn the case of annexing a Homestead, this number will be increased by the number of Homestead Support Claim Papers that are on the stake.  This makes the support claims not only allow homesteads to claim more plots, but have more protection against annexation.","От Поселения, начинающего аннексию потребуется оплата квитанциями землемера. В отличие от  ресурсов, квитанции в 100% объеме перейдут в закладной камень аннексируемого поселения.\n\nВ случае аннексии усадьбы, их количество будет  зависеть от квитанций усадьбы,  содержащихся в  колышке землемера усадьбы. Это позволяет личной усадьбе не только занимать больше  участков, но и защищаться от аннексии."
"The resources shown must exist in storage attached to an Embassy Desk that is assigned to the Settlement's jurisdiction.  They must be accessible to the leader of the Settlement. The cost is determined per-non-abandoned citizen in the target.\n\nUpon annexation, a percent of these will be given to the other party, and the rest destroyed as the cost of the annexation.\n\nIf all citizens of a target are 'Abandoned', no resources are needed.","Отображаемые предметы должны лежать в хранилище, подключенном к столу Посольства, находящемуся в юрисдикции поселения. Эти предметы должны быть доступны лидеру поселения. Стоимость зависит от активных граждан поселения-цели.\n\nВо время следующего аннексирования, часть предметов будет передана целевой группе аннексии, а часть уничтожена в счет аннексирования.\n\nЕсли все жители цели аннексии 'Брошенные', ресурсов не требуется."
Drop Picture Item here for the preview or browse a file,Перетяните сюда изображение для предпросмотра или укажите файл
Browse File\n,Указать файл\n
World generation seed. 0 means 'assign random seed at generation time',Заданное значение генерации мира. 0 назначает случайное значение генерации Мира
"Flood tool! Left click on the water to remove the top layer, or Right-click on a block to add a water layer.","Инструмент «Затопление»! Щелкните левой кнопкой мыши по воде, чтобы удалить верхний слой, или щелкните правой кнопкой мыши по блоку, чтобы добавить слой воды."
Paint tool! It paints with some developer features.,"Распылитель краски! С некоторыми функциями разработчика, красит блоки."
Dev Paint Tool,Распылитель краски разработчика
givepaint,
paint,
Give yourself mixed paint for predefined DyeColors,Выдать себе смешанную краску для получения заранее определенных цветов краски
givepaintrgb,
paintrgb,
Give yourself mixed paint with any rgb color,Выдать себе смешанные краски любых rgb цветов
"Mixed and ready to go, just need to apply and let dry.","Смешано и готов к использованию, нужно только нанести и дать высохнуть."
Focused Workflow: Painting,Сосредоточенная работа: Малярное дело
Frugal Workspace: Painting,Скромное рабочее место: Малярное дело
Lavish Workspace: Painting,Качественное рабочее место: Малярное дело
Parallel Processing: Painting,Параллельная обработка: Малярное дело
"Adobe, your basic primitive housing material.  Adobe will grant no experience.","Саман, ваш начальный примитивный строительный материал. Саман не дает бонуса опыта."
Adobe,Саман
Far East Lumber,Дальневосточный пиломатериал
WIP,
Garden Gravel,Гравий для сада
Zen Garden,Сад Zen
A set of art supplies that allows one to capture the world.,"Набор художественных принадлежностей, который позволяет запечатлеть мир."
A necessary base for adding pigments and liquids together creating paint mixtures for all your creative needs.,Необходимая основа для смешивания пигментов и жидкостей при создании смесей красок для любых ваших творческих нужд.
Base Paint,Основа для краски
Is it really blue?,Он правда синий?
Blue Powder,Синий порошок
A black powder made by taking bits of charcoal and turning it into a fine powder through a mill.,"Черный порошок, получаемый путем измельчения кусочков древесного угля в мелкий порошок на мельнице."
Charcoal Powder,Угольный порошок
A simple flattened piece of stone used to repair damaged tools. It will wear down your tools quickly.,"Простой сплющенный кусок камня, используемый для ремонта поврежденных инструментов. Он быстро изнашивает ваши инструменты."
Coarse Stone,Грубый камень
Assorted utensils for your everyday kitchen use.,Набор кухонной утвари для повседневного использования.
Cooking Utensils,Кухонная утварь
Pulverized copper ore left exposed to oxygen giving it a green patina.,"Распыленная медная руда, оставленная на воздухе, покрывается зеленой патиной."
Copper Hydroxide,Гидроксид меди
A mixture of powders in set ranges to make an artifical base cyan color.,Смесь порошков в заданных количествах для получения искусственного базового голубого цвета.
Cyan Powder,Голубой порошок
Dowels used for construction.,Дюбеля используются в строительстве.
Dowel,Дюбель
A small glass fuse easily replacable to safeguard against electric accidents.,"Небольшой стеклянный предохранитель, который легко заменяется для защиты от поражения электрическим током."
Fuse,Предохранитель
Pulverized iron ore left out exposed turning it into what commonly is known as rust.,"Распыленная железная руда оставленная на воздухе превращается в то, что обычно называют ржавчиной."
Iron Oxide,Оксид железа
An extremely useful greasy material that helps machinery to run.,"Чрезвычайно полезный смазочный материал, который помогает механизмам работать."
Lubricant,Смазка
"Harvest it, dry it and process into a beautiful purple tone, it is almost like its made for a printer.","Соберите, высушите и превратите в красивый фиолетовый оттенок, как будто создано для печати."
Magenta Powder,Пурпурный порошок
A simple round stone used for crushing other things.,"Простой круглый камень, используется для измельчения других предметов."
Mill Stone,Жернов
A high quality method of repairing your tools reducing waste.,"Высококачественный метод ремонта ваших инструментов, сокращающий количество отходов."
Polishing Paste,Полировальная паста
A steel bolt used to hold together inventions.,"Стальная заклепка, используемая для соединения конструкций."
A steel rod with grooves allowing more finer sharpening of tools.,"Стальной стержень с канавками, обеспечивающими более тонкую заточку инструментов."
Sharpening Steel,Стальной точильный брусок
An attachment for the steam tractor that allows for quick terraforming.,"Навесное оборудование для парового трактора, позволяющее быстро проводить терраформирование."
Steam Tractor Scoop,Ковш парового трактора
A steel spring used to create bouncing inventions.,"Стальная пружина, используемая для создания подпрыгивающих изобретений."
Steel Spring,Стальная пружина
A polished piece of stone specifically cut to reduce damage of tools.,"Отполированный кусок камня, специально обработанный для уменьшения повреждения инструментов."
Whetstone,Точильный камень
Petals taken through a drying and grinding stage leaving this fine powder.,"Лепестки проходят стадию сушки и измельчения, в результате чего получается мелкий порошок."
White Powder,Белый порошок
A basic gear for use in early wooden machinery.,Простая шестеренка для ранних деревянных механизмов.
Wooden Gear,Деревянная шестерня
Yellow Powder,Желтый порошок
Basic Upgrade that greatly increases efficiency when crafting Painting recipes.,"Базовое улучшение, которое значительно увеличивает эффективность при создании рецептов Малярного дела."
Painting Upgrade,Улучшение для малярного дела
A painter uses different combination of liquids and powders to create a practical application of colors.,Маляр использует различные комбинации жидкостей и порошков для создания практичного сочетания цветов.
Painting,Малярное дело
Painting Skill Book,Книга о малярном деле
Painting Skill Scroll,Страница о малярном деле
Scientists can transforms the knowledge and understanding of the world into more practical uses.,Ученые могут преобразовать знания и понимание мира в более практическое применение.
Scientist,Ученый
A mechanical paint tool with more advanced functionality over its crude wooden predecessor.,Механический Распылитель краски с расширенным функционалом по сравнению с деревянной версией.
Iron Paint Sprayer,Железный распылитель краски
A modern painting tool using sophisticated electronic throttling for a continues experience.,"Современный Распылитель краски, использующий сложную электронную регулировку для повышения качества работы."
Modern Paint Sprayer,Современный распылитель краски
A crude painting tool using a primitive pumping method allowing someone to paint single blocks.,"Грубый Распылитель краски, использующий метод ручного накачивания, позволяя красить блоки по одному."
Wooden Paint Sprayer,Деревянный распылитель краски
Small Canoe for hauling minimal loads.,Маленькая Каноэ для перевозки небольших грузов.
Egyptian Canoe,Египетское Каноэ
A larger canoe for personal transport and medium sized loads.,Каноэ большего размера для себя и перевозки грузов среднего размера.
Norse Canoe,Скандинавское Каноэ
A door made from crude wood pieces.,"Дверь, сделанная из необработанных кусков дерева."
Adobe Door,Дверь из самана
A small beautiful ashlar stone fountain with flowing water that makes a great centerpiece.,"Красивый струящийся фонтан из резного камня, который является прекрасным центральным элементом."
A helpful sign for advertisements along the road.,Полезный знак для размещения рекламы вдоль дороги.
Baker Sign,Вывеска Пекаря
Carpenter Sign,Вывеска Плотника
A poster for the wall.,Постер на стену.
Cart Blueprint Poster,Постер с чертежом тележки
A plaque used for rating a property.,"Табличка, используемая для оценки объекта собственности."
Cast Iron Plaque,Чугунная наградная табличка
Chandelier,Люстра
A copper frame useful for simple picture and art displays.,Медная рамка для простых картин и прочих художеств.
Election Poster,Предвыборный плакат
Engineer Sign,Вывеска Инженера
Fancy Hewn Door,Изящная обтесанная дверь
Farmer Sign,Вывеска Фермера
A fixed flying kite for your garden.,Стационарный летающий воздушный змей для вашего сада.
FishKite,Летающая рыба
Food Sign,Вывеска ресторана
"Keeps animals away, but not in a scary way. (WIP)","Отпугивает животных, но не потому, что страшный. (WIP)"
Friendly Scarecrow,Дружелюбное пугало
A simple pond filled with water for your decorative outdoor needs.,"Простой прудик, наполненный водой для украшения вашего двора."
Garden Pond,Садовый пруд
A gold frame useful for simple picture and art displays.,Золота рамка для картин и прочих художеств.
A large fountain with a spiral motif.,Большой фонтан со спиральным мотивами.
Granite Spiral Fountain,Гранитный спиральный фонтан
A large fountain with a multi-layered terracing display.,Большой фонтан с многоуровневой террасной экспозицией.
Granite Terrace Fountain,Гранитный фонтан для террасы
Hanging Electric Wall Lamp,Подвесная электрическая настенная лампа
Refines food resources by crushing them in a more advanced machine than a stone mill.,"Перемалывает пищевые продукты, измельчая их в более совершенной машине, чем каменная мельница."
Industrial Mill,Промышленная мельница
A machine with the life long purpose of turning raw plastic into usable furniture and devices.,"Машина, с длительным сроком службы и предназначенная для обработки пластика в пригодную для использования мебель и устройства."
An iron frame useful for simple picture and art displays.,Железная рамка для картин и прочих художеств.
Kite,Воздушный змей
Koi Pond,Пруд с Кои
Mason Sign,Вывеска Каменщика
Ornate Cast Iron Plaque,Изящная чугунная Наградная доска
An ornate gold frame useful for simple picture and art displays.,Изящная золотая рамка для картин и прочих художеств.
An ornate iron frame useful for simple picture and art displays.,Изящная железная рамка для картин и прочих художеств.
Ornate Stone Plaque,Изящная каменная Наградная доска
An ornate wooden frame useful for simple picture and art displays.,Изящная деревянная рамка для картин и прочих художеств.
Ornate Wood Plaque,Изящная деревянная Наградная доска
A mixing station for all manners of colors used in paint.,"Станция смешивания всевозможных цветов, используемых в краске."
Paint Mixing Workbench,Верстак для смешивания красок
Periodic Table Poster,Постер с Периодической Таблицей Элементов
A simple molded plastic furniture for outdoor use.,Простая формованная пластиковая мебель для использования на улице.
Plastic Outdoor Bench,Пластиковая лавка для улицы
Plastic Outdoor Chair,Пластиковый стул для улицы
Plastic Outdoor Table,Пластиковый стол для улицы
A simple planter box mounted on a wall or by a window.,"Простой горшок для растений, крепится к стене или под окно."
Plastic Window Planter,Пластиковый горшок для окна
Redwoods Poster,Постер с секвойями
Rustic Window Planter,Деревенский горшок для окна
Keeps animals away. (WIP),Отпугивает животных. (WIP)
Scarecrow,Пугало
Shipwright Sign,Вывеска кораблестроителя
Stone Plaque,Каменная Наградная доска
Store Sign,Вывеска магазина
Tailor Sign,Вывеска Портного
A simple neutral tapestry.,Просто нейтральный гобелен.
Tapestry,Гобелен
A tapestry with a beautiful fish display.,Гобелен с изображением красивой рыбы.
Tapestry Fish,Гобелен с рыбой
A tapestry with a beautiful sunset display.,"Гобелен, на котором изображен невероятно красивый закат."
Tapestry Sunset,Гобелен с закатом
Great for outdoor l,Отлично подходит для сада
Tiki Torch,Садовый Факел Тики
A chest but for the wall.,"Сундук, но для подвеса на стену."
Wall Mounted Chest,Подвешиваемый сундук
Wall Mounted Trunk,Настенный сундук
A simple window shutter helps to keep things in or out.,Простая оконная шторка помогает сохранить вещи внутри или снаружи.
Window Shutters Center,оконные жалюзи центральные
Window Shutters Left,оконные жалюзи левые
Window Shutters Right,оконные жалюзи правые
A wooden frame useful for simple picture and art displays.,Изящная деревянная рамка для картин и прочих художеств.
A wall mounted stand for a torch.,Настенный держатель факела.
Wooden Wall Torch Stand,Деревянное крепление факела на стену
Wood Plaque,Деревянная Наградная доска
Wood Window Planter,Деревянный горшок для окна
A large table for eating meals or getting some work done.,Большой стол для приема пищи или выполнения какой-либо работы.
Zataku Table,Стол Затаку
Colorant,Краситель
Those who are registered under a specific settlement but are also considered citizens of another due to the hierarchical relationship between them.,"Те, кто зарегистрирован в определенном населенном пункте, но также считаются гражданами другого поселения в силу иерархических отношений между ними."
Those who are directly registered under a settlement without any intermediary lower level settlement affiliations,"Те, кто напрямую зарегистрирован в поселении без каких-либо промежуточных связей с поселениями более низкого уровня"
"A 'Residence' deed will apply housing points towards the Character XP multiplier, split among the residents.","'Жилище' - добавит очки жилья к множителю опыта персонажа, очки делятся между всеми жильцами."
Reputation Given To User,Репутации выдано игроку
Reputation Given To Picture,Репутация переданная картине
Reputation Given To Deed,
Start the mapping at this value.,
"After the amount increases this much, it will increase the output half the remaining distance to the limit.",
The output yielded when input is at or below 'InputMin'.,"Выходные данные выдаются, когда входные данные равны или ниже «ВходМинимум»."
"When the input value goes 'InputHalfLife' past 'InputSoftCap', the output will reach 50% towards this value.  This is the value it will approach but never reach..",
Clear all weather,
checkobjectspositions,
checkobjects,
"Check every object in scene making sure they have the correct position, inform and disable them otherwise.",
qamode,
"Toggle qamode on/off. This is a debug build, so this command is available for all users.",
demote,
"Demotes user from adnim to a regular user until server is restarted or this command is invoked again. This is a debug build, so this command is available for all users.",
Exhaustion Date Hours Offset,
Defines hours offset for local and UTC time exhaustion debugging. Simple way to move exhaustion time back and forth.,
Placement On Surfaces,
"IN PREVIEW MODE FOR 10.3: Allows placing some objects on rugs and tabletops, and rotating them to any angle.",
Auto Approve Printer Pictures,Автоподтверждение напечатанных изображений
Utc Time,Время по Гринвичу
"Allow bonus retroactive playtime for player when joining after first game day. So, player can receive as much time as if playing from start. Only enabled when AllowPlaytimeSaving is active.",
Accept Items Bought In Any World,
Accept Items Bought In These Worlds,
Accept Achievements From Any World,
Accept Achievements From These Worlds,
Allow Paid Items In Player Stores,Разрешить продавать платные предметы в магазине игрока
"If set, we don't care where citizens bought any items, we allow all of them to be used here.","Если отмечено, нам не важно, где граждане купили предмет, мы разрешаем использовать их здесь."
"If the above option is not enabled and this world doesn't accept all items, this list can contain the IDs of worlds and the IDs of owners of worlds from which this server will allow items. This allows specifying servers together in a network of shared item usage.",
"If set, we don't care where citizens got an achievement, we allow all of them to be used displayed and used here.","Если отмечено, нам не важно, где граждане получили достижение, мы разрешаем отображать и использовать их здесь."
"If true, paid variants of items will not be allowed in stores.",
homesteadreport,
Shows a report of how neighboring settlements may impact a homestead that is placed at the citizen's current location.,"Показывает отчет о том, как соседние поселения могут повлиять на усадьбу, расположенную в текущем местоположении гражданина."
settlementreport,
"Shows a report of how neighboring settlements may impact a settlement that is placed at the citizen's current location.  Pass a number to specify settlement type that would be placed (0 = town, 1 = country, etc)",
enabledisable,
seten,
Enables or disables a settlement. This will stop it from casting influence or applying laws when disabled.,
Settlement Min Required Plot Coverage Percentage,
Homestead Min Required Plot Coverage Percentage,
A country/federation's influence must overlap a child town/country by this percentage in order to be a child.,
Minimum required ratio of homestead plots covered by settlement's influence to be a child.,
Maps player reputation to culture points.,
Maps reputation of the artwork to culture points.,Сопоставляет репутацию предмета искусства с баллами культуры.
"Maps the reputation of a property to a multiplier for the value of that property, for Residential property type.",
clearall,
cleartowns,
Destroy all things related with the passed settlement and unclaim all property.,
boostsettlement,
boostsettlementculture,
boostproperty,
boostpropertyculture,
"Sets a boost to the culture value of the given deed, or the property where the user is standing if not specified",
Gives reputation from the given user (defaulting to self if not set) to the given target (picture or user) ignoring limits by default.,
reprep,
masterpieces,
vincent,
"Gives reputation to all pictures ignoring limits, can set settlement to only apply reputation to pictures under its influence.",
"When this is toggled, only unaffiliated homesteads (not a member of any settlement) will be allowed to expand into our settlement influence.","Если отмечено, только свободные усадьбы (не входящие в состав любого поселения) смогут расширять свою территорию в зоне влияния этого поселения."
The founding of a Settlement will create an influence area that can be observed on the map. The chosen color will signify the extent of influence generated by this Settlement.,
"Check the current surroundings to see if it's a room, and if not explain why not. Recalculate outdoor area.","Проверить помещение на соответствие стандартам комнаты, если не соответствует, то объяснить, почему. Пересчитать бонус наружной зоны."
resolveoverburdened,
overb,
"Any deed that is overburdened (too many plots claimed, not enough claim papers) will have plots unclaimed immediately (instead of waiting for timer)",Немедленно (без таймера) освобождает участки перегруженных Владений (где недостаточно квитанций землемера)
"When you're not using tools for a job, you put these to work.",
Move Elevator Action,
Move/Stop elevator,Вкл/выкл лифт
"Only triggers laws from settlements that the Citizen is a part of, or settlements (and their parents) holding the bank account.",
Only triggers laws from settlements that the Citizen is a part of.,
A citizen transferred property influenced by the settlement.,
Only triggers laws on settlements influencing the deed.,
The citizen who transfered the money. Note: Can only be taxed if they are a citizen of the settlement of the law executing.,
"Triggers laws on settlements that the Citizen is a part of, as well as settlements (and their parent settlements) owning either bank account.",
This triggers instead of the 'Transfer Money' action when the source account is a government account.,
"Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election.",
Target Type,
What kind of thing was recieving the reputation?,
Triggers laws on settlements that either Citizen is a part of.,
Triggers laws on settlements that the Citizen is a part of.,
Triggers laws on settlements influencing the location performed.,
A citizen felled a tree and created debris.,
Triggers laws on settlements influencing the start and end locations where it was performed.,
Triggers laws on settlements influencing the deed.,
Triggers laws on settlements influencing the payment source.,
An effect that is run on each specified citizen of the given settlement at intervals.,
Triggers laws on all founded settlements.,
Cultural Plaque,Наградная доска культуры
setpartdecaymult,
partdecay,
"On objects within a given radius, make part durability consumption optionally trigger constantly instead of accumulating, and set a multiplier for how fast it goes.",
Hours After Deed Overburdened Before Removing Plots,
Triggers To Block In Lesser Laws,
Legal Actions To Block In Lesser Laws,
Laws To Block,
Tax From All Accounts,Налог со всех Счетов
"If set, will attempt to target all bank accounts in the law's jurisdiction.  Otherwise it only targets the personal accounts of the given targets.",
listall,
chieves,
List all achievements available.,Список доступных достижений.
mine,
mychieves,
"List all achievements and progress for the given user, or self if none passed.","Список доступных достижений и прогрессия выбранного игрока, или ваше, если ничего не указано."
Steam Server Port,Порт Steam
Max Users Loading At Same Time,Максимальное количество одновременно подключаемых пользователей
Port for game traffic. UDP only. Requires a restart to take effect.,Порт для игровых данных. Только UDP. Нужна перезагрузка для применения.
Bind port for web traffic. TCP only. Requires a restart to take effect.,
Bind port for RCON traffic. TCP only. Requires a restart to take effect. More info available here: https://wiki.play.eco/en/RCON,
Port for Steam game server traffic. Used only in offline mode on Windows and Linux. Requires a restart to take effect.,
How many users can be in loading at same time? Set to -1 for infinite.,
dyeColor,
r,
g,
b,
targetID,
reputation,
multiplier,
consumeWithoutDelay,
Hide UIKey,Скрыть интерфейс
Actionbar Skills,Навыки
Hide all game interface (Alt + Key),Скрыть интерфейс (Alt + Key)
"Couldn't connect to Steam servers. You can still play, but you won't be able to access user data.",
"Couldn't connect to Strange Loop servers. You can still play through Steam, but you won't be able to access user data.","Не получилось установить связь с серверами Strange Loop. Вы всё еще можете играть через Steam, но вы не сможете получить данные игрока."
You are a SLG developer. Your authorization level on this server is that of {0}.,Вы разработчик SLG. Ваш уровень авторизации на данном сервере {0}.
You are {0}.,Вы {0}.
a user,пользователь
a moderator,модератор
an admin,администратор
a dev tier admin,администратор с DevTier
an unknown type of user,неизвестный тип пользователя
DevTier,
Allowing 'give' for strange blueprint item {0} because this is a non-production build.,
{0} requires a Strange Blueprint and cannot be given.,
{0} attempted to tax but had no jurisdiction to do so.,"{0} попытка снять налоги, но не указана юрисдикция для этого."
- Time until exhaustion: {0},- Оставшееся время до Усталости: {0}
(Maximum: {0}),(Максимум: {0})
(Unused time expires at next refresh),
You can halt exhaustion progress by resting on furniture or sleeping.,Вы можете приостановить накопление усталости отдыхая на сидениях или поспав.
You are currently resting! Exhaustion progress is halted.,Вы отдыхаете! Накопление Усталости приостановлено.
Select a file from your computer to upload.,Выберите файл с вашего компьютера для загрузки.
Files can't be larger than specified in server config.,
Uploading images is not allowed on this server.,Загрузка изображений на этом сервере запрещена.
This plot is unowned.,Этот участок никому не принадлежит.
Place on Surface,Разместить на поверхности
"If you place this on unowned land, anyone can take it, and you will have to manually link any storages.  Proceed?","Если вы разместите это на ничейной земле, любой может забрать это, и вам придется вручную привязывать все хранилища. Продолжить?"
Don't warn about unowned land.,Не предупреждать о ничейной земле.
Can Be On Table Top,Может быть на поверхности стола
Can Be On Rug,Может стоять на ковре
Placeable On Unowned Land,
Outdoor,Снаружи
Plaque,Наградная доска
max durability repair penalty,штраф от макс прочности при ремонте
Scientist Specialty,Профессия Ученого
Primitive Backpack,Примитивный рюкзак
Powdered Creosote,
Plastic Utensils,Пластиковая утварь
Incinerate Garbage,
Grease,Смазка
Pigment,Пигмент
Hoer,
Wall Framed Vertical Edge With Panel,
Wall Framed End With Panel,
Wall Framed Top With Panel,
Wall Framed T Horizontal,
Wall Framed T Vertical,
Wall Framed Corner Bottom,
Wall Framed Corner Top,
Wall Framed X,
Wall Decorative Block,Настенный декоративный блок
Wall Framed Vertical Pattern,
Wall Framed Horizontal Mid,
Wall Framed Horizontal Double With Mid,
Wall Framed Vertical Mid,
Wall Framed Vertical Edge Double,
Wall Framed Vertical Edge,
Plain Wall With Panel,
Wall Framed Top And Bottom,
Wall Framed With Panel,
Plain Wall,
Wall X Plain With Panel,
Wall X Framed Top And Bottom,
Wall X Framed Top With Panel,
Wall X Plain,
Wall X Intersection,Х-пересечение стен
Wall T Plain With Panel,
Wall T Framed Top And Bottom,
Wall T Framed Top With Panel,
Wall T Plain,
Wall T Intersection,Т-Пересечение стен
Wall Single Block,Одиночный блок стены
Wall Mid Section,Секция стены
Wall End Piece,Концевая секция стены
Wall Corner Plain With Panel,
Wall Corner Framed Top And Bottom,
Wall Corner Framed Top With Panel,
Wall Corner Plain,
Wall Corner Piece,Поворот стены
Stairs Solo,
Stairs Mid Block,
Stairs End Right,
Stairs End Left,
Roof X Intersection,
Roof Underslope Turn,
Roof Underslope Side,
Roof Underslope Corner,
Roof T Intersection,
Roof Single Block,
Roof Peak X,
Roof Peak T,
Roof Peak Corner,
Roof Mid Section,
Roof Fill Block,
Roof End Piece,
Roof Turn Curved Edge Block,
Roof Side Curved Edge Block,
Roof Corner Edge,
Fence X Intersection,Х-пересечение ограды
Fence T Intersection,Т-пересечение ограды
Fence Solo Block,Одиночный блок ограды
