English,Arabic
Sparkling Canvas,
Create 50 total culture as a world.,
Incipient Renaissance,
Create 500 total culture as a world.,
Cultural Cornucopia,
Create 5000 total culture as a world.,
Cultural Nexus,
Create 20000 total culture as a world.,
Ascendent Civilization,
Create 100000 total culture as a world.,
Cultural Phenomenon,
Become the top ranked cultural creator when at least 10 citizens have created any culture.,
Dilettante,
Create your first culture.,
Cultivated,
Create 10 culture.,
Artisan,
Create 50 culture.,
Virtuoso,
Create 200 culture.,
Visionary,
Create 1000 culture.,
Remarkable Work,
Create a piece of artwork that generates 5 culture.,
Masterpiece,
Create a piece of artwork that generates 50 culture.,
Magnum Opus,
Create a piece of artwork that generates 1000 culture.,
Picking this up will disable the settlement after {0} minutes.,
Your homestead was removed from the world by {0}.,
You can craft a new homestead claimstake at {0},
"Too many deeds selected, you may only select {0} influence-producing deeds for a {1}.",
Invalid - not a part of this settlement.,
Invalid - not a cultural property.,
Cultural Properties Generating Influence in {0},
"{0} can have a max of {1} properties that generate culture, and those can be manually assigned here (otherwise the top ones are used).",
Select Cultural Deeds to Genereate Influence (max of {0}),
Properties,
A list of all the nearby settlements that {0} has progress towards annexing.,
Inventory only accepts {0},
Inventory does not accept construction materials.,
Not enough items ({0}) in source inventory.,
Bank Account {0} {1} because it was no longer associated with a placed bank.,
Bank Account {0} managed by you {1} because it was no longer associated with a placed bank.,
Amount per hour must be > 0.,
Added as occupant of {0}.,
Removed all occupants of {0}.,
You must hold an elected title in {0} with Diplomatic Privileges to do that.,
There are no active elections that {0} can join. {1},
Destroyed the meteor on {0},
{0} for {1} was established!,
{0}/second,
You can use /unstuck if you have no other options.,
Need {0},
more block,
*Missing Settlement*,
Learn about Swimming restrictions,
Press {0} to toggle third-person.,
Use {0} to change camera distance in third-person.,
Press {0} to move the camera target in third-person.,
Swimming Advisory,
Remember your room must be on land you own.,
{0} has entered a {1}!,
Not enough citizens to sustain the claimed land. Associated stakes and plots will be removed if not resolved on or before {0}.,
"To resolve the crisis, either:",
{0} has entered a {1}! Stakes and papers needed.,
Picking this up will unclaim {0} {1}.,
plots,
{0} is {1} easier to annex because of {2} abandoned deed.,
This deed is {0} easier to annex because it's owned by abandoned citizens.,
"This {0} at {1} should have a deed, corrupted object.",
{0} didn't had a Host Object!,
Not in settlement influence,
Already claimed,
"Property type can't be changed, Education feature is not yet implemented.",
"Property type can't be changed, Settlement feature is not enabled.",
"Property type can't be changed, Culture feature is not enabled.",
Plots on deed must all be connected.,
Image is too big,
There are no seed selected!,
"Can't place here, not under the influence of {0}.",
"Can't place here, this plot is not in {0}.",
The WorldObject you're attempting to move is not placed anywhere.,
You can't move an object that has occupants.,
Admin mode was {0}.,
Invalid target.,
Left Mouse Button (LMB) - Hold to Dig,
Right Mouse Button (RMB) - CaptureException Contents,
Forward/Back - Boom Up/Down,
LMB + Mouse Up/Down - Arm Up/Down,
Digging Controls:,
Currently Holiday: {0},
No currently running holiday,
Holiday Manager,
This will disable {0} after a timer expires.,
You are not authorized to do that on {0}.,
You are not authorized to use {0}.,
You gained progress towards the {0} achievement.,
This world has gained progress towards the {0} achievement.,
Current Progress: {0} / {1},
Allow Discord Join/Invite requests from anyone. (Friends only when disabled),
Download picture,
Limit In-Game camera photos stored on PC,
on - Allows anyone to send you a personal server invite or a channel based invite.\noff - Disables the ability for users other then your Discord friends to send you invites.,
Allow Discord Join/Invite Requests,
Border Color,
Swimming burns a lot of calories.,
Be careful when swimming long distances!,
"If you run out of calories while swimming, you will become exhausted and wake up on the shore.",
Settlement:,
Top Cultural Works,
Top Culture Contributing Citizens,
Citizen Achievements,
World Achievements,
Total Culture Worldwide:,
"Flood tool! Left click on the water to remove the top layer, or Right click on a block to add a water layer.",
Curtains woven using the finest cotton. \n\n (Only cosmetic does not impact room value.),ستائر محبوكة باستخدام أجود الأقطان. \n\n (زخرفية فقط لا تؤثر على قيمة الغرفة.)
Curtains made out of plastic? \n\n (Only cosmetic does not impact room value.),ستائر مصنوعة من البلاستيك؟ \n\n (زخرفية فقط لا تؤثر على قيمة الغرفة.)
Curtains woven using the finest wool. \n\n (Only cosmetic does not impact room value.),ستائر منسوجة بأجود أنواع الصوف. \n\n (مستحضرات التجميل فقط لا تؤثر على قيمة الغرفة).
A basic backpack to carry supplies.\n\n(Increases max carry weight by 5 kg),حقيبة ظهر أساسية لحمل الإمدادات\n\n(تزيد الوزن الأقصى المسموح بحمله بـ 5 كجم)
"Can you carry as much as a bear! Not really, but it helps you carry more.\n\n(Increases max carry weight by 15 kg)",هل يمكنك أن تحمل مثل الدب! ليس حقًا ، ولكنه يساعدك على حمل المزيد. \n\n(يزيد الوزن الأقصى للحمل بمقدار 15 كجم)
A survival backpack that offers more support than the basic backpack.\n\n(Increases max carry weight by 10 kg),حقيبة ظهر للبقاء على قيد الحياة توفر دعمًا أكبر من حقيبة الظهر الأساسية. \n\n(يزيد وزن الحمل الأقصى بمقدار 10 كجم)
Snug work boots with side zippers.\n\n(Decreases calories consumed when using tools by 30%),
"Also called chapeau � bec, or Billed Hat in france due to it's bird-beak like appearance.",
Bycocket,
Hide from the animals!\n\n(Reduces the detection range of animals),إخفاء من الحيوانات! \n\n (يقلل من نطاق الكشف عن الحيوانات)
A steel hardhat with a light source for the darkest places.\n\n(Flashlight),
Simple low indoors working shoes helps avoiding slipping on wet surfaces in a large kitchen.\n\n(Decreases calories consumed when using tools by 30%),
Boots with rubber soles and thermal insulation for comfort yet still be durabable.\n\n(Decreases calories consumed when using tools by 30%),
Waterproof rubber sole boots with synthetic lining that provides protection against the elements when working in the fields.\n\n(Decreases calories consumed when using tools by 30%),
"A sturdy pair of rubber footwear designed to provide protection against water, rain, and mud.\n\n(Decreases calories consumed when using tools by 10%)",
"Smaller than your standard three-day backpack. You can't fit that much inside, but that makes you more agile.\n\n(Increases movement speed and increases max carry weight by 5 kg)",أصغر من حقيبة الظهر القياسية لمدة ثلاثة أيام. لا يمكنك أن تتسع لهذا القدر من الداخل ، لكن هذا يجعلك أكثر رشاقة.\n\n (يزيد من سرعة الحركة ويزيد الحد الأقصى لوزن الحمل بمقدار 5 كجم)
"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.\n\n(Decreases calories consumed when using tools by 10%)",
I have no idea why it's called that but it's not edible.,
Muffin Hat,
An iron hardhat with a light source for the darkest places.\n\n(Flashlight),
A pair of crude canvas boots for your everyday use.,
Primitive Canvas Boots,
Roughly stitched canvas pants.,
Primitive Canvas Pants,
"They're like the Primitive Canvas Pants, but shorter.",
Primitive Canvas Shorts,
You should probably still wear pants.,
Primitive Fur Belt,
A pair of crude leather boots for your everyday use.,
Primitive Leather Boots,
You ever tried cutting leather with a rock?,
Primitive Leather Pants,
"A Shirt made from roughly cut pieces of leather, should keep your shoulders warm.",
Primitive Leather Shirt,
You may have enough leather left over to make a nice hat.,
Primitive Leather Shorts,
Light weight shoes designed to make you run faster.\n\n(Increases movement speed),أحذية خفيفة الوزن مصممة لتجعلك تركض بشكل أسرع. \n\n(يزيد من سرعة الحركة)
Basic footwear that helps reduce the strain of walking longer distances.\n\n(Decreases calories consumed when using tools by 10%),
"A simple sailor's cap, don?t lose it or you might be walking on a plank.",
Denim overall for extra sturdy wearability.,
Shipwright Overalls,
Comfortable sandals with extra traction to avoid slipping.\n\n(Decreases calories consumed when using tools by 30%),
A striped shirt symbolizing your affinity for traveling across the seas.,
Heavy duty steel-toed boots.\n\n(Decreases calories consumed when using tools by 30%),
A simple cotton shirt helps reduce the strain of heat exposure.,
Two-toned suede shoes.\n\n(Decreases calories consumed when using tools by 30%),
It sure is warm.,
Trapper Fur Hat,
Helps keep the sun off your face... and neck... and also ears.,
Trapper Leather Hat,
A simply made canvas shirt. Does not have a pocket to put your pen in.,
Tunic,
"A rough linen cowl lowered, showing your face.",
Villagers Cowl Lowered,
"A rough linen cowl raised, hiding your face partially.",
Villagers Cowl Raised,
"A quality linen cowl lowered, showing your face.",
Wanderers Hood Lowered,
"A quality linen cowl raised, hiding your face partially.",
Wanderers Hood Raised,
Lighter pack that causes lower calorie consumption.\n\n(Decreases calories consumed when using tools by 10% and increases max carry weight by 5 kg),
Boots designed to be rugged and reduce muscle strain while working.\n\n(Decreases calories consumed when using tools by 10%)\n\n(Increases movement speed),
Leaving it outdoors somehow made it more digestible.,
Dried Fish,
Dried Meat,
"Marinated in a mix of oil, herbs and some sweetener really increased the potential.",
Sweet Deer Jerky,
Basic Upgrade that greatly increases efficiency when crafting Hunting recipes.,ترقية أساسية تزيد من الكفاءة بشكل كبير عند صياغة وصفات الصيد.
Hunting Upgrade,
QA Test Object adding Bathroom value.,
QA Test Object adding Bedroom value.,
QA Test Object adding Industrial room overriding any value.,
QA Test Object adding Kitchen value.,
Kitchenroom,
For more advanced research and manufacturing. Science rules!,
QA Test Object adding Livingroom value.,
Livingroom,
A basic workspace for crafting all manner of settlement related objects.,
Settlement Crafting Table,
status,
Prints out the current weather status for the entire planet,
Create a light rain storm at your location,
Create a heravy rain storm at your location,
The minimum size of a weather system in blocks.,
The maximum size of a weather system in blocks.,
The minimum time a weather system can last in minutes.,
The maximum time a weather system can last in minutes.,
scanall,
Trigger a validity scan of all objects.,
Calorie Multiplier On Move,
Sets the calorie multiplier rate of the move object function. This is multiplied towards the total weight in kilos which equals to the total calorie cost per tile moved.,
Utility,
Use Settlement System,
"Should the settlement system be used, or should the old style be set? Forced to false for servers migrated from before V0.10. Note: changing this will automatically change the config enabling/disabling spawning of claim stakes and papers in the Balance Config.",
Should the achievements be enabled or not?,
Should the Camera mode be enabled?,
"When set, new users will treated to a delightful smorgasbord of initial spawn positions to choose from.  Will also show settlements accepting new citizens. When false, will spawn at the default position without user prompting.",
Max Dimension Of User Texture,
Auto Approve Printer Picutres,
Auto Approve Avatar Pictures,
Auto Approve In Game Photo,
"Max dimension allowed for user texture, default is 512 pixels (allowing textures up to 512x512 pixels)",
"Should newly submitted textures from the users's storage wait be automatically approved displaying them? This is a layer of protection against displaying inappropriate images to the players, and should stay disabled on public servers.",
Should newly avatar portrait textures be automatically approved? This is a layer of protection against displaying inappropriate images to the players.,
Should newly in game photos wait be automatically approved? This is a layer of protection against displaying inappropriate images to the players.,
dumpvehicle,
Dumps all items from your vehicle inventory.,
Kills all plants in an area. Pass false to not delete them.,
Kills all trees in an area. Pass false to only cut them.,
clearallrubble,
Destroys all rubble in the world,
Advertisement To New People Entering World,
Last Annexed Time,
"Destroy the settlement and remove all citizens, influence, laws, etc.",
Dissolve Settlement,
An explanation why they're being removed.,
Remove all the applications and invitations that this settlement has sent.,
Cancel Settlement Actions,
renouncecitizenship,
renounce,
Leave citizenship of whatever settlement you are a citizen of.,
recountclaims,
"Forces a recount and update of the number of spawned claims and stakes for each settlement, in case they are out of synch.",
populate,
Land Claims Per Citizen Past First,
Land Claims Per Abandoned Citizen,
Claim Stakes Per Citizen Past First,
Claim Stakes Per Abandoned Citizen,
Base Plots On Claim Stake,
Base Plots On Foundation,
Base Plots On Homestead Claim Stake,
Hours To Resolve Property Crisis,
Settlement Foundation Base Influence,
Settlement Influence Multiplier,
Settlement Types,
Min Required Plot Coverage Percentage,
Min Sub Settlements To Found Settlement,
Min Sub Settlements To Maintain Settlement,
Min Citizens To Found Settlement,
Min Citizens To Maintain Settlement,
Min Culture To Found Settlement,
Min Culture To Maintain Settlement,
Culture To Influence Mapping Per Settlement Type,
Max Givable Reputation Through Laws,
Max Givable To Single Party Per Day,
Max Givable To Single Party Total,
Min Givable To Single Party Total,
Min Culture Of Foundation Settlements,
Max Number Of Cultural Properties,
Culture Advantage Percent Required To Annex Child Settlement,
Culture Advantage Absolute Required To Annex Child Settlement,
Culture Advantage Percent Required To Annex Sibling Settlement,
Culture Advantage Absolute Required To Annex Sibling Settlement,
Reduction Percentage When Homestead Is Abandoned,
Weight Culture By Percent Of Neighboring Plots Child Settlement,
Weight Culture By Percent Of Neighboring Plots Sibling Settlement,
Active Citizens Requiredto Annex Relative,
Percent Of Annexation Resources Wasted,
Annexation Resource Requirement,
Post Annexation Secession Lock Days,
Annex Target Boost When Has Unfounded Settlement Parent,
Annex Target Boost Per Additional Citizen In Unfounded Settlement Parent,
Annex Target Boost Per Additional Child Settlement In Unfounded Settlement Parent,
"A founded settlement foundation will provide this much influence, without any culture.",
The influence gained from the different deeds that are created inside the settlement will be multiplied by this value.,
"Maps culture (which can climb to infinity) to influence, which can have a different max for each type of settlement.",
Max reputation a settlement can give/remove in total per day.,
Max reputation a settlement can give/remove to a single target per day.,
Max reputation a settlement can give/remove to a single target in aggregate.,
Min reputation a settlement can give/remove to a single target in aggregate.,
"The min value of the range is 'at this many neighboring plots or lower, the culture is weighted to 0', and max value of the range is 'at this many neighboring plots or lower, the culture is weighted to 100'. Values between are interpolated from 0 - 100.",
"Defines what percent of citizens a source settlement must have more than, relative to a target settlement in order to annex (1 means 'same number', .5 means 'half')",
"When an annexation happens, the resources used in the anneaxtion will have this percent destroyed, with the rest given to the non-abandoned citizens of the target of the annex.  These are wasted resources due to forcing an action rather than coming to an agreement. 1 means destroy everything, .5 means destroy half, 0 means destroy none.",
The resources that must be collected to annext with the given source,
"After a settlement of the given type is annexed, it cannot secede until this many days have passed.",
Boost in culture for target of annexation that has an unfounded parent settlement (like a homestead trying to start a town).,
"Boost in culture for target of annexation that has an unfounded parent settlement, per citizen past the first one.",
"Boost in culture for target of annexation that has an unfounded parent settlement, per child settlement past the first one.",
"Set a culture-boost to lowest tier settlement at position, or specified position.  If null is passed, will take the lowest-tier settlement the user is a citizen of, or an arbitrary settlement if they are not a citizen of any.",
Citizens Of These Settlements May Expand Claims Within Our Influence,
Specific Citizens That May Expand Claims Within Our Influence,
Settlements listed here may claim plots that are currently influenced by the assigned jurisidction.,
Citizens listed here may claim plots that are currently influenced by the assigned jurisidction.,
Determines who can claim within our influence.,
Border Control,
Block Children Settlements From Influencing Property,
"If set, then children settlements of this settlement will not influence the given property. This can be used to make 'federal land' where town laws do not apply, even if the town would otherwise influence the area.",
Allows child settlement influence to be blocked on a property.,
Admin Mode: Settlement Must Have Children,
"When set, the settlement will be unplaced when it lacks children settlements (or when it lacks citizens, if it cannot have children settlements).",
"Citizens entering the world will be able to view this on map as they select their initial spawn point. Write a brief description of your town, how you want to run it, and why it would be a good place to join (can only be edited by Citizens with Diplomatic Privilege in this settlement).",
First Time Joining,
Direct Citizen,
Become Citizen,
Is this the first time they're becoming a citizn of this settlement (direct or indirect)?,
"Is the citizen becoming a direct citizen, or are they becoming a citizen of a child settlement?",
The person becoming a citizen.,
The settlement they became a direct citizen of.,
Triggered when citizenship is gained.,
First Time Leaving,
Leave Citizenship,
Is this the first time they're leaving as a citizn of this settlement (direct or indirect)?,
The settlement they left direct citizenship of.,
Triggered when citizenship is lost.,
The type of settlment to query.,
Provides the settlement influencing the given location.,
Settlement Influences Position,
The settlement to check.,
The location to check.,
Determines if a given settlement influences the given position.,
Settlement Type Influences Position,
The settlement type to check.,
Determines if a settlement of a given type influences a position.,
Settlement Influencing Position,
The type of settlement to query.,
Determines the settlement of the given type influencing the given location.,
Citizenship Time In Hours,
The settlement to test.,
Measure of how long a Citizen has been a member of a settlement.,
House Points Multiplier Per Residents Count,
Multiplier of room per resident count. Could be used to incentive the shared residencies at certain number of residents.,
turnon,
Turn on (default) or objects in a radiue.,
removedeed,
Remove given deed or here currently standing if none specified.,
Allow Property Changes,
"If checked, the owner of this deed may claim/unclaim plots on the deed while you're a resident.",
fe,
A versatile and eye grabbing pair of shorts that are quick to dry in all situations.,
Boat Captain Shorts,
A comfy yet stylish shirt to commemorate the launch of the boat update.,
Boat Captain Shirt,
A captains hat to commemorate the launch of the boat update.,
Boat Captain Hat,
Appropriate for all occasions.,
Boat Captain Flip Flops,
A stylish pair of sunglasses to protect your eyes from the glare of the sea.,
Boat Captain Glasses,
A mounted jaw from a mighty catch!,
Shark Jaws,
The customer bank account.,
Settlement issuing the tax.,
A citizen logged in for the first time. This action triggers laws for all settlements on the server.,
The deed taking the rent payment.,
Max Givable Rep Per Day,
Max Givable Rep Per Day Per Target,
Amount Of Positive Reputation To Give In Order To Earn Reputation Reward,
Speaking Well Of Others Reward,
Max reputation that can be given to another player or artwork by one person.,
"Max amount of reputation, either positive or negative, that can be given to a single target in a 24 hour period.",
"If a citizen gives this much or more positive reputation within a single day, they will get bonus positive reputation themselves.",
"If a citizen gives the certain amount of positive reputation in a day, they will be rewarded with this much positive reputation added to them.",
payall,
Pay all current outstanding rents and wages.,
"Allows setting this object for sale, so other citizens can buy it.",
Distributes items to new citizens of a settlement.,
Who Can Start Elections,
Who can start elections of this type?,
Has Property Privileges,
"If this is true, elections can start before the end of the office holder's term, allowing only on the last hours of their term (when that amount is less than the hours an election takes, + 4 for a margin).",
"Allows title holders to use Embassy Desk objects to determine cultural influence and annex other settlements, as well as set the new-citizen message.",
"Allows title holders to block child settlement influence on claim stakes from this settlements. This allows creation of 'federal land' where town laws do not apply, for example.",
whitelistdemographic,
whitelistdem,
Force a given citizen to always be a member of a given demographic even if they dont match the conditions.,
makeabandoned,
Force a given citizen to be in the abandoned demographic (self if none passed).,
makeactive,
Force a given citizen to be in the active demographic (self if none passed).,
The owner to assign the property. Leave blank to remove the owner and unclaim the property.,
Change the owners of a set of property. May only target deeds within jurisdication.,
Send a notice in the world news panel upon grant.,
"Change the reputation for a user, given from the settlement issuing the law (Settlements have a limit of reputation they can give, shown in ecopedia settings).",
The settlement registering the custom stat we're looking for.,
Display Result To Citizen,
"If set, the stat recording will appear in an infobox displayed briefly on the screen when triggered by a citizen.",
Record a custom stat of your choosing. Will be stored under the settlement that runs this law's stat folder.,
Pay From Government Account,
Recipients,
The account to send the funds from. Must specify a government account in the same jurisdiction.,
The citizens that will be receiving the money.,
Targets,
Pay Into Government Account,
The citizens that will be getting taxed.,
The bank account where the tax will be placed. Must specify a government account in the same jurisdiction.,
Holdings of this bank account will be used to perform the transfer. May only take from bank accounts associated with the same settlement (or child) of the jurisdiction.,
Start Candidate Election,
The election process that conducts the poll.,
Display to client layered catch data.,
Count Of Last Reports To Save,
Monitor Stability,
Count of reports to be saved and exposed via api. Reports are generated each minute. 0 to not save any history.,
"Monitors the overall network stability, making all clients send RPC request once in 10 seconds to measure response time. Could be expensive.",
Faith Reset Value,
"If false, the paramters for giving stakes and claims below will be ignored if settlements are enabled.  If true, you will get claims and stakes even on level-up even when settlements are enabled.",
Give Stakes And Claims Even When Settlements Are Enabled,
"How many claim stakes, if any, are granted to a player upon level-up.",
"How many claim papers, if any, are granted to a player upon level-up.",
Government Transfer,
Not First Time,
Lowest Settlement,
Highest Settlement,
makeAllActive,
raidus,
demo,
Toggle Lights,
The paint is still fresh! wait a moment before painting again.,
Reference captured! Go to the Easel to start painting,
Camera mode closed. You moved too far from the easel,
Nothing to catch around {0}.,
{0} caught {1} of {2}.,
{0} trying to catch at {1}:,
Spawns Housing industrial items,
Spawns Housing cultural items,
Spawns Housing seating items,
Spawns Housing main room items,
{0}: Failed to build a valid route in test {1} (indexing starts at 0) from {2} to {3}. This might be good or bad depending on whether you expect {4} to be able to complete this test.,
{0}: Failed to build a valid route from {1} to {2}.,
Species with name {0} not found.,
Can't spawn an animal at position {0}.,
Destroied {0} rubble objects in world.,
Give All '{0}',
Get into a vehicle before calling this command.,
Spawns animals and sets target positions for them to test animal movement. Requires special testing area to be present.,
"Spawns an animal and makes it run between predefined points, interrupting it's path with a new one each time. Requires special testing area to be present.",
"Spawns an animal and makes it run between two points, following a path that causes it to cross all world borders. Requires special testing area to be present.",
Spawns special area for testing animal movement. This command is not fully implemented yet.,
Total Culture: {0},
{0} generating influence:,
No properties providing influence in this settlement.,
Base influence: +{0},
{0} for {1} at {2},
Total: +{0} for {1} at {2},
The first requirement to annex a settlement is to surround it with {0}.,
surrounding influence must exceed {0} of the target's borders.,
"{0} currently has {1} of influence surrounding {2}'s influence, out of a possible {3}, yielding {4}.",
"Note: Having more than the minimum influence surrounding the neighbor's influence will allow more culture to count towards annexation. When {0} of influence is surrounded, culture will count at {1}.",
"Once a settlement has enough surronding influence of a target it wants to annex, it must then exceed its culture by a given amount.  The amount of culture that is counted towards annexing depends on {0} the target is.",
"That culture value must match or exceed the target {0}'s culture ({1}) by {2} and at least {3} absolute (whichever is higher). In this case, that value is {4}.",
{0} is {1} easier to annex because of {2}.,
"{0}'s weighted value of {1} {2} more than {3}, so {4} {5} meeting cultural requirements to annex.",
"Target has an enabled, unfounded {0} it's a member of, increasing the difficulty to annex by {1}.",
"{0} already has {1} citizens, increasing difficulty by an additional  {2}.",
"{0} already has {1} child settlements, increasing difficulty by an additional {2}.",
influenced plots,
Unfounded Parent Difficulty Boost:,
{0} Must have {1} of the target's {2} citizen population (current:{3} needed:{4}).,
abandoned deed,
Transfer {0} {1} from {2} to into {3} {4},
{0} legal transfer,
{0} transferred {1} from {2} to {3}.,
Tax {0} {1} {2} into {3} {4},
{0} Tax,
{0} {1} you {2},
"{0} attempted to {1} you {2}, remaining {3} was {4} instead.",
"{0} attempted to {1} you {2}, none was available.",
{0} attempted to tax you but had no jurisdiction to do so.,
paid,
Pay {0} {1} {2} from {3} {4},
{0} Payment,
Executive Action in {0} by {1},
Invalid source account: {0},
{0} isn't a government account and may not receive tax revenue.,
{0} is not associated with a settlement and cannot be the destination of tax revenue.,
{0} is associated with {1} but must be associated with {2} or a parent to receive tax from this source.,
past 24 hours,
You are not authorized to access to: {0},
Error while starting face tracking: process cannot be started.,
Occupancy Multipliers:,
A citizen may only grant a single target up to {0} reputation per day.,
Mountable,
Large Door,
Minable Rubble,
Sweet Jerky,
Refine Heart Of Palm,
Geology Research Paper Modern Glass,
Dry Meat,
Dry Fish,
Charcoal Steel,فحم صلب
Preserved Food,
Docks Ramps Corner Inverted,
Docks Pillar Beam X Intersection,
Docks Pillar Beam T Intersection,
Docks Pillar Beam Corner Intersection,
Docks Fence T Intersection,
Docks Fence Solo Block,
Docks Fence Middle Section,
Docks Fence Intersection,
Docks Fence End Double,
Docks Fence End Cap,
Docks Fence Corner,
{0} details,
You {0} a citizen of this settlement.,
Online Citizens: {0},
Parent Settlement:,
Children Settlements:,
Right click to view the picture,
Click to open election in browser.,
Click to send a private message.,
Click to open settings window.,
Click to view in the skill window.,
Items for Sale,
Items Wanted,
Other Influencing Settlements:,
Base Influence Radius From Foundation:,
Cultural Influence Radius:,
Total Influence:,
Associated Settlement: {0},
Citizens with Achievement,
Achieved on {0}:,
Not yet achieved.,
Progress: {0} / {1},
Processing {0},
Updated influence for {0},
Paid {0} {1} ({2}) {3}.,
"Paid {0} {1} (only {2} paid, {3} remains unpaid) to {4}.",
Paid {0} {1} ({2}) to {3}.,
Speaking Well of Others Bonus,
Opinions:,
Positive Reputation Only:,
{0}You have lost your access to {1}.,
{0}: Increased stat '{1}' for {2} by {3}. Total: {4},
{0}: Increased stat '{1}' by {2}. Total: {3},
Couldn't give full amount of {0}. {1}.,
Invalid citizen for reputation grant: {0},
Total given to {0}: {1},
Total given to {0} today: {1},
Total given to any target today: {0},
Reputation Limits for {0},
Ignored {0}: Not influenced by {1}.,
Ignored {0}: Cannot remove settlement foundations (settlements must be dissolved to unclaim).,
Ignored {0} because they are already owned by {1}.,
{0}{1} changed to owner {2},
{0}{1} removed.,
Individual votes are anonymous and not available.,
"Poll has concluded, all ties are considered winners",
Must select an election process.,
You need to add a Picture item or browse an image from your computer to create a copy,
Turns this object on or off.,
Do you wish to create a new {0} in {1}?,
Twitch account {0} is linked.,
No twitch account is linked.,
Not logged in to Strange Loop servers.,
Not connected to a game server.,
Twitch Status:,
Twitch streaming {0} on currently connected game server.,
Link,
To complete your Twitch linking process you will need to disconnect from the current server and reconnect.,
Enter staging website credentials. Should be in the format of username:password,
Warning: This box will not hide the password,
Failed to parse id for an image. Please check a tooltip part content in: {0}.,
Failed to find a texture for id: {0}. Please check a tooltip part content in: {1}.,
Total: {0} {1},
"Tax: {0} {1} and {2} {3} in tax, leaving you with {4} {5}.",
{0} {1} Tax: {2},
Total: {0} Tax: {1},
Changes made to your avatar will not be applied to servers you have already joined.,
You are starving! Can't work anymore.,
{0:00.#}m,
Failed to initialize the external platform.,
"This unclaimed plot is under the direct inluence of the {0}, of which you are an undirect citizen.",
Cannot place here: you aren't a direct citizen of the {0} which does not allow gaining direct citizenship upon placing a homestead.,
This plot is not influenced and cannot be claimed.,
"This plot is influenced by {0}, which you have special permission to claim within.",
Note: A settlement can give special permission to allow non-citizens to claim in its influence at an Embassy Desk.,
"Upon placing your homestead here, you will become a direct citizen of the {1}.",
Calibration complete!\r\nNow look at the center of the screen and press the Confirm button on the right,
Facetracking calibration cancelled...,
Can't pick up while {0} uses the object.,
Picture added to your inventory.,
Union,
{0} residents : {1} {2} Current Crowd Factor,
{0} residents : {1},
All other amounts: {0},
Each resident receives,
Number of Residents,
Crowding Factor,
"The Crowding Factor represents the how much the extra residents impact the house value.  For example, a single roommate is much more comfortable than 100 roommates.  This value is determined as follows:",
Positive reputation from Citizens of foreign settlements counts more than from Citizens of {0},
An artwork's {0} value is determined by the positive reputation of both the work and the artist. Negative reputation is ignored.,
Base Positive {0}: {1},
Toll at {0},
This will also claim some of the surrounding plots if available.,
Failed to sync election (Id: {0}) to Twitch. Election process is not defined.,
Can't load file for usertexture: {0}. Exception: {1},
"{0} had unassigned children settlements, fixed.",
Must specify settlement.,
No settlements found at current position.,
{0} had culture boost set to {1}.,
Missing settlement.,
You must set an advertisement for new people entering the world before you may found this settlement.,
"Settlement foundations cannot be picked up once founded. They can be moved, or they can be dissolved via civic action.",
No remaining children settlement.,
No remaining citizens.,
Official Settlement Picture,
No Settlement picture yet.,
Missing associated settlement (deleted).,
This property designated to block all influence from children settlements.,
Currently locked to child {0} and property claimed will be under its influence.,
Only a citizen holding an elected title within {0} that provides 'Property Privileges' is allowed to change this value.,
Lower tier settlements will no longer influence {0}.,
Lower tier settlements will once again influence {0}.,
Missing deed for homestead.,
Your homestead was removed from the world.,
May only select deeds on {0} claim stakes which do not have a settlement foundation.,
Border Control for {0}.,
A list of nearby {0} and lower settlements without parents that {1} has progress towards annexing.,
A list of nearby {0} settlements without parents that {1} has progress towards annexing.,
"If you place your homestead here you will loose direct citizenship of {0} and gain direct citizenship of {1}, do you want to proceed?",
{0} influences {1},
any settlement influences {0},
any {0} influences {1},
the {0} influencing {1},
the number of hours {0} has been a citizen of {1},
{0} is not influenced by any {1}.,
No settlements influnce {0},
Cannot perform an annex unless you have diplomatic priviliges in the annexing settlement.,
"All users in annexation target are {0}, so no resources spent.",
"Unable to consume needed resources, annex not performed.",
Paying annexation cost of {0}.,
{0} was paid {1},
"You've received {0} from the annexation of {1}, in your Void Storage.",
Items wasted: {0},
Annexation of {0} payment from {1},
"{0} {1} annex {2} surrounded, {3} needed culture.",
More details,
Unlocked while offline.,
You do not have permissions to do that.,
Can only accept approved pictures.,
Occupancy Bonus: {0} ({1} residents),
Housing Value with Multiple Residents,
Escrow for {0},
Refund for {0},
Payment for {0},
Must transfer positive amount.,
"No currency avilable, continuing without payment.",
Only {0} of needed {1} was available.,
{0} paid {1} to {2}.,
{0} with {1} in tax,
"{0} doesn't have {1}, needed for {2}.",
{0}-{1}% fresh,
{0}-{1}% durable,
Settlement: {0},
- Total given today: {0} ({1} max),
- Total given to {0} today: {1} ({2} max),
- Total given to {0} in aggregate: {1} (must stay between {2} and {3}).,
You may not give reputation to {0} at this time.,
You may now give between {0} and {1} reputation to {2}.,
You received a bonus of {0} reputation for speaking well of others!,
{0} gave you {1} reputation.{2},
{0} gave {1} {2} reputation.{3},
{0} reputation applied to {1}.,
New day: Reputation replenished for all citizens.,
Gave {0} reputation to {1}.,
Givable reputation per day: {0},
