English,Dutch
Enable to have avatar look directly at the camera,Enable to have avatar look directly at the camera
Expressions,Expressies
Expand expression selection,Expand expression selection
Randomize,Randomize
Randomize your avatar's appearance,Randomize your avatar's appearance
"Level of Details determines how good environment (like trees, grass, leaves, etc.) looks in game and how far it is visible.\nAlso affects small animals.\n\nPerformance impact: High","Level of Details determines how good environment (like trees, grass, leaves, etc.) looks in game and how far it is visible.\nAlso affects small animals.\n\nPerformance impact: High"
FoV Control,FoV Control
Drag this roulette (or use the scroll wheel) to zoom in or out,Drag this roulette (or use the scroll wheel) to zoom in or out
Film indicator,Film indicator
Displays how many of the items required for the photo do you have. The item required may change depending on the Camera,Displays how many of the items required for the photo do you have. The item required may change depending on the Camera
Aspect Ratio controller,Aspect Ratio controller
Click to move to the next aspect ratio available. Advanced cameras may include more options,Click to move to the next aspect ratio available. Advanced cameras may include more options
Styles,Stijlen
Click to move to the next style for the painting,Click to move to the next style for the painting
Timer,Timer
Once enable you will have time to move before the photo is taken,Once enable you will have time to move before the photo is taken
Place the  Picture ,Place the  Picture 
Create a Picture Item based on this photo,Create a Picture Item based on this photo
DoF Control,DoF Control
Drag this roulette (or use shift + scroll wheel) to change the Depth of Field distance. Can be used to blur the background.,Drag this roulette (or use shift + scroll wheel) to change the Depth of Field distance. Can be used to blur the background.
Show in explorer,Show in explorer
Copy the path where the photos have been stored,Copy the path where the photos have been stored
Autosave,Autosave
Each photo (unless discarded) is stored as a picture item.,Each photo (unless discarded) is stored as a picture item.
Discard,Discard
Do Not create a picture item based on this photo. Even when discarded a copy of the picture will be saved on your computer,Do Not create a picture item based on this photo. Even when discarded a copy of the picture will be saved on your computer
Won't create a pictureItem based on this photo,Won't create a pictureItem based on this photo
"Remove this element immediately if you have executive priviliges, or start an election to remove it if you have election priviliges.","Remove this element immediately if you have executive priviliges, or start an election to remove it if you have election priviliges."
Flash control,Flash control
Enable / Disable the Flash light when taking a photo,Enable / Disable the Flash light when taking a photo
Reputation to Give:,Reputation to Give:
Tax: $200,Tax: $200
To print your chosen image onto a paper you need to put paper in the slot above and click this button.,To print your chosen image onto a paper you need to put paper in the slot above and click this button.
Texture Review Panel,Texture Review Panel
You need art supplies to paint,You need art supplies to paint
Settlements View,Settlements View
Surrounding Influence Progress:,Surrounding Influence Progress:
Surrounding Requirement:,Surrounding Requirement:
Twitch\n,Twitch\n
"Say Cheese!\n\nSet your avatar portrait here.\n\nThis is how you will appear for other players on the map and various UIs.\n\nYou can set the angle and expression of your avatar, as well as choose from various borders and their colors.","Say Cheese!\n\nSet your avatar portrait here.\n\nThis is how you will appear for other players on the map and various UIs.\n\nYou can set the angle and expression of your avatar, as well as choose from various borders and their colors."
Allow Property Changes While Renting,Allow Property Changes While Renting
"If checked, the owner of this deed may claim/unclaim plots on the deed while you're a resident.\nNote: Can only be changed when there are no residents.","If checked, the owner of this deed may claim/unclaim plots on the deed while you're a resident.\nNote: Can only be changed when there are no residents."
Total Cost:,Total Cost:
Max total days as citizen to be eligible:,Max total days as citizen to be eligible:
Resource Requirement:,Resource Requirement:
Resource Requirements,Resource Requirements
"The resources shown must exist in storage attached to an Embassy Desk that is assigned to the Settlement's jurisdiction.  They must be accessible to the leader of the Settlement.\n\nUpon annexation, a percent of these will be given to the other party, and the rest destroyed as the cost of the annexation.\n\nIf all citizens of a target are 'Abandoned', no resources are needed.","The resources shown must exist in storage attached to an Embassy Desk that is assigned to the Settlement's jurisdiction.  They must be accessible to the leader of the Settlement.\n\nUpon annexation, a percent of these will be given to the other party, and the rest destroyed as the cost of the annexation.\n\nIf all citizens of a target are 'Abandoned', no resources are needed."
Must have more citizens.,Must have more citizens.
Active Citizens Requirement:,Active Citizens Requirement:
Browse file,Browse file
Durability,Duurzaamheid
No requirements,No requirements
Crafting Queue Quantity,Crafting Queue Quantity
Retroactive Experience Rate,Retroactive Experience Rate
Sets the quantity of work order queues that can be set on each workstation,Sets the quantity of work order queues that can be set on each workstation
Enables players that join later to earn experience based on the experience rate over days since start 0 indicates off and 12 is the base rate on high collaboration as example.,Enables players that join later to earn experience based on the experience rate over days since start 0 indicates off and 12 is the base rate on high collaboration as example.
Settlement Enabled,Settlement Enabled
Exhaustion Time Enabled,Exhaustion Time Enabled
Is the settlement system being used?,Is the settlement system being used?
"Restrict hours a user can play per day. After their allotted time, they can still play but not expend calories with work.","Restrict hours a user can play per day. After their allotted time, they can still play but not expend calories with work."
Time Exhaustion,Time Exhaustion
Refresh Local Hours,Refresh Local Hours
Refresh Local Minutes,Refresh Local Minutes
Local Time,Lokale tijd
Local Refresh Time,Local Refresh Time
UTC Time,UTC Time
UTC Refresh Time,UTC Refresh Time
Refreshes in:,Hernieuwt in:
Hours to be gained at current refresh,Hours to be gained at current refresh
Monday Exhaustion Refresh Hours,Monday Exhaustion Refresh Hours
Tuesday Exhaustion Refresh Hours,Tuesday Exhaustion Refresh Hours
Wednesday Exhaustion Refresh Hours,Wednesday Exhaustion Refresh Hours
Thursday Exhaustion Refresh Hours,Thursday Exhaustion Refresh Hours
Friday Exhaustion Refresh Hours,Friday Exhaustion Refresh Hours
Saturday Exhaustion Refresh Hours,Saturday Exhaustion Refresh Hours
Sunday Exhaustion Refresh Hours,Sunday Exhaustion Refresh Hours
Allow Playtime Saving,Allow Playtime Saving
Max Saved Hours,Max Saved Hours
Allow Exhaustion Pause On Rest,Allow Exhaustion Pause On Rest
Bonus Hours On Exhaustion Enabled,Bonus Hours On Exhaustion Enabled
Bonus Retroactive Hours After Start,Bonus Retroactive Hours After Start
Hours Gain Per Weekday,Hours Gain Per Weekday
Daily Gain Hours Today,Daily Gain Hours Today
Max Total Hours Today,Max Total Hours Today
Time Until Refresh,Time Until Refresh
Current Refresh,Current Refresh
Value for {0} must be between {1} and {2}.,Value for {0} must be between {1} and {2}.
Defines local hours to refresh daily playtime hours (0 to 23 hours),Defines local hours to refresh daily playtime hours (0 to 23 hours)
1. Time,1. Tijd
Defines local minutes to refresh daily playtime hours (0 to 59 minutes),Defines local minutes to refresh daily playtime hours (0 to 59 minutes)
Displays server local time,Displays server local time
Displays server local refresh time,Displays server local refresh time
Displays UTC time of server,Displays UTC time of server
Displays UTC time to refresh daily gain hours for playtime.,Displays UTC time to refresh daily gain hours for playtime.
Refresh in hours as countdown,Refresh in hours as countdown
"At the exhaustion refresh time, each citizen's exhaustion time will be reset to this value.","At the exhaustion refresh time, each citizen's exhaustion time will be reset to this value."
The amount of hours of exhaustion time given to a user when a refresh happens on this day of the week.,The amount of hours of exhaustion time given to a user when a refresh happens on this day of the week.
2. Day Playtime,2. Day Playtime
"If enabled, when exhaustion refresh happens any unused time will be added to a time bank which can be used on subsequent days. This is capped at the property below.","If enabled, when exhaustion refresh happens any unused time will be added to a time bank which can be used on subsequent days. This is capped at the property below."
3. Playtime Saving,3. Playtime Saving
Maximum saved hours players can store. This limits how much playtime player can save up.,Maximum saved hours players can store. This limits how much playtime player can save up.
Pause exhaustion countdown when player sits in furniture or is sleeping and resumes when getting up.,Pause exhaustion countdown when player sits in furniture or is sleeping and resumes when getting up.
Extra playtime hours for players when Exhaustion is first enabled.,Extra playtime hours for players when Exhaustion is first enabled.
"Allow bonus retroactive playtime for player when joining after first game day. So, player can receive as much time as if playing from start.","Allow bonus retroactive playtime for player when joining after first game day. So, player can receive as much time as if playing from start."
"This determines if the specific vehicle is affected by exhaustion limitations or not, true means it cannot be used when exhausted.","This determines if the specific vehicle is affected by exhaustion limitations or not, true means it cannot be used when exhausted."
4. Limitations,4. Limitations
forcerenouncecitizenship,forcerenouncecitizenship
nocit,nocit
Make someone leave citizenship of whatever settlement you they are a citizen of. Pass target or perform on self if not set.,Make someone leave citizenship of whatever settlement you they are a citizen of. Pass target or perform on self if not set.
allowadminannex,allowadminannex
freeannex,freeannex
Toggles the ability for admins to annex properties even if the requirements are not met.,Toggles the ability for admins to annex properties even if the requirements are not met.
resettle,resettle
"Resets any invalid entries in a settlement to a new default.  If true is passed, reset everything, regardless of validity.","Resets any invalid entries in a settlement to a new default.  If true is passed, reset everything, regardless of validity."
Settlement Claims Per Citizen,Settlement Claims Per Citizen
Settlement Claims Per Abandoned Citizen,Settlement Claims Per Abandoned Citizen
Homestead Support Claims Per Citizen,Homestead Support Claims Per Citizen
Homestead Support Claims Per Abandoned Citizen,Homestead Support Claims Per Abandoned Citizen
Claim Stakes Per Citizen,Claim Stakes Per Citizen
Culture Deed Link Percent Requirement,Culture Deed Link Percent Requirement
Scale Influence Based On World Size,Scale Influence Based On World Size
Base Influence Radius Foundation Movement Allowed After Founding,Base Influence Radius Foundation Movement Allowed After Founding
Current World Size Multiplier,Current World Size Multiplier
Hours Before Invalidating Culture Deed,Hours Before Invalidating Culture Deed
May Annex Same Level,May Annex Same Level
May Annex Sub Settlements,May Annex Sub Settlements
Annexation Resource Requirement Per Citizen,Annexation Resource Requirement Per Citizen
Extra Settlement Papers To Annex Per Citizen,Extra Settlement Papers To Annex Per Citizen
"Support claims (usable only at homesteads with no settlement), made available on the settlement marker at each level of settlement. Defined per settlement type.","Support claims (usable only at homesteads with no settlement), made available on the settlement marker at each level of settlement. Defined per settlement type."
If the influence source position of a cultural deed is not within OtherDeedInfluenceRadius + (this * OtherDeedInfluenceRadius) then the deed will lose its influence (you must link properties together to cast influence).,If the influence source position of a cultural deed is not within OtherDeedInfluenceRadius + (this * OtherDeedInfluenceRadius) then the deed will lose its influence (you must link properties together to cast influence).
"When set, the values for influence will be scaled based on the size of the world. At 100x100 chunks they'll be the same, and if larger or smaller they will be scaled to keep the same percentage size.","When set, the values for influence will be scaled based on the size of the world. At 100x100 chunks they'll be the same, and if larger or smaller they will be scaled to keep the same percentage size."
This will determine how far the player can move the settlement foundation away from its founding position depending on the base influence of the settlement. Note that this will also be affected by the settlement influence multiplier,This will determine how far the player can move the settlement foundation away from its founding position depending on the base influence of the settlement. Note that this will also be affected by the settlement influence multiplier
Current World Size multiplier.,Current World Size multiplier.
"Maps culture (which can climb to infinity) to influence, which can have a different max for each type of settlement.  This will be scaled by world size, if Influence Scaling is enabled in the config.","Maps culture (which can climb to infinity) to influence, which can have a different max for each type of settlement.  This will be scaled by world size, if Influence Scaling is enabled in the config."
This will determine how long a cultural deed will take when its claim stake is far away from another valid influence before its influence gets disabled.,This will determine how long a cultural deed will take when its claim stake is far away from another valid influence before its influence gets disabled.
Can a settlement annex other settlements at the same level? Or does one have to be higher? Note: top-level settlement can always annex other top-levels.,Can a settlement annex other settlements at the same level? Or does one have to be higher? Note: top-level settlement can always annex other top-levels.
"If set, sub-settlements can be captured out of a main settlement.","If set, sub-settlements can be captured out of a main settlement."
"Extra settlement papers that must be given to the annex target.  Each entry represents the level of target (homestead, town, etc)","Extra settlement papers that must be given to the annex target.  Each entry represents the level of target (homestead, town, etc)"
Allow Any Unaffiliated Homestead Deed To Expand Within Our Influence,Allow Any Unaffiliated Homestead Deed To Expand Within Our Influence
"When this is toggled, only unaffiliated homesteads will be allowed to expand into our settlement influence.","When this is toggled, only unaffiliated homesteads will be allowed to expand into our settlement influence."
Place this to begin claiming property onto a deed. Does not require any settlement,Place this to begin claiming property onto a deed. Does not require any settlement
Place this to start a new claim outside of any settlement.,Place this to start a new claim outside of any settlement.
Citizenship Type,Citizenship Type
The person has direct citizenship or can be in a children settlements.,The person has direct citizenship or can be in a children settlements.
Allow Plots Unclaiming,Allow Plots Unclaiming
"If checked, the owner of this deed may unclaim plots on the deed while you're a resident.","If checked, the owner of this deed may unclaim plots on the deed while you're a resident."
defaultexhaust,defaultexhaust
"Set exhaustion data to default, as if fresh start. It will allow first time bonuses again","Set exhaustion data to default, as if fresh start. It will allow first time bonuses again"
setlastrefreshday,setlastrefreshday
givelastrefreshday,givelastrefreshday
Change last refresh day from target by days (positive to add and negative to remove) ,Change last refresh day from target by days (positive to add and negative to remove) 
Percent of Server Occupancy Required Before Enforcing Inactivity Kicking (0 - 100). Use zero if you want that the server disconnects players based only on the inactivity time. (Default Slots have to be set).,Percent of Server Occupancy Required Before Enforcing Inactivity Kicking (0 - 100). Use zero if you want that the server disconnects players based only on the inactivity time. (Default Slots have to be set).
Papers that can support homesteads outside of a settlement. Trade with lone homesteaders for their goods and services.,Papers that can support homesteads outside of a settlement. Trade with lone homesteaders for their goods and services.
Homestead Support Claim Paper,Homestead Support Claim Paper
A tricorne pirates hat.,A tricorne pirates hat.
Pirate Hat,Piratenhoed
A traditional Sombrero.,A traditional Sombrero.
Sombrero,Sombrero
A fine leather hat.,A fine leather hat.
Cowboy Hat,Cowboyhoed
"A backpack full of odds and ends, bits and bobs, that sort of thing.","A backpack full of odds and ends, bits and bobs, that sort of thing."
Treasure Backpack,Avonturenrugzak
Clock in for the late shift,Clock in for the late shift
Punch Card Time Clock,Punch Card Time Clock
Stylish headwear from that Twitch guy,Stylish headwear from that Twitch guy
ChocoTaco Cap,ChocoTaco Cap
Interaction,Interactie
"A citizen changed the managers or the users of a bank account.  Only triggers laws from settlements that the Citizen is a part of, or settlements (and their parents) holding the bank account.","A citizen changed the managers or the users of a bank account.  Only triggers laws from settlements that the Citizen is a part of, or settlements (and their parents) holding the bank account."
A citizen either fit or ceased to fit the criteria for a demographic.  Only triggers laws from settlements that the Citizen is a part of.,A citizen either fit or ceased to fit the criteria for a demographic.  Only triggers laws from settlements that the Citizen is a part of.
A citizen transferred property influenced by the settlement. Only triggers laws on settlements influencing the deed.,A citizen transferred property influenced by the settlement. Only triggers laws on settlements influencing the deed.
The deed being claimed to or unclaimed from.,The deed being claimed to or unclaimed from.
A citizen claimed or unclaimed property.  Only triggers laws on settlements influencing the deed.,A citizen claimed or unclaimed property.  Only triggers laws on settlements influencing the deed.
The deed residency was changed in.,The deed residency was changed in.
"A citizen became a resident of a property, or left residency of a property. Only triggers laws on settlements influencing the deed.","A citizen became a resident of a property, or left residency of a property. Only triggers laws on settlements influencing the deed."
"A citizen transfered money.  Triggers laws on settlements that the Citizen is a part of, as well as settlements (and their parent settlements) owning either bank account.","A citizen transfered money.  Triggers laws on settlements that the Citizen is a part of, as well as settlements (and their parent settlements) owning either bank account."
"A citizen paid tax. Triggers laws on settlements that the Citizen is a part of, as well as settlements (and their parent settlements) owning either bank account.","A citizen paid tax. Triggers laws on settlements that the Citizen is a part of, as well as settlements (and their parent settlements) owning either bank account."
"A citizen received allocated government money. Triggers laws on settlements that the Citizen is a part of, as well as settlements (and their parent settlements) owning either bank account.","A citizen received allocated government money. Triggers laws on settlements that the Citizen is a part of, as well as settlements (and their parent settlements) owning either bank account."
"A citizen voted in an election.  Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election.","A citizen voted in an election.  Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election."
"A citizen started an election. Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election.","A citizen started an election. Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election."
"A citizen entered or left an election as a candidate. Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election.","A citizen entered or left an election as a candidate. Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election."
"A citizen won an election. Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election.","A citizen won an election. Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election."
"A citizen lost an election. Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election.","A citizen lost an election. Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election."
"A citizen could have voted, but didn't (in an election that ended successfully). Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election.","A citizen could have voted, but didn't (in an election that ended successfully). Triggers laws on settlements that the Citizen is a part of, as well as the settlement (and its parents) hosting the election."
A citizen transferred reputation to another citizen. Triggers laws on settlements that either Citizen is a part of.,A citizen transferred reputation to another citizen. Triggers laws on settlements that either Citizen is a part of.
A citizen took a new specialty. Triggers laws on settlements that the Citizen is a part of.,A citizen took a new specialty. Triggers laws on settlements that the Citizen is a part of.
A citizen lost a specialty. Triggers laws on settlements that the Citizen is a part of.,A citizen lost a specialty. Triggers laws on settlements that the Citizen is a part of.
A citizen took a specialty in a profession they don't have yet. Triggers laws on settlements that the Citizen is a part of.,A citizen took a specialty in a profession they don't have yet. Triggers laws on settlements that the Citizen is a part of.
A citizen leveled-up a specialty. Triggers laws on settlements that the Citizen is a part of.,A citizen leveled-up a specialty. Triggers laws on settlements that the Citizen is a part of.
"A citizen leveled-up their character, gaining a new specialty to choose. Triggers laws on settlements that the Citizen is a part of.","A citizen leveled-up their character, gaining a new specialty to choose. Triggers laws on settlements that the Citizen is a part of."
Fertilize Action,Fertilize Action
A citizen used fertilizer.,A citizen used fertilizer.
A citizen planted a plant.  Triggers laws on settlements influencing the location performed.,A citizen planted a plant.  Triggers laws on settlements influencing the location performed.
"Destruction of a plant or animal, possibly yielding resources. Triggers laws on settlements influencing the location performed.","Destruction of a plant or animal, possibly yielding resources. Triggers laws on settlements influencing the location performed."
A citizen chopped a tree. Triggers laws on settlements influencing the location performed.,A citizen chopped a tree. Triggers laws on settlements influencing the location performed.
A citizen chopped a stump. Triggers laws on settlements influencing the location performed.,A citizen chopped a stump. Triggers laws on settlements influencing the location performed.
A citizen removed debris from felling a tree. Triggers laws on settlements influencing the location performed.,A citizen removed debris from felling a tree. Triggers laws on settlements influencing the location performed.
A citizen felled a tree and created debris. Triggers laws on settlements influencing the location performed.,A citizen felled a tree and created debris. Triggers laws on settlements influencing the location performed.
A citizen added to a work order. Triggers laws on settlements that the Citizen is a part of.,A citizen added to a work order. Triggers laws on settlements that the Citizen is a part of.
A work order was created. Triggers laws on settlements that the Citizen is a part of.,A work order was created. Triggers laws on settlements that the Citizen is a part of.
A single item crafted from a completed work order. Triggers laws on settlements influencing the location performed.,A single item crafted from a completed work order. Triggers laws on settlements influencing the location performed.
A citizen performed labor to a work order. Triggers laws on settlements influencing the location performed.,A citizen performed labor to a work order. Triggers laws on settlements influencing the location performed.
"A block was constructed or deconstructed (built in a form, from a hammer or otherwise). Triggers laws on settlements influencing the location performed.","A block was constructed or deconstructed (built in a form, from a hammer or otherwise). Triggers laws on settlements influencing the location performed."
A block was dug or mined from the ground. Triggers laws on settlements influencing the location performed.,A block was dug or mined from the ground. Triggers laws on settlements influencing the location performed.
A road block was tamped using a road tool. Triggers laws on settlements influencing the location performed.,A road block was tamped using a road tool. Triggers laws on settlements influencing the location performed.
A block was dropped or picked up. Triggers laws on settlements influencing the location performed.,A block was dropped or picked up. Triggers laws on settlements influencing the location performed.
An object was placed or picked up. Triggers laws on settlements influencing the location performed.,An object was placed or picked up. Triggers laws on settlements influencing the location performed.
An object was moved. Triggers laws on settlements influencing the start and end locations where it was performed.,An object was moved. Triggers laws on settlements influencing the start and end locations where it was performed.
A citizen posted a chat message. Triggers laws on settlements that the Citizen is a part of.,A citizen posted a chat message. Triggers laws on settlements that the Citizen is a part of.
A citizen remained logged in for a moment.  Triggers every 30 seconds. Triggers laws on settlements that the Citizen is a part of.,A citizen remained logged in for a moment.  Triggers every 30 seconds. Triggers laws on settlements that the Citizen is a part of.
A citizen logged in for the first time. This action triggers laws for all founded settlements on the server.,A citizen logged in for the first time. This action triggers laws for all founded settlements on the server.
Opening,Openen
Open Door,Open deur
Is the door being opened?,Is de deur geopend?
A door was opened or closed.,Een deur is geopend of gesloten.
Air pollution was released (triggered every 30 sec of operation). Triggers laws on settlements influencing the location performed.,Air pollution was released (triggered every 30 sec of operation). Triggers laws on settlements influencing the location performed.
Drop Or Pickup Garbage,Drop Or Pickup Garbage
The citizen who dropped/picked the garbage.,The citizen who dropped/picked the garbage.
Position of the dropped/picked garbage.,Position of the dropped/picked garbage.
Was the garbage dropped or picked up?,Was the garbage dropped or picked up?
A citizen dropped garbage. Triggers laws on settlements influencing the location performed.,A citizen dropped garbage. Triggers laws on settlements influencing the location performed.
Pay move in or rent property fee. Triggers laws on settlements influencing the deed.,Pay move in or rent property fee. Triggers laws on settlements influencing the deed.
The settlement influencing the pay source.,The settlement influencing the pay source.
Receive move-in fee or rent property fee. Triggers laws on settlements influencing the payment source.,Receive move-in fee or rent property fee. Triggers laws on settlements influencing the payment source.
An effect that is run on each specified citizen of the given settlement at intervals.  Triggers laws on settlements that the Citizen is a part of.,An effect that is run on each specified citizen of the given settlement at intervals.  Triggers laws on settlements that the Citizen is a part of.
An effect that is run at a given interval.  Triggers laws on all founded settlements.,An effect that is run at a given interval.  Triggers laws on all founded settlements.
Repeat For Each Citizen,Repeat For Each Citizen
Repeat the effect of this law on every user listed here. NOTE: Anyone in the list that is not a Citizen of the settlement running the action will be ignored.,Repeat the effect of this law on every user listed here. NOTE: Anyone in the list that is not a Citizen of the settlement running the action will be ignored.
Set the paint colors of an object.,Set the paint colors of an object.
adddems,adddems
blacklistdemographic,blacklistdemographic
removedems,removedems
Force a given citizen to be removed of a given demographic even if they dont match the conditions.,Force a given citizen to be removed of a given demographic even if they dont match the conditions.
Hours Before Removing Plots From Deed,Hours Before Removing Plots From Deed
"This will determine how long will it take for a deed to automatically shrink itself removing plots surplus, giving the players more/less time to react to it.","This will determine how long will it take for a deed to automatically shrink itself removing plots surplus, giving the players more/less time to react to it."
"Allows title holders to use Embassy Desk objects to determine cultural influence and annex other settlements, set the new-citizen message, and adjust border control in the foundation.","Allows title holders to use Embassy Desk objects to determine cultural influence and annex other settlements, set the new-citizen message, and adjust border control in the foundation."
Children Settlements May Annex Each Other,Children Settlements May Annex Each Other
Can Have Direct Citizens,Can Have Direct Citizens
"Citizens can submit settlement citizenship applications if enabled. If disabled, citizenship is only attainable through invitation.","Citizens can submit settlement citizenship applications if enabled. If disabled, citizenship is only attainable through invitation."
"When new Citizens are permitted, settlement requirements must be met to apply. Enabling 'Allow New People To Instantly Join' allows immediate joining for new Citizens.","When new Citizens are permitted, settlement requirements must be met to apply. Enabling 'Allow New People To Instantly Join' allows immediate joining for new Citizens."
"Citizens possessing the authority to approve citizenship applications. If vacant, applications are automatically approved.","Citizens possessing the authority to approve citizenship applications. If vacant, applications are automatically approved."
Citizens failing to meet ongoing requirements are granted time for compliance. Failure to meet requirements post-deadline results in citizenship revocation.,Citizens failing to meet ongoing requirements are granted time for compliance. Failure to meet requirements post-deadline results in citizenship revocation.
"A feature determining whether brand new Citizens can spawn in the settlement. If allowed, they instantly become citizens of the settlement they spawn in.","A feature determining whether brand new Citizens can spawn in the settlement. If allowed, they instantly become citizens of the settlement they spawn in."
A feature deciding whether Citizens can start new children settlements within the current settlement.,A feature deciding whether Citizens can start new children settlements within the current settlement.
"Restrict Citizens, Titles, and Demographics not affiliated with this settlement from owning any property within its influence sphere.","Restrict Citizens, Titles, and Demographics not affiliated with this settlement from owning any property within its influence sphere."
The designated heir who inherits all properties abandoned by departing citizens.,The designated heir who inherits all properties abandoned by departing citizens.
"If unchecked, child settlements are prohibited from seceding or joining settlements not classified as children of the current settlement.","If unchecked, child settlements are prohibited from seceding or joining settlements not classified as children of the current settlement."
"When set, member settlements have unrestricted authority to annex other members without limitations.","When set, member settlements have unrestricted authority to annex other members without limitations."
Enabling this feature allows players to become direct citizens of the settlement.,Enabling this feature allows players to become direct citizens of the settlement.
"Enables Citizens to instantly join the settlement upon placing their homesteads inside its influence. If enabled, the 'Can Have Direct Citizens' must also be enabled.","Enables Citizens to instantly join the settlement upon placing their homesteads inside its influence. If enabled, the 'Can Have Direct Citizens' must also be enabled."
Treasury Of Settlement,Treasury Of Settlement
The settlement to query the bank account from.,The settlement to query the bank account from.
The official treasury account of a given settlement.,The official treasury account of a given settlement.
Settlement Of Bank Account,Settlement Of Bank Account
The bank account to check.,The bank account to check.
Gets the settlement associated with a given bank account.,Gets the settlement associated with a given bank account.
Is Government Account,Is Government Account
Queries if a given bank account is a government account.,Queries if a given bank account is a government account.
In Settlement,In Settlement
Not In Settlement,Not In Settlement
Limit to properties under the influence of this settlement.  Leave empty to ignore settlements.,Limit to properties under the influence of this settlement.  Leave empty to ignore settlements.
Will only count plots not influenced by the given settleemnt.  Leave empty to ignore settlements.,Will only count plots not influenced by the given settleemnt.  Leave empty to ignore settlements.
Target Currency,Target Currency
Banking,Banking
Matches Target,Matches Target
Matches Settlement,Matches Settlement
Test if it matches the given settlement.,Test if it matches the given settlement.
Test a settlement is as expected.,Test a settlement is as expected.
Matches Bank Account,Matches Bank Account
The bankAccount to test.,The bankAccount to test.
Test if it matches the given bankAccount.,Test if it matches the given bankAccount.
Test a bankAccount is as expected.,Test a bankAccount is as expected.
Matches Demographic,Matches Demographic
Triggers To Ignore In Lesser Laws,Triggers To Ignore In Lesser Laws
Legal Actions To Ignore In Lesser Laws,Legal Actions To Ignore In Lesser Laws
Only Affect Settlements,Only Affect Settlements
Laws To Ignore,Laws To Ignore
Triggers added to this list will be ignored when processing laws in the given list of child settlements.,Triggers added to this list will be ignored when processing laws in the given list of child settlements.
Legal Actions added to this list will be ignored when processing laws in the given list of child settlements.,Legal Actions added to this list will be ignored when processing laws in the given list of child settlements.
Actions added to this list will be ignored when processing laws in the given list of child settlements. Leave blank for 'all children'.,Actions added to this list will be ignored when processing laws in the given list of child settlements. Leave blank for 'all children'.
"Laws that we will specifically ignore on settlements.  Only displays laws in children settlements. Note that blocking specific laws can be bypassed when the settlement creates a new law, so it's usually better to block general legal actions and triggers to prevent that.","Laws that we will specifically ignore on settlements.  Only displays laws in children settlements. Note that blocking specific laws can be bypassed when the settlement creates a new law, so it's usually better to block general legal actions and triggers to prevent that."
Blocks laws in lesser courts.,Blocks laws in lesser courts.
Allow Early End With Enough Votes,Allow Early End With Enough Votes
"When set, election will end as soon as the minimum number of voters has ben reached.","When set, election will end as soon as the minimum number of voters has ben reached."
"If set, allow early completion when enough people have voted.","If set, allow early completion when enough people have voted."
Paint tool! It paints blocks with some developer features.,Paint tool! It paints blocks with some developer features.
Dev Block Paint Tool,Dev Block Paint Tool
"A large bell used to alert nearby citizens of dangers, meetings and other assorted activities.","A large bell used to alert nearby citizens of dangers, meetings and other assorted activities."
Town Bell,Town Bell
Focused Workflow: Blacksmith,Focused Workflow: Blacksmith
Frugal Workspace: Blacksmith,Frugal Workspace: Blacksmith
Increase your stomach capacity count by 1000 calories.,Increase your stomach capacity count by 1000 calories.
Lavish Workspace: Blacksmith,Lavish Workspace: Blacksmith
Parallel Processing: Blacksmith,Parallel Processing: Blacksmith
"Also called chapeau a bec, or Billed Hat in france due to it's bird-beak like appearance.","Also called chapeau a bec, or Billed Hat in france due to it's bird-beak like appearance."
A container required to shape liquid metal into useful shapes more suitable to make tools and other parts with.,A container required to shape liquid metal into useful shapes more suitable to make tools and other parts with.
Ceramic Mold,Ceramic Mold
Clay Mold,Clay Mold
A vial of ink used in more sophisticated processing of paper into documents.,A vial of ink used in more sophisticated processing of paper into documents.
Ink,Inkt
A bucket of near magical paint used for making your environment a bit more lively.,A bucket of near magical paint used for making your environment a bit more lively.
Paint Bucket,Paint Bucket
A package of necessary items for copying art or other more elaborate designs.,A package of necessary items for copying art or other more elaborate designs.
Printing Supplies,Printing Supplies
Advanced Upgrade that greatly increases efficiency when crafting Blacksmith recipes.,Advanced Upgrade that greatly increases efficiency when crafting Blacksmith recipes.
Blacksmith Advanced Upgrade,Blacksmith Advanced Upgrade
Basic Upgrade that greatly increases efficiency when crafting Blacksmith recipes.,Basic Upgrade that greatly increases efficiency when crafting Blacksmith recipes.
Blacksmith Upgrade,Blacksmith Upgrade
Advanced Upgrade that greatly increases efficiency when crafting Gathering recipes.,Advanced Upgrade that greatly increases efficiency when crafting Gathering recipes.
Gathering Advanced Upgrade,Gathering Advanced Upgrade
