"STRINGID","Context","English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"DEFAULT","","Focused Workflow: Industry","","Traitement ciblé : Industrie","Alta dedicación: Industria","Fokussierter Arbeitsablauf: Industrie","집중적인 작업 속도: 산업","Fluxo de Trabalho Concentrado: Indústria","重点工作流程：工业","Сосредоточенная работа: Промышленность","Flusso di Lavoro Concentrato: Industria","Focused Workflow: Industry","Focused Workflow: Industry","ワークフロー重視: 産業","Focused Workflow: Industry","Skupiony przepływ pracy: Przemysł","Focused Workflow: Industry","Focused Workflow: Industry","Focused Workflow: Industry","Focused Workflow: Industry","Focused Workflow: Industry","Зосереджена робота: промисловість","Focused Workflow: Industry","Focused Workflow: Industry","Focused Workflow: Industry","Odaklanılmış Meslek: Sanayicilik"
"DEFAULT","","Focused Workflow: Lumber","","Traitement ciblé : Bois d’œuvre","Alta dedicación: Troncos","Fokussierter Arbeitsablauf: Bauholz","집중적인 작업 속도: 목재","Fluxo de Trabalho Concentrado: MadeiraSerrada","重点工作流程：伐木","Сосредоточенная работа: Пиломатериал","Flusso di Lavoro Concentrato: Falegname","Focused Workflow: Lumber","Focused Workflow: Lumber","ワークフロー重視: 製材","Focused Workflow: Lumber","Skupiony przepływ pracy: Tarcica","Focused Workflow: Lumber","Focused Workflow: Lumber","Focused Workflow: Lumber","Focused Workflow: Lumber","Focused Workflow: Lumber","Зосереджена робота: пиломатеріали","Focused Workflow: Lumber","Focused Workflow: Lumber","Focused Workflow: Lumber","Odaklanılmış Meslek: Kerestecilik"
"DEFAULT","","Focused Workflow: Mechanics","","Traitement ciblé : Mécanique","Alta dedicación: Mecánica","Fokussierter Arbeitsablauf: Mechanik","집중적인 작업 속도: 기계","Fluxo de Trabalho Concentrado: Mecânica","重点工作流程：机械","Сосредоточенная работа: Механика","Flusso di Lavoro Concentrato: Meccanica","Focused Workflow: Mechanics","Focused Workflow: Mechanics","ワークフロー重視: 機械","Focused Workflow: Mechanics","Skupiony przepływ pracy: Mechanika","Focused Workflow: Mechanics","Focused Workflow: Mechanics","Focused Workflow: Mechanics","Focused Workflow: Mechanics","Focused Workflow: Mechanics","Зосереджена робота: механіка","Focused Workflow: Mechanics","Focused Workflow: Mechanics","Focused Workflow: Mechanics","Odaklanılmış Meslek: Tamirci"
"DEFAULT","","Focused Workflow: Milling","","Traitement ciblé : Mouture","Alta dedicación: Molienda","Fokussierter Arbeitsablauf: Mahlen","집중적인 작업 속도: 제분","Fluxo de trabalho concentrado: Moagem","重点工作流程：研磨","Сосредоточенная работа: Мельничное дело","Flusso di Lavoro Concentrato: Fresatura","Focused Workflow: Milling","Focused Workflow: Milling","ワークフロー重視: 製粉","Focused Workflow: Milling","Skupiony przepływ pracy: Mielenie","Focused Workflow: Milling","Focused Workflow: Milling","Focused Workflow: Milling","Focused Workflow: Milling","Focused Workflow: Milling","Зосереджена робота: млинарство","Focused Workflow: Milling","Focused Workflow: Milling","Focused Workflow: Milling","Odaklanılmış Meslek: Değirmencilik"
"DEFAULT","","Focused Workflow: Mortaring","","Traitement ciblé : Maçonnerie","Alta dedicación: Morteros","Fokussierter Arbeitsablauf: Mörteln","집중적인 작업 속도: 모르타르 가공","Fluxo de Trabalho Concentrado: Argamassa","重点工作流程：砂浆","Сосредоточенная работа: Каменная кладка","Flusso di Lavoro Concentrato: Malta","Focused Workflow: Mortaring","Focused Workflow: Mortaring","ワークフロー重視: モルタル加工","Focused Workflow: Mortaring","Skupiony przepływ pracy: Zaprawianie(w murarstwie)","Focused Workflow: Mortaring","Focused Workflow: Mortaring","Focused Workflow: Mortaring","Focused Workflow: Mortaring","Focused Workflow: Mortaring","Зосереджена робота: кам’яна кладка","Focused Workflow: Mortaring","Focused Workflow: Mortaring","Focused Workflow: Mortaring","Odaklanılmış Meslek: Harç Ustası"
"DEFAULT","","Focused Workflow: OilDrilling","","Traitement ciblé : Forage pétrolier","Alta dedicación: Perforación petrolera","Fokussierter Arbeitsablauf: Öl bohren","집중적인 작업 속도: 유정 굴착","Fluxo de Trabalho Concentrado: PerfuraçãoDePetróleo","重点工作流程：钻油","Сосредоточенная работа: Добыча нефти","Flusso di Lavoro Concentrato: Trivellazione Petrolifera","Focused Workflow: OilDrilling","Focused Workflow: OilDrilling","ワークフロー重視: 原油採掘","Focused Workflow: OilDrilling","Skupiony przepływ pracy: Wydobycie ropy","Focused Workflow: OilDrilling","Focused Workflow: OilDrilling","Focused Workflow: OilDrilling","Focused Workflow: OilDrilling","Focused Workflow: OilDrilling","Зосереджена робота: добування нафти","Focused Workflow: OilDrilling","Focused Workflow: OilDrilling","Focused Workflow: OilDrilling","Odaklanılmış Meslek: Petrol Çıkarma"
"DEFAULT","","Focused Workflow: PaperMilling","","Traitement ciblé : Production de papier","Alta dedicación: Fabricado de papel","Fokussierter Arbeitsablauf: Papierherstellung","집중적인 작업 속도: 제지 가공","Fluxo de Trabalho Concentrado: FabricaçãoDePapel","重点工作流程：磨制纸粉","Сосредоточенная работа: Производство бумаги","Flusso di Lavoro Concentrato: Cartiera","Focused Workflow: PaperMilling","Focused Workflow: PaperMilling","ワークフロー重視: 製紙","Focused Workflow: PaperMilling","Skupiony przepływ pracy: Papiernictwo","Focused Workflow: PaperMilling","Focused Workflow: PaperMilling","Focused Workflow: PaperMilling","Focused Workflow: PaperMilling","Focused Workflow: PaperMilling","Зосереджена робота: папірництво","Focused Workflow: PaperMilling","Focused Workflow: PaperMilling","Focused Workflow: PaperMilling","Odaklanılmış Meslek: Kağıt Değirmenciliği"
"DEFAULT","","Focused Workflow: Smelting","","Traitement ciblé : Fonte","Alta dedicación: Fundición","Fokussierter Arbeitsablauf: Schmelzen","집중적인 작업 속도: 제련","Fluxo de Trabalho Concentrado: Fundição","重点工作流程：冶炼","Сосредоточенная работа: Выплавка","Flusso di Lavoro Concentrato: Fusione","Focused Workflow: Smelting","Focused Workflow: Smelting","ワークフロー重視: 精錬","Focused Workflow: Smelting","Skupiony przepływ pracy: Hutnictwo","Focused Workflow: Smelting","Focused Workflow: Smelting","Focused Workflow: Smelting","Focused Workflow: Smelting","Focused Workflow: Smelting","Зосереджена робота: плавлення","Focused Workflow: Smelting","Focused Workflow: Smelting","Focused Workflow: Smelting","Odaklanılmış Meslek: Eritmecilik"
"DEFAULT","","Focused Workflow: Tailoring","","Traitement ciblé : Couture","Alta dedicación: Sastrería","Fokussierter Arbeitsablauf: Schneidern","집중적인 작업 속도: 재단","Fluxo de trabalho concentrado: Alfaiataria","重点工作流程：裁缝","Сосредоточенная работа: Портняжное дело","Flusso di Lavoro Concentrato: Sartoria","Focused Workflow: Tailoring","Focused Workflow: Tailoring","ワークフロー重視: 裁縫","Focused Workflow: Tailoring","Skupiony przepływ pracy: Krawiectwo","Focused Workflow: Tailoring","Focused Workflow: Tailoring","Focused Workflow: Tailoring","Focused Workflow: Tailoring","Focused Workflow: Tailoring","Зосереджена робота: кравецтво","Focused Workflow: Tailoring","Focused Workflow: Tailoring","Focused Workflow: Tailoring","Odaklanılmış Meslek: Terzilik"
"DEFAULT","","Fisherman: Hunting","","Pêcheur : Chasse","Pescador: Caza","Fischer: Jagen","낚시꾼: 사냥","Pescador: Caça","渔夫：狩猎","Рыбак: Охота","Pescatore: Caccia","Fisherman: Hunting","Fisherman: Hunting","漁師: 狩猟","Fisherman: Hunting","Rybak: Polowanie","Fisherman: Hunting","Fisherman: Hunting","Fisherman: Hunting","Fisherman: Hunting","Fisherman: Hunting","Рибалка: полювання","Fisherman: Hunting","Fisherman: Hunting","Fisherman: Hunting","Balıkçı: Avcılık"
"DEFAULT","","Experienced Farmhand: Gathering","","Fermier expérimenté : Récolte","Granjero experimentado: Recolección","Erfahrener Farmhelfer: Sammeln","능숙한 농삿짓: 수집","Agricultor experiente: Coleta","有经验的农工：采集","Опытный фермер: Собиратель","Bracciante Esperto: Raccolta","Experienced Farmhand: Gathering","Experienced Farmhand: Gathering","熟練の農場労働者: 採集","Experienced Farmhand: Gathering","Doświadczony parobek: Zbieractwo","Experienced Farmhand: Gathering","Experienced Farmhand: Gathering","Experienced Farmhand: Gathering","Experienced Farmhand: Gathering","Experienced Farmhand: Gathering","Досвідчений фермер: збирання","Experienced Farmhand: Gathering","Experienced Farmhand: Gathering","Experienced Farmhand: Gathering","Tecrübeli Çiftlik İşçisi: Toplayıcılık"
"DEFAULT","","Diver: SelfImprovement","","Plongeur : Amélioration de soi","Buceador (estético)","Taucher: Selbstverbesserung","잠수부: 자기 개선","Mergulhador: Auto-aperfeiçoamento","潜水：自我提升","Водолаз: Самосовершенствование","Subacqueo: Miglioramento Personale","Diver: SelfImprovement","Diver: SelfImprovement","ダイバー: 自己改善","Diver: SelfImprovement","Kierowca: samodoskonalenie","Diver: SelfImprovement","Diver: SelfImprovement","Diver: SelfImprovement","Diver: SelfImprovement","Diver: SelfImprovement","Пірнальник: самовдосконалення","Diver: SelfImprovement","Diver: SelfImprovement","Diver: SelfImprovement","Dalgıç: Kendi kendini geliştirme"
"DEFAULT","","Deadeye: Hunting","","Dans le mille : Chasse","Preciso: Caza","Adlerauge: Jagen","사격의 명수: 사냥","Na mira: Caça","神射手：狩猎","Смертельный взор: Охота","Occhio di Falco: Caccia","Deadeye: Hunting","Deadeye: Hunting","死の目: 狩猟","Deadeye: Hunting","Sokole oko: Polowanie","Deadeye: Hunting","Deadeye: Hunting","Deadeye: Hunting","Deadeye: Hunting","Deadeye: Hunting","Снайпер: полювання","Deadeye: Hunting","Deadeye: Hunting","Deadeye: Hunting","Keskin Nişancı: Avcılık"
"DEFAULT","","Cleanup Crew: Logging","","Équipe de nettoyage : Abattage","Patrulla de limpieza: Tala","Aufräumtruppe: Holzfällen","잔가지 처리반: 벌목","Equipe de Limpeza: Extração de Madeira","清理人员：伐木","Уборщик: Заготовка леса","Squadra di Pulizia: Disboscamento","Cleanup Crew: Logging","Cleanup Crew: Logging","掃除人: 木こり","Cleanup Crew: Logging","Oddział porządkowy: wyrąb drzew","Cleanup Crew: Logging","Cleanup Crew: Logging","Cleanup Crew: Logging","Cleanup Crew: Logging","Cleanup Crew: Logging","Загін прибиральників: заготівля лісу","Cleanup Crew: Logging","Cleanup Crew: Logging","Cleanup Crew: Logging","Temizlik Ekibi: Odunculuk"
"DEFAULT","","Arrow Recovery: Hunting","","Récupération de flèches : Chasse","Recuperación de flechas: Caza","Pfeil Wiederverwendung: Jagen","화살 복원: 사냥","Recuperação de flechas: Caça","重获箭矢：狩猎","Возвращение стрел: Охота","Recupero Frecce: Caccia","Arrow Recovery: Hunting","Arrow Recovery: Hunting","矢の回収: 狩猟","Arrow Recovery: Hunting","Odzyskiwanie strzał: polowanie","Arrow Recovery: Hunting","Arrow Recovery: Hunting","Arrow Recovery: Hunting","Arrow Recovery: Hunting","Arrow Recovery: Hunting","Повернення стріл: полювання","Arrow Recovery: Hunting","Arrow Recovery: Hunting","Arrow Recovery: Hunting","Ok Toplama: Avcılık"
"DEFAULT","","Aggressive Angler: Hunting","","Pêcheur agressif : Chasse","Pescador agresivo: Caza","Aggressiver Angler: Jagen","적극적인 낚시꾼: 사냥","Pescador Agressivo: Caça","有进取心的钓鱼者：狩猎","Агрессивный рыболов: Охота","Pescatore Aggressivo: Caccia","Aggressive Angler: Hunting","Aggressive Angler: Hunting","攻撃的な漁師: 狩猟","Aggressive Angler: Hunting","Agresywny wędkarz: polowanie","Aggressive Angler: Hunting","Aggressive Angler: Hunting","Aggressive Angler: Hunting","Aggressive Angler: Hunting","Aggressive Angler: Hunting","Затятий рибалка: полювання","Aggressive Angler: Hunting","Aggressive Angler: Hunting","Aggressive Angler: Hunting","Agresif Oltacı: Avcılık"
"DEFAULT","","Underwater Fertile Ground","","Sol fertile subaquatique","Suelo fértil subacuático","Fruchtbarer Unterwasserboden","수중의 비옥한 토지","Solo fértil subaquático","水下富饶之地","Подводная плодородная почва","Terreno Fertile Subacqueo","Underwater Fertile Ground","Underwater Fertile Ground","水面下の土壌","Underwater Fertile Ground","Podwodny żyzny grunt","Underwater Fertile Ground","Underwater Fertile Ground","Underwater Fertile Ground","Underwater Fertile Ground","Underwater Fertile Ground","Підводний родючий ґрунт","Underwater Fertile Ground","Underwater Fertile Ground","Underwater Fertile Ground","Verimli Su Altı Arazisi"
"DEFAULT","","Celsius","","Celsius","Celsius","Celsius","섭씨","°C","摄氏度","Цельсия","Celsius","Celsius","Celsius","摂氏","Celsius","Celsjusza","Celsius","Celsius","Celsius","Celsia","Celsius","цельсія","Celsius","Celsius","Celsius","Santigrat"
"DEFAULT","","Soil Moisture","","Humidité du sol","Humedad del suelo","Bodenfeuchtigkeit","토양 습도","Umidade do solo","土壤湿度","Влажность почвы","Umidità Suolo","Soil Moisture","Soil Moisture","土壌水分","Soil Moisture","Wilgotność gleby","Soil Moisture","Soil Moisture","Soil Moisture","Soil Moisture","Soil Moisture","Вологість ґрунту","Soil Moisture","Soil Moisture","Soil Moisture","Toprak Nemi"
"DEFAULT","","Shrub Space","","Espace des arbustes","Espacio para arbusto","Strauchbereich","관목 공간","Espaço de arbusto","灌木空间","Пространство кустарников","Spazio Arbustivo","Shrub Space","Shrub Space","灌木の空間","Shrub Space","Krzewiasta przestrzeń","Shrub Space","Shrub Space","Shrub Space","Keřový Prostor","Shrub Space","Чагарники","Shrub Space","Shrub Space","Shrub Space","Fundalık"
"DEFAULT","","Salt Water","","Eau salée","Agua salada","Salzwasser","소금 물","Água salgada","盐水","Соленая вода","Acqua Salata","Salt Water","Salt Water","塩水","Saltvann","Słona woda","Zout water","Salt Water","Salt Water","Slaná Voda","Salt Water","Солона вода","Salt Water","Salt Water","Salt Water","Tuzlu Su"
"DEFAULT","","Rainfall","","Précipitations","Precipitaciones","Niederschlag","강우","Precipitação","降雨量","Количество осадков","Pioggia","Rainfall","Rainfall","降雨量","Nedbør","Opad deszczowy","Regenval","Rainfall","Rainfall","Srážky","Rainfall","Опади","Rainfall","Rainfall","Rainfall","Yağmur"
"DEFAULT","","Potassium","","Potassium","Potasio","Kalium","칼륨","Potássio","钾","Калий","Potassio","Potassium","Potassium","カリウム","Potassium","Potas","Potassium","Potassium","Potassium","Draslík","Potassium","Калій","Potassium","Potassium","Potassium","Potasyum"
"DEFAULT","","Phosphorus","","Phosphore","Fósforo","Phosphor","인","Fósforo","磷","Фосфор","Fosforo","Phosphorus","Phosphorus","リン","Phosphorus","Fosfor","Phosphorus","Phosphorus","Phosphorus","Fosfor","Phosphorus","Фосфор","Phosphorus","Phosphorus","Phosphorus","Fosfor"
"DEFAULT","","Occupied Underwater Fertile Ground","","Sol fertile subaquatique occupé","Suelo fértil subacuático (ocupado)","Belegter Fruchtbarer Unterwasserboden","점유된 수중의 비옥한 토지","Solo fértil subaquático ocupado","已占领水下富饶之地","Занятая подводная плодородная почва","Terreno Fertile Subacqueo Occupato","Occupied Underwater Fertile Ground","Occupied Underwater Fertile Ground","水面下の土壌の占有度","Occupied Underwater Fertile Ground","Zajmowany Podwodny Żyzny Grunt","Occupied Underwater Fertile Ground","Occupied Underwater Fertile Ground","Occupied Underwater Fertile Ground","Occupied Underwater Fertile Ground","Occupied Underwater Fertile Ground","Зайнятий підводний родючий ґрунт","Occupied Underwater Fertile Ground","Occupied Underwater Fertile Ground","Occupied Underwater Fertile Ground","Meskun Verimli Su Altı Arazisi"
"DEFAULT","","Occupied Shrub Space","","Espace des arbustes occupé","Espacio para arbusto ocupado","Belegter Strauchbereich","점유된 관목 공간","Espaço de arbusto ocupado","已占领灌木空间","Пространство занятое кустарниками","Spazio Arbustivo Occupato","Occupied Shrub Space","Occupied Shrub Space","灌木空間の占有度","Occupied Shrub Space","Zajęte miejsce na krzewy","Occupied Shrub Space","Occupied Shrub Space","Occupied Shrub Space","Occupied Shrub Space","Occupied Shrub Space","Зайняті чагарники","Occupied Shrub Space","Occupied Shrub Space","Occupied Shrub Space","Meskun Fundalık"
"DEFAULT","","Occupied Fertile Ground","","Sol fertile occupé","Suelo fértil ocupado","Belegter fruchtbarer Boden","점유된 비옥한 토지","Solo fértil ocupado","已占领富饶之地","Занятая плодородная почва","Terreno Fertile Occupato","Occupied Fertile Ground","Occupied Fertile Ground","土壌の占有度","Occupied Fertile Ground","Zajęty żyzny grunt","Occupied Fertile Ground","Occupied Fertile Ground","Occupied Fertile Ground","Occupied Fertile Ground","Occupied Fertile Ground","Зайнятий родючий грунт","Occupied Fertile Ground","Occupied Fertile Ground","Occupied Fertile Ground","Meskun Verimli Arazi"
"DEFAULT","","Occupied Canopy Space","","Espace de la canopée occupé","Espacio cubierto ocupado","Belegter Überdachter Bereich","점유된 카노피 공간","Espaço coberto ocupado","已占领天蓬空间","Занятое пространство лиственного покрова","Spazio Occupato della Tettoia","Occupied Canopy Space","Occupied Canopy Space","林冠の占有度","Occupied Canopy Space","Zadaszone zajęte miejsce","Occupied Canopy Space","Occupied Canopy Space","Occupied Canopy Space","Occupied Canopy Space","Occupied Canopy Space","Зайнятий лісовий полог","Occupied Canopy Space","Occupied Canopy Space","Occupied Canopy Space","Meskun Gölgelik Alan"
"DEFAULT","","Nitrogen","","Azote","Nitrógeno","Stickstoff","질소","Nitrogênio","氮","Азот","Azoto","Nitrogen","Nitrogen","窒素","Nitrogen","Azot","Stikstof","Nitrogen","Nitrogen","Dusík","Nitrogen","Азот","Nitrogen","Nitrogen","Nitrogen","Nitrojen"
"DEFAULT","","meters above bedrock","","mètres au dessus du bedrock","metros sobre el lecho rocoso","Meter über Grundgestein","베드락부터 위로 미터 수","metros acima da rocha","测量岩床上方","метров над бедроком","metri sulla roccia madre","meters above bedrock","meters above bedrock","岩盤までのメートル","meters above bedrock","metrów nad skałą macierzystą","meters above bedrock","meters above bedrock","meters above bedrock","meters above bedrock","meters above bedrock","метрів над дном","meters above bedrock","meters above bedrock","meters above bedrock","anakayanın üzerinde"
"DEFAULT","","Fresh Water","","Eau fraîche","Agua dulce","Wasserquellen","깨끗한 물","Água doce","淡水","Пресная вода","Acqua Dolce","Fresh Water","Fresh Water","新鮮な水","Ferskvann","Świeża woda","Zoet water","Fresh Water","Fresh Water","Čerstvá Voda","Fresh Water","Прісна вода","Fresh Water","Fresh Water","Fresh Water","Taze Su"
"DEFAULT","","Fertile Ground","","Sol fertile","Suelo fértil","Fruchtbarer Boden","비옥한 토지","Solo fértil","肥沃土地","Плодородные земли","Terreno Fertile","Fertile Ground","Fertile Ground","土壌","Fertile Ground","Żyzny grunt","Fertile Ground","Fertile Ground","Fertile Ground","Fertile Ground","Fertile Ground","Родючий ґрунт","Fertile Ground","Fertile Ground","Fertile Ground","Verimli Toprak"
"DEFAULT","","Debris","","Débris","Restos","Trümmer","파편","Detritos","碎屑","Обломки","Detriti","Debris","Debris","瓦礫","Debris","Ścinki","Debris","Debris","Debris","Trosky","Debris","Хащі","Debris","Debris","Debris","Yığın"
"DEFAULT","","Canopy Space","","Espace de la canopée","Espacio cubierto","Überdachte Bereiche","카노피 공간","Espaço coberto","天蓬空间","Пространство лиственного покрова","Spazio della Tettoia","Canopy Space","Canopy Space","天蓋スペース","Canopy Space","Zadaszona przestrzeń","Canopy Space","Canopy Space","Canopy Space","Prostor Baldachýnů","Canopy Space","Лісовий полог","Canopy Space","Canopy Space","Canopy Space","Gölgelik Alan"
"DEFAULT","","Air Pollution","","Pollution de l'air","Contaminación atmosférica","Luftverschmutzung","공기 오염","Poluição atmosférica","空气污染","Загрязнение воздуха","Inquinamento Atmosferico","Air Pollution","Air Pollution","大気汚染","Air Pollution","Zanieczyszczenie powietrza","Air Pollution","Air Pollution","Air Pollution","Air Pollution","Air Pollution","Забруднення повітря","Air Pollution","Air Pollution","Air Pollution","Hava Kirliliği"
"DEFAULT","","Trampled Sum","","Somme des piétinements","Suma estancada","Gesamtheit der Trampelpfade","짓밟힘의 총 합","Soma de pisoteamento","已踩踏总数","Вытоптанное пространство","Somma Calpestata","Trampled Sum","Trampled Sum","踏み固められた土地の合計","Trampled Sum","Wydeptana całość","Trampled Sum","Trampled Sum","Trampled Sum","Trampled Sum","Trampled Sum","Затоптаний простір","Trampled Sum","Trampled Sum","Trampled Sum","Çiğnenmiş Toplam"
"DEFAULT","","Shrubs","","Arbustes","Arbustos","Sträucher","관목","Arbustos","灌木","Кустарники","Arbusti","Shrubs","Shrubs","灌木","Shrubs","Krzewy","Shrubs","Shrubs","Shrubs","Keře","Shrubs","Чагарники","Shrubs","Shrubs","Shrubs","Fundalık"
"DEFAULT","","Trampled Spread","","Propagation des zones piétinées","Dispersión estancada","Trampelpfad Verbreitung","짓밟힘의 퍼짐","Propagação de pisoteamento","已踩踏扩散","Распространение вытоптанности","Diffusione Calpestata","Trampled Spread","Trampled Spread","踏み固められた土地の広がり","Trampled Spread","Rozprzestrzenianie się zdeptanych obszarów","Trampled Spread","Trampled Spread","Trampled Spread","Trampled Spread","Trampled Spread","Поширення затоптаності","Trampled Spread","Trampled Spread","Trampled Spread","Ezilmiş Alan Dağılımı"
"DEFAULT","","Salt Water Spread","","Propagation des eaux salées","Propagación de agua salada","Salzwasser Verteilung","소금 물의 퍼짐","Propagação de água salgada","海水扩散","Распространение солёной воды","Diffusione Acqua Salata","Salt Water Spread","Salt Water Spread","海水の広がり","Salt Water Spread","Rozprzestrzenianie się słonej wody","Salt Water Spread","Salt Water Spread","Salt Water Spread","Salt Water Spread","Salt Water Spread","Поширення солоної води","Salt Water Spread","Salt Water Spread","Salt Water Spread","Tuzlu Su Dağılımı"
"DEFAULT","","Wolf Capacity","","Loup : capacité","Capacidad para lobos","Wolf Kapazität","늑대 수량","Capacidade do Lobo","狼容量","Волк - вместимость","Capacità Lupo","Wolf Capacity","Wolf Capacity","オオカミのキャパシティ","Wolf Capacity","Liczebność wilków","Wolf Capacity","Wolf Capacity","Wolf Capacity","Wolf Capacity","Wolf Capacity","Місткість вовка","Wolf Capacity","Wolf Capacity","Wolf Capacity","Kurt Kapasitesi"
"DEFAULT","","Turkey Capacity","","Dinde : capacité","Capacidad para pavos","Truthahn Kapazität","칠면조 수량","Capacidade do Peru","火鸡容量","Индюшка - вместимость","Capacità Tacchino","Turkey Capacity","Turkey Capacity","七面鳥のキャパシティ","Turkey Capacity","Liczebność indyków","Turkey Capacity","Turkey Capacity","Turkey Capacity","Turkey Capacity","Turkey Capacity","Місткість індика","Turkey Capacity","Turkey Capacity","Turkey Capacity","Hindi Kapasitesi"
"DEFAULT","","Tuna Capacity","","Thon : capacité","Capacidad para atunes","Thunfisch Kapazität","참치 수량","Capacidade do Atum","金枪鱼容量","Тунец - вместимость","Capacità Tonno","Tuna Capacity","Tuna Capacity","マグロのキャパシティ","Tuna Capacity","Liczebność tuńczyków","Tuna Capacity","Tuna Capacity","Tuna Capacity","Tuna Capacity","Tuna Capacity","Місткість тунця","Tuna Capacity","Tuna Capacity","Tuna Capacity","Alabalık Kapasitesi"
"DEFAULT","","Trout Capacity","","Truite : capacité","Capacidad para truchas","Forelle Kapazität","송어 수량","Capacidade da Truta","鳟鱼容量","Форель - вместимость","Capacità Trota","Trout Capacity","Trout Capacity","マスのキャパシティ","Trout Capacity","Liczebność pstrągów","Trout Capacity","Trout Capacity","Trout Capacity","Trout Capacity","Trout Capacity","Місткість форелі","Trout Capacity","Trout Capacity","Trout Capacity","Alabalık Kapasitesi"
"DEFAULT","","Tortoise Capacity","","Tortue : capacité","Capacidad para tortugas","Schildkröte Kapazität","거북이 수량","Capacidade da Tartaruga","海龟容量","Черепаха - вместимость","Capacità Tartaruga","Tortoise Capacity","Tortoise Capacity","カメのキャパシティ","Tortoise Capacity","Liczebność żółwi lądowych","Tortoise Capacity","Tortoise Capacity","Tortoise Capacity","Tortoise Capacity","Tortoise Capacity","Місткість черепахи","Tortoise Capacity","Tortoise Capacity","Tortoise Capacity","Kaplumbağa Kapasitesi"
"DEFAULT","","Salmon Capacity","","Saumon : capacité","Capacidad para salmones","Lachs Kapazität","연어 수량","Capacidade do Salmão","三文鱼容量","Лосось - вместимость","Capacità Salmone","Salmon Capacity","Salmon Capacity","サケのキャパシティ","Salmon Capacity","Liczebność łososi","Salmon Capacity","Salmon Capacity","Salmon Capacity","Salmon Capacity","Salmon Capacity","Місткість лосося","Salmon Capacity","Salmon Capacity","Salmon Capacity","Somon Kapasitesi"
"DEFAULT","","Otter Capacity","","Loutre : capacité","Capacidad para nutrias","Otter Kapazität","수달 수량","Capacidade da Lontra","水獭容量","Выдра - вместимость","Capacità Lontra","Otter Capacity","Otter Capacity","カワウソのキャパシティ","Otter Capacity","Liczebność wydr","Otter Capacity","Otter Capacity","Otter Capacity","Otter Capacity","Otter Capacity","Місткість видри","Otter Capacity","Otter Capacity","Otter Capacity","Su Samuru Kapasitesi"
"DEFAULT","","Mountain Goat Capacity","","Chèvre des montagnes : capacité","Capacidad para cabras montesas","Bergziege Kapazität","흰바위산양 수량","Capacidade da Cabra-da-montanha","高山山羊容量","Снежная коза - вместимость","Capacità Capra di Montagna","Mountain Goat Capacity","Mountain Goat Capacity","シロイワヤギのキャパシティ","Mountain Goat Capacity","Liczebność kóz górskich","Mountain Goat Capacity","Mountain Goat Capacity","Mountain Goat Capacity","Mountain Goat Capacity","Mountain Goat Capacity","Місткість снігового козла","Mountain Goat Capacity","Mountain Goat Capacity","Mountain Goat Capacity","Dağ Keçisi Kapasitesi"
"DEFAULT","","Hare Capacity","","Lièvre : capacité","Capacidad para liebres","Hase Kapazität","토끼 수량","Capacidade da Lebre","野兔容量","Заяц - вместимость","Capacità Lepre","Hare Capacity","Hare Capacity","野ウサギのキャパシティ","Hare Capacity","Liczebność zajęcy","Hare Capacity","Hare Capacity","Hare Capacity","Hare Capacity","Hare Capacity","Місткість зайця","Hare Capacity","Hare Capacity","Hare Capacity","Tavşan Kapasitesi"
"DEFAULT","","Fox Capacity","","Renard : capacité","Capacidad para zorros","Fuchs Kapazität","여우 수량","Capacidade da Raposa","狐狸容量","Лиса - вместимость","Capacità Volpe","Fox Capacity","Fox Capacity","キツネのキャパシティ","Fox Capacity","Liczebność lisów","Fox Capacity","Fox Capacity","Fox Capacity","Fox Capacity","Fox Capacity","Місткість лиса","Fox Capacity","Fox Capacity","Fox Capacity","Tilki Kapasitesi"
"DEFAULT","","Elk Capacity","","Wapiti : capacité","Alce (capacidad)","Wapiti Kapazität","엘크 수량","Capacidade do Alce","驼鹿容量","Вапити - вместимость","Capacità Alce","Elk Capacity","Elk Capacity","エルクの容量","Elk Capacity","Liczebność jeleni","Elk Capacity","Elk Capacity","Elk Capacity","Elk Capacity","Elk Capacity","Місткість лося","Elk Capacity","Elk Capacity","Elk Capacity","Geyik Kapasitesi"
"DEFAULT","","Deer Capacity","","Daim : capacité","Capacidad para ciervos","Hirsch Kapazität","사슴 수량","Capacidade do Cervo","鹿容量","Чернохвостый олень - вместимость","Capacità Cervo","Deer Capacity","Deer Capacity","鹿のキャパシティ","Deer Capacity","Liczebność saren","Deer Capacity","Deer Capacity","Deer Capacity","Deer Capacity","Deer Capacity","Місткість оленя","Deer Capacity","Deer Capacity","Deer Capacity","Karaca Kapasitesi"
"DEFAULT","","Bison Capacity","","Bison : capacité","Capacidad para bisones","Bison Kapazität","들소 수량","Capacidade do Bisão","野牛容量","Бизон - вместимость","Capacità Bisonte","Bison Capacity","Bison Capacity","バイソンのキャパシティ","Bison Capacity","Liczebność żubrów","Bison Capacity","Bison Capacity","Bison Capacity","Bison Capacity","Bison Capacity","Місткість бізона","Bison Capacity","Bison Capacity","Bison Capacity","Bufalo Kapasitesi"
